iteration,candidate,raspberry_win_rate,blueberry_win_rate,avg_final_control,score,accepted
0,baseline,0.0,1.0,-3.0,0.75,True
1,blueberry.tarte_tatin.power factor=0.75 delta=0.0,0.0,1.0,-3.0,0.75,False
1,blueberry.tarte_tatin.hp factor=0.8 delta=0.0,0.0,1.0,-3.0,0.75,False
1,blueberry.tarte_tatin.speed factor=0.85 delta=0.0,0.0,1.0,-3.0,0.75,False
1,blueberry.tarte_tatin.cost factor=1.25 delta=0.0,0.0,1.0,-1.0,0.5833,False
1,blueberry.tarte_tatin.area factor=0.75 delta=0.0,0.0,1.0,-3.0,0.75,False
1,blueberry.pie.power factor=0.75 delta=0.0,0.0,1.0,-3.0,0.75,False
1,blueberry.pie.hp factor=0.8 delta=0.0,0.0,1.0,-3.0,0.75,False
1,blueberry.pie.speed factor=0.85 delta=0.0,0.0,1.0,-3.0,0.75,False
1,blueberry.pie.cost factor=1.25 delta=0.0,0.0,1.0,-3.0,0.75,False
1,blueberry.baumkuchen.power factor=0.75 delta=0.0,0.0,1.0,-3.0,0.75,False
1,blueberry.baumkuchen.hp factor=0.8 delta=0.0,0.0,1.0,-2.5814,0.7151,False
1,blueberry.baumkuchen.speed factor=0.85 delta=0.0,0.0,1.0,-3.0,0.75,False
1,blueberry.baumkuchen.cost factor=1.25 delta=0.0,0.0,1.0,-3.0,0.75,False
1,raspberry.scone.power factor=1.2 delta=0.0,0.0,1.0,-3.0,0.75,False
1,raspberry.scone.hp factor=1.18 delta=0.0,0.0,1.0,-3.0,0.75,False
1,raspberry.scone.speed factor=1.12 delta=0.0,0.0,1.0,-3.0,0.75,False
1,raspberry.scone.cost factor=0.85 delta=0.0,0.0,1.0,-3.0,0.75,False
1,raspberry.tart.power factor=1.2 delta=0.0,0.0,1.0,-3.0,0.75,False
1,raspberry.tart.hp factor=1.18 delta=0.0,0.0,1.0,-3.0,0.75,False
1,raspberry.tart.speed factor=1.12 delta=0.0,0.0,1.0,-3.0,0.75,False
1,raspberry.tart.cost factor=0.85 delta=0.0,0.0,1.0,-3.0,0.75,False
1,raspberry.tart.area factor=1.2 delta=0.0,0.0,1.0,-3.0,0.75,False
1,raspberry.pie.power factor=1.2 delta=0.0,0.0,1.0,-3.0,0.75,False
1,raspberry.pie.hp factor=1.18 delta=0.0,0.0,1.0,-3.0,0.75,False
1,raspberry.pie.speed factor=1.12 delta=0.0,0.0,1.0,-3.0,0.75,False
1,raspberry.pie.cost factor=0.85 delta=0.0,0.0,1.0,-2.8537,0.7378,False
1,blueberry.tarte_tatin.cost factor=1.25 delta=0.0,0.0,1.0,-1.0,0.5833,True
