team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,100,1.0,0.0083,0,0.0,100,1300.0,13.0,42000.0,0.0,100,200,1450.0,14.5,0,0,0
raspberry,macaron,마카롱,500,5.0,0.0413,0,0.0,300,0.0,0.0,15000.0,52000.0,0,500,4575.0,9.15,0,0,0
raspberry,pie,파이,8700,87.0,0.719,2400,24.0,7100,318780.8,3187.808,949088.0,0.0,7000,11600,91900.0,10.5632,600,1000,2
raspberry,scone,스콘,800,8.0,0.0661,700,7.0,800,180024.0,1800.24,240000.0,0.0,2000,800,10725.0,13.4062,100,0,0
raspberry,tart,타르트,2000,20.0,0.1653,1700,17.0,1500,442395.2,4423.952,457568.0,0.0,10500,2700,43325.0,21.6625,1000,0,0
blueberry,baumkuchen,바움쿠헨,400,4.0,0.0435,0,0.0,400,42000.0,420.0,156000.0,0.0,1400,3400,7400.0,18.5,0,0,0
blueberry,pannacotta,판나코타,1700,17.0,0.1848,4000,40.0,1700,583081.6,5830.816,50700.0,0.0,1200,1200,4000.0,2.3529,400,300,4
blueberry,pie,파이,4900,49.0,0.5326,2200,22.0,2700,248865.6,2488.656,392600.0,0.0,5300,9100,66925.0,13.6582,200,600,2
blueberry,scone,스콘,400,4.0,0.0435,100,1.0,400,95220.0,952.2,104000.0,0.0,800,1200,1625.0,4.0625,0,0,0
blueberry,tarte_tatin,타르트·타탱,1800,18.0,0.1957,3500,35.0,800,734488.8,7344.888,239200.0,0.0,7100,4700,43425.0,24.125,400,800,4
