iteration,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,patch_added,stopped
1,0.0,1.0,-3.0,94.75,blueberry.tarte_tatin.power factor=0.8696 delta=0.0,False
2,1.0,0.0,1.0,102.6667,raspberry.scone.power factor=0.8696 delta=0.0,False
3,0.0,1.0,-3.0,57.375,blueberry.scone.power factor=0.8696 delta=0.0,False
4,0.0,1.0,-1.0,86.1667,blueberry.pie.power factor=0.8696 delta=0.0,False
5,0.0,1.0,-3.0,68.5,blueberry.tarte_tatin.cost factor=1.15 delta=0.0,False
6,0.0,1.0,-3.0,102.0,blueberry.tarte_tatin.area factor=0.8696 delta=0.0,False
7,0.0,1.0,-3.0,144.25,blueberry.pannacotta.power factor=0.8696 delta=0.0,False
8,0.0,1.0,-1.0,113.4167,blueberry.tarte_tatin.hp factor=0.8929 delta=0.0,False
9,0.0,1.0,-1.0,139.3333,blueberry.pannacotta.speed factor=0.905 delta=0.0,False
10,0.0,1.0,-2.0,131.25,blueberry.tarte_tatin.speed factor=0.905 delta=0.0,False
11,0.0,1.0,-3.0,88.25,blueberry.scone.hp factor=0.8929 delta=0.0,False
12,0.0,1.0,-3.0,127.0,blueberry.tarte_tatin.power factor=0.8696 delta=0.0,False
13,1.0,0.0,3.0,81.5,raspberry.scone.hp factor=0.8929 delta=0.0,False
14,1.0,0.0,3.0,110.875,raspberry.pie.power factor=0.8696 delta=0.0,False
15,0.01,0.99,-1.9591,159.9318,blueberry.pie.cost factor=1.15 delta=0.0,False
16,1.0,0.0,1.0,71.0,raspberry.pie.cost factor=1.15 delta=0.0,False
17,1.0,0.0,3.0,114.0,raspberry.pie.hp factor=0.8929 delta=0.0,False
18,0.0,1.0,-1.0,103.5833,blueberry.baumkuchen.power factor=0.8696 delta=0.0,False
19,0.0,1.0,-2.4636,158.8023,blueberry.tarte_tatin.area factor=0.8696 delta=0.0,False
20,0.0,1.0,-3.0,67.375,blueberry.baumkuchen.cost factor=1.15 delta=0.0,False
