match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,171.0,-3,1,1,blueberry_full_control
1,2,blueberry,180.0,-3,1,1,time
2,1,blueberry,180.0,0,1,1,time
2,2,blueberry,155.5,-3,1,1,blueberry_full_control
3,1,raspberry,180.0,1,1,1,time
3,2,raspberry,180.0,3,1,1,time
4,1,blueberry,180.0,-3,1,1,time
4,2,blueberry,180.0,0,1,2,time
5,1,blueberry,151.0,-3,1,1,blueberry_full_control
5,2,raspberry,167.0,3,1,1,raspberry_full_control
5,3,blueberry,180.0,-3,1,1,time
6,1,raspberry,180.0,2,1,1,time
6,2,blueberry,180.0,-1,1,1,time
6,3,blueberry,145.5,-3,1,2,blueberry_full_control
7,1,blueberry,180.0,-1,1,1,time
7,2,blueberry,144.5,-3,1,1,blueberry_full_control
8,1,blueberry,180.0,-1,1,2,time
8,2,blueberry,134.5,-3,1,2,blueberry_full_control
9,1,raspberry,180.0,3,1,2,time
9,2,blueberry,125.5,-3,1,2,blueberry_full_control
9,3,blueberry,116.0,-3,1,3,blueberry_full_control
10,1,raspberry,180.0,3,1,2,time
10,2,blueberry,161.5,-3,1,2,blueberry_full_control
10,3,blueberry,146.5,-3,1,2,blueberry_full_control
11,1,raspberry,180.0,1,1,1,time
11,2,blueberry,180.0,-2,1,1,time
11,3,raspberry,180.0,2,1,1,time
12,1,raspberry,180.0,2,1,1,time
12,2,blueberry,180.0,-3,1,1,time
12,3,raspberry,180.0,2,1,1,time
13,1,blueberry,180.0,-2,1,1,time
13,2,blueberry,180.0,-2,1,1,time
14,1,blueberry,180.0,-1,1,1,time
14,2,raspberry,180.0,1,1,1,time
14,3,blueberry,139.5,-3,1,1,blueberry_full_control
15,1,blueberry,157.0,-3,1,1,blueberry_full_control
15,2,blueberry,180.0,-3,1,1,time
16,1,blueberry,180.0,-1,1,1,time
16,2,raspberry,180.0,1,1,1,time
16,3,blueberry,180.0,-3,1,1,time
17,1,raspberry,180.0,1,1,2,time
17,2,blueberry,126.5,-3,1,2,blueberry_full_control
17,3,blueberry,126.5,-3,1,2,blueberry_full_control
18,1,raspberry,180.0,3,1,1,time
18,2,blueberry,175.0,-3,1,2,blueberry_full_control
18,3,blueberry,131.5,-3,1,2,blueberry_full_control
19,1,blueberry,180.0,-3,1,1,time
19,2,raspberry,180.0,1,1,2,time
19,3,blueberry,180.0,-2,1,2,time
20,1,raspberry,180.0,2,1,1,time
20,2,blueberry,180.0,-1,1,1,time
20,3,raspberry,180.0,3,1,1,time
21,1,blueberry,180.0,0,1,1,time
21,2,blueberry,180.0,-3,1,1,time
22,1,blueberry,180.0,-2,1,1,time
22,2,blueberry,153.0,-3,1,1,blueberry_full_control
23,1,blueberry,150.5,-3,1,1,blueberry_full_control
23,2,raspberry,180.0,1,1,1,time
23,3,raspberry,180.0,1,1,1,time
24,1,blueberry,180.0,-1,1,1,time
24,2,blueberry,180.0,-1,1,1,time
25,1,blueberry,180.0,-3,1,1,time
25,2,blueberry,180.0,-1,1,1,time
26,1,blueberry,135.5,-3,1,1,blueberry_full_control
26,2,blueberry,180.0,-3,1,1,time
27,1,blueberry,170.0,-3,1,1,blueberry_full_control
27,2,blueberry,129.0,-3,1,2,blueberry_full_control
28,1,blueberry,180.0,-2,1,1,time
28,2,blueberry,180.0,0,1,1,time
29,1,blueberry,154.5,-3,1,1,blueberry_full_control
29,2,blueberry,133.5,-3,1,1,blueberry_full_control
30,1,blueberry,153.0,-3,1,1,blueberry_full_control
30,2,raspberry,180.0,2,1,2,time
30,3,blueberry,109.5,-3,1,2,blueberry_full_control
31,1,blueberry,180.0,-1,1,2,time
31,2,raspberry,180.0,2,1,2,time
31,3,raspberry,180.0,2,1,2,time
32,1,blueberry,180.0,-2,1,1,time
32,2,blueberry,143.5,-3,1,1,blueberry_full_control
33,1,blueberry,180.0,-1,1,1,time
33,2,raspberry,180.0,3,1,1,time
33,3,blueberry,180.0,-2,1,1,time
34,1,raspberry,180.0,0,1,1,time
34,2,raspberry,180.0,3,1,1,time
35,1,raspberry,180.0,1,1,1,time
35,2,blueberry,180.0,-2,1,1,time
35,3,raspberry,180.0,1,1,2,time
36,1,blueberry,180.0,-1,1,1,time
36,2,blueberry,180.0,-2,1,1,time
37,1,blueberry,180.0,-2,1,1,time
37,2,blueberry,125.5,-3,1,1,blueberry_full_control
38,1,raspberry,180.0,1,1,1,time
38,2,blueberry,180.0,-1,1,1,time
38,3,raspberry,180.0,1,1,1,time
39,1,raspberry,180.0,2,1,1,time
39,2,raspberry,180.0,3,1,1,time
40,1,blueberry,180.0,-3,1,1,time
40,2,blueberry,180.0,-3,1,1,time
41,1,blueberry,180.0,-2,1,1,time
41,2,raspberry,180.0,2,1,1,time
41,3,blueberry,180.0,-3,1,1,time
42,1,raspberry,180.0,2,1,1,time
42,2,blueberry,180.0,-3,2,1,time
42,3,blueberry,180.0,-1,2,1,time
43,1,raspberry,180.0,2,1,1,time
43,2,blueberry,180.0,-3,1,1,time
43,3,blueberry,180.0,-2,1,1,time
44,1,raspberry,180.0,2,1,1,time
44,2,blueberry,180.0,-3,1,1,time
44,3,raspberry,180.0,2,1,1,time
45,1,blueberry,180.0,-2,1,1,time
45,2,blueberry,180.0,0,1,1,time
46,1,blueberry,180.0,0,1,1,time
46,2,blueberry,145.0,-3,1,1,blueberry_full_control
47,1,raspberry,180.0,1,1,1,time
47,2,blueberry,180.0,0,1,1,time
47,3,raspberry,180.0,2,1,1,time
48,1,blueberry,180.0,-2,1,1,time
48,2,blueberry,180.0,-1,1,2,time
49,1,blueberry,180.0,-1,1,1,time
49,2,blueberry,173.5,-3,1,1,blueberry_full_control
50,1,raspberry,180.0,2,1,1,time
50,2,blueberry,180.0,-2,1,1,time
50,3,raspberry,180.0,3,1,1,time
51,1,blueberry,180.0,-2,1,1,time
51,2,blueberry,180.0,-3,1,1,time
52,1,raspberry,180.0,1,1,1,time
52,2,blueberry,180.0,-1,1,1,time
52,3,raspberry,180.0,2,1,1,time
53,1,blueberry,180.0,-3,1,1,time
53,2,blueberry,180.0,-3,1,1,time
54,1,blueberry,174.5,-3,1,1,blueberry_full_control
54,2,raspberry,180.0,1,1,2,time
54,3,blueberry,177.5,-3,1,2,blueberry_full_control
55,1,blueberry,180.0,-2,1,1,time
55,2,blueberry,121.0,-3,1,1,blueberry_full_control
56,1,raspberry,180.0,2,1,2,time
56,2,blueberry,125.0,-3,1,2,blueberry_full_control
56,3,blueberry,116.0,-3,1,2,blueberry_full_control
57,1,blueberry,145.0,-3,1,1,blueberry_full_control
57,2,blueberry,180.0,0,1,2,time
58,1,blueberry,180.0,-1,1,1,time
58,2,raspberry,180.0,2,1,1,time
58,3,blueberry,180.0,-2,1,1,time
59,1,raspberry,180.0,2,1,2,time
59,2,blueberry,180.0,-2,1,2,time
59,3,raspberry,180.0,2,1,2,time
60,1,raspberry,180.0,3,1,1,time
60,2,blueberry,154.0,-3,1,1,blueberry_full_control
60,3,raspberry,180.0,3,1,1,time
61,1,blueberry,180.0,-2,1,1,time
61,2,raspberry,180.0,0,1,1,time
61,3,raspberry,180.0,1,1,1,time
62,1,raspberry,180.0,3,1,1,time
62,2,blueberry,125.5,-3,1,1,blueberry_full_control
62,3,blueberry,180.0,-1,1,1,time
63,1,blueberry,180.0,-2,1,1,time
63,2,raspberry,180.0,2,1,1,time
63,3,raspberry,180.0,3,1,1,time
64,1,raspberry,180.0,3,1,1,time
64,2,blueberry,180.0,0,1,1,time
64,3,blueberry,180.0,-3,1,2,time
65,1,blueberry,180.0,-3,2,1,time
65,2,blueberry,135.5,-3,2,1,blueberry_full_control
66,1,raspberry,180.0,3,1,1,time
66,2,raspberry,180.0,0,1,1,time
67,1,raspberry,180.0,2,1,1,time
67,2,raspberry,180.0,1,1,1,time
68,1,blueberry,180.0,-2,1,2,time
68,2,blueberry,180.0,-3,1,2,time
69,1,raspberry,180.0,3,1,1,time
69,2,raspberry,180.0,1,1,1,time
70,1,blueberry,180.0,-1,1,1,time
70,2,blueberry,180.0,0,1,1,time
71,1,raspberry,180.0,3,1,1,time
71,2,blueberry,180.0,-1,1,1,time
71,3,blueberry,143.0,-3,1,1,blueberry_full_control
72,1,blueberry,180.0,-1,1,1,time
72,2,raspberry,180.0,3,1,1,time
72,3,raspberry,180.0,3,1,2,time
73,1,blueberry,180.0,-2,1,1,time
73,2,raspberry,180.0,3,1,1,time
73,3,blueberry,180.0,-1,1,1,time
74,1,blueberry,180.0,-2,1,1,time
74,2,raspberry,180.0,0,1,1,time
74,3,raspberry,180.0,3,1,1,time
75,1,blueberry,180.0,-1,1,1,time
75,2,blueberry,180.0,-2,1,1,time
76,1,blueberry,180.0,-2,1,1,time
76,2,raspberry,180.0,3,1,1,time
76,3,raspberry,180.0,2,1,1,time
77,1,raspberry,180.0,2,1,1,time
77,2,raspberry,180.0,3,1,1,time
78,1,blueberry,99.0,0,1,1,raspberry_full_control
78,2,blueberry,180.0,-3,1,1,time
79,1,raspberry,180.0,1,1,1,time
79,2,blueberry,180.0,-1,1,2,time
79,3,blueberry,180.0,-3,1,2,time
80,1,raspberry,180.0,3,1,1,time
80,2,blueberry,153.0,-3,1,1,blueberry_full_control
80,3,blueberry,163.0,-3,1,3,blueberry_full_control
81,1,raspberry,180.0,3,1,1,time
81,2,raspberry,180.0,3,1,1,time
82,1,blueberry,180.0,-1,1,1,time
82,2,blueberry,180.0,-2,1,1,time
83,1,blueberry,180.0,-3,1,1,time
83,2,blueberry,180.0,-3,1,1,time
84,1,blueberry,180.0,-1,1,1,time
84,2,blueberry,180.0,-2,1,1,time
85,1,blueberry,180.0,-2,2,1,time
85,2,blueberry,180.0,-3,2,1,time
86,1,raspberry,180.0,1,1,1,time
86,2,blueberry,153.0,-3,1,2,blueberry_full_control
86,3,blueberry,125.0,-3,1,2,blueberry_full_control
87,1,blueberry,180.0,-1,1,1,time
87,2,raspberry,180.0,0,1,1,time
87,3,raspberry,180.0,2,1,2,time
88,1,blueberry,158.5,-3,1,1,blueberry_full_control
88,2,blueberry,180.0,-2,1,2,time
89,1,raspberry,180.0,3,1,1,time
89,2,blueberry,180.0,-2,1,1,time
89,3,blueberry,180.0,-3,1,2,time
90,1,blueberry,180.0,-2,1,1,time
90,2,raspberry,180.0,2,1,1,time
90,3,raspberry,180.0,2,1,1,time
91,1,blueberry,180.0,-3,1,1,time
91,2,blueberry,175.5,-3,1,1,blueberry_full_control
92,1,raspberry,180.0,1,1,1,time
92,2,blueberry,176.5,-3,1,1,blueberry_full_control
92,3,blueberry,180.0,-1,1,1,time
93,1,raspberry,180.0,1,1,1,time
93,2,blueberry,180.0,-3,1,1,time
93,3,blueberry,180.0,-3,1,1,time
94,1,blueberry,174.0,-3,1,2,blueberry_full_control
94,2,blueberry,122.5,-3,1,2,blueberry_full_control
95,1,raspberry,180.0,2,1,1,time
95,2,blueberry,180.0,-3,1,1,time
95,3,blueberry,180.0,-2,1,2,time
96,1,raspberry,180.0,3,1,1,time
96,2,blueberry,180.0,-2,1,1,time
96,3,blueberry,180.0,-3,1,1,time
97,1,raspberry,100.5,1,1,1,raspberry_full_control
97,2,raspberry,180.0,3,1,1,time
98,1,blueberry,175.5,-3,1,1,blueberry_full_control
98,2,raspberry,180.0,2,1,1,time
98,3,raspberry,180.0,1,1,1,time
99,1,raspberry,180.0,2,1,1,time
99,2,raspberry,180.0,3,1,1,time
100,1,raspberry,180.0,3,1,1,time
100,2,raspberry,180.0,1,1,1,time
101,1,blueberry,179.0,-3,1,1,blueberry_full_control
101,2,blueberry,180.0,-2,1,1,time
102,1,raspberry,180.0,3,1,1,time
102,2,blueberry,174.0,-3,1,1,blueberry_full_control
102,3,raspberry,180.0,1,1,1,time
103,1,raspberry,180.0,1,1,1,time
103,2,blueberry,180.0,-2,1,2,time
103,3,blueberry,142.5,-3,1,2,blueberry_full_control
104,1,raspberry,180.0,2,1,1,time
104,2,raspberry,180.0,2,1,1,time
105,1,blueberry,180.0,-2,1,2,time
105,2,blueberry,161.5,-3,1,2,blueberry_full_control
106,1,raspberry,180.0,2,1,1,time
106,2,blueberry,180.0,-2,1,1,time
106,3,raspberry,180.0,1,1,2,time
107,1,raspberry,180.0,3,1,1,time
107,2,raspberry,178.0,3,1,1,raspberry_full_control
108,1,raspberry,180.0,2,1,1,time
108,2,raspberry,180.0,1,1,1,time
109,1,blueberry,147.5,-3,1,1,blueberry_full_control
109,2,raspberry,180.0,3,1,2,time
109,3,blueberry,160.5,-3,1,2,blueberry_full_control
110,1,raspberry,180.0,2,1,2,time
110,2,blueberry,122.0,-3,1,2,blueberry_full_control
110,3,blueberry,124.0,-3,1,2,blueberry_full_control
111,1,raspberry,180.0,2,1,1,time
111,2,blueberry,173.0,-3,1,1,blueberry_full_control
111,3,raspberry,180.0,3,1,1,time
112,1,raspberry,180.0,2,1,2,time
112,2,blueberry,180.0,-3,1,2,time
112,3,blueberry,180.0,-3,1,2,time
113,1,blueberry,180.0,-2,1,1,time
113,2,blueberry,142.0,-3,1,1,blueberry_full_control
114,1,blueberry,144.5,-3,1,1,blueberry_full_control
114,2,blueberry,143.5,-3,1,1,blueberry_full_control
115,1,blueberry,180.0,-1,1,1,time
115,2,raspberry,180.0,3,1,1,time
115,3,raspberry,180.0,1,1,1,time
116,1,raspberry,180.0,3,1,1,time
116,2,raspberry,180.0,1,1,1,time
117,1,raspberry,180.0,2,1,1,time
117,2,blueberry,134.5,-3,1,1,blueberry_full_control
117,3,blueberry,164.5,-3,1,1,blueberry_full_control
118,1,blueberry,180.0,-3,1,3,time
118,2,blueberry,180.0,-1,1,3,time
119,1,raspberry,180.0,1,1,1,time
119,2,raspberry,180.0,2,1,1,time
120,1,blueberry,100.5,0,1,1,raspberry_full_control
120,2,blueberry,180.0,-3,1,1,time
