team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2007,16.725,0.1372,45,0.375,1691,24238.25,201.9854,750140.77,0.0,1863,9496,36469.5,18.1712,210,1752,10
raspberry,macaron,마카롱,1804,15.0333,0.1233,0,0.0,1657,0.0,0.0,90379.14,229218.12,0,1732,24519.0,13.5915,0,485,9
raspberry,pie,파이,7328,61.0667,0.501,1653,13.775,6122,323917.0,2699.3083,856225.53,0.0,6815,9122,143641.5,19.6017,1208,1973,10
raspberry,scone,스콘,1148,9.5667,0.0785,2774,23.1167,871,524671.0,4372.2583,326260.64,0.0,4913,3021,41684.5,36.3105,791,560,8
raspberry,tart,타르트,2339,19.4917,0.1599,3593,29.9417,1621,891564.0,7429.7,471463.13,0.0,20063,2713,93027.5,39.7723,4043,887,10
blueberry,baumkuchen,바움쿠헨,2279,18.9917,0.1807,626,5.2167,1608,128896.55,1074.1379,660656.25,0.0,4616,13910,54356.5,23.851,585,1883,10
blueberry,pannacotta,판나코타,1969,16.4083,0.1561,2867,23.8917,1691,558708.83,4655.9069,79328.0,0.0,717,1938,23349.0,11.8583,114,751,13
blueberry,pie,파이,4854,40.45,0.3848,2037,16.975,3378,341791.55,2848.263,463652.0,0.0,5821,9471,107322.5,22.1101,1276,1875,13
blueberry,scone,스콘,889,7.4083,0.0705,1955,16.2917,578,350480.4,2920.67,163301.0,0.0,3268,2781,25696.0,28.9044,593,537,11
blueberry,tarte_tatin,타르트·타탱,2624,21.8667,0.208,4477,37.3083,1527,1114591.87,9288.2655,397453.0,0.0,11662,5554,92831.5,35.3779,3089,1206,12
