team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1637,13.6417,0.1247,59,0.4917,1418,20663.69,172.1974,623326.75,0.0,1594,8424,31492.0,19.2376,159,1581,10
raspberry,macaron,마카롱,1416,11.8,0.1078,0,0.0,1342,0.0,0.0,67185.0,113430.0,0,982,13578.5,9.5893,0,362,8
raspberry,pie,파이,6468,53.9,0.4926,1209,10.075,5354,266286.75,2219.0563,722566.0,0.0,5568,8320,123905.0,19.1566,945,2037,9
raspberry,scone,스콘,1377,11.475,0.1049,2438,20.3167,944,494117.81,4117.6484,307816.25,0.0,4504,3077,37168.0,26.992,669,619,8
raspberry,tart,타르트,2232,18.6,0.17,3263,27.1917,1324,799340.19,6661.1682,399436.75,0.0,19091,1908,116625.5,52.2516,4995,647,9
blueberry,baumkuchen,바움쿠헨,2059,17.1583,0.1795,592,4.9333,1483,112734.0,939.45,608673.44,0.0,3897,12799,49995.5,24.2814,553,2012,12
blueberry,pannacotta,판나코타,1617,13.475,0.141,1766,14.7167,1315,326339.25,2719.4938,63147.0,0.0,544,1550,22811.5,14.1073,102,648,13
blueberry,pie,파이,4425,36.875,0.3858,1685,14.0417,2761,296884.0,2474.0333,381873.81,0.0,4931,7966,114916.0,25.9697,1134,1795,16
blueberry,scone,스콘,948,7.9,0.0826,1808,15.0667,576,324815.75,2706.7979,162717.38,0.0,3024,3038,27596.5,29.1102,563,999,12
blueberry,tarte_tatin,타르트·타탱,2422,20.1833,0.2111,4531,37.7583,1378,1059557.75,8829.6479,363996.81,0.0,10315,5404,86729.0,35.8088,2894,1314,14
