team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1517,12.6417,0.1402,46,0.3833,1464,20165.0,168.0417,629999.12,0.0,1554,8397,10842.5,7.1473,55,1951,8
raspberry,macaron,마카롱,1470,12.25,0.1358,0,0.0,1452,0.0,0.0,78226.09,91855.44,0,1743,4896.5,3.331,0,849,8
raspberry,pie,파이,5312,44.2667,0.4909,914,7.6167,5198,184479.0,1537.325,698950.75,0.0,3895,8232,33135.0,6.2378,216,2270,9
raspberry,scone,스콘,828,6.9,0.0765,1194,9.95,795,235032.0,1958.6,248759.48,0.0,2179,2569,7873.5,9.5091,56,986,8
raspberry,tart,타르트,1694,14.1167,0.1565,1810,15.0833,1483,471859.5,3932.1625,404136.12,0.0,10383,3260,29748.0,17.5608,1219,1221,8
blueberry,baumkuchen,바움쿠헨,1494,12.45,0.1487,563,4.6917,818,96085.77,800.7147,349712.0,0.0,3383,7719,66099.5,44.2433,667,399,11
blueberry,pannacotta,판나코타,1496,12.4667,0.1489,1088,9.0667,871,187666.34,1563.8862,35849.0,0.0,466,781,34082.5,22.7824,114,151,10
blueberry,pie,파이,4235,35.2917,0.4214,1665,13.875,1913,299571.7,2496.4308,268103.5,0.0,5015,5507,162491.0,38.3686,1293,565,11
blueberry,scone,스콘,855,7.125,0.0851,3434,28.6167,352,583638.25,4863.6521,110263.0,0.0,5234,2098,48390.5,56.5971,1307,141,10
blueberry,tarte_tatin,타르트·타탱,1969,16.4083,0.1959,3642,30.35,476,893109.49,7442.5791,147608.0,0.0,10103,1906,118883.0,60.3773,3896,290,8
