rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.54528,0.2857,0.7143,-1.2084,158.2181,0.95,0.0,1.0,soft nerf blueberry.tarte_tatin.area + rework raspberry.macaron (balanced): blueberry.tarte_tatin.area factor=0.9633 delta=0.0 | raspberry.macaron.cost factor=0.9392 delta=0.0 | raspberry.macaron.hp factor=1.0572 delta=0.0 | raspberry.macaron.speed factor=1.0267 delta=0.0 | raspberry.macaron.cooldown factor=0.9776 delta=0.0 | raspberry.macaron.power factor=1.0495 delta=0.0 | raspberry.macaron.range factor=1.016 delta=0.0 | raspberry.macaron.area factor=1.0229 delta=0.0
2,0.646571,0.2143,0.7857,-1.5441,160.8191,0.903632,0.5833,0.98215,soft nerf blueberry.tarte_tatin.power + rework raspberry.macaron (balanced): blueberry.tarte_tatin.power factor=0.9633 delta=0.0 | raspberry.macaron.cost factor=0.9392 delta=0.0 | raspberry.macaron.hp factor=1.0572 delta=0.0 | raspberry.macaron.speed factor=1.0267 delta=0.0 | raspberry.macaron.cooldown factor=0.9776 delta=0.0 | raspberry.macaron.power factor=1.0495 delta=0.0 | raspberry.macaron.range factor=1.016 delta=0.0 | raspberry.macaron.area factor=1.0229 delta=0.0
3,0.709245,0.1786,0.8214,-1.7753,153.3965,0.903632,0.5833,0.98215,soft nerf blueberry.tarte_tatin.power + rework raspberry.macaron (tempo): blueberry.tarte_tatin.power factor=0.9633 delta=0.0 | raspberry.macaron.cost factor=0.9292 delta=0.0 | raspberry.macaron.hp factor=1.0419 delta=0.0 | raspberry.macaron.speed factor=1.0457 delta=0.0 | raspberry.macaron.cooldown factor=0.9668 delta=0.0 | raspberry.macaron.power factor=1.0419 delta=0.0 | raspberry.macaron.range factor=1.0133 delta=0.0 | raspberry.macaron.area factor=1.0191 delta=0.0
4,0.790163,0.1429,0.8571,-2.0834,153.5316,0.95,0.0,1.0,reduce raspberry swarm_focus via pie.cost + enable ranged_focus via scone (tempo): raspberry.pie.cost factor=1.0381 delta=0.0 | raspberry.scone.cost factor=0.9292 delta=0.0 | raspberry.scone.hp factor=1.0419 delta=0.0 | raspberry.scone.speed factor=1.0457 delta=0.0 | raspberry.scone.cooldown factor=0.9668 delta=0.0 | raspberry.scone.power factor=1.0419 delta=0.0 | raspberry.scone.range factor=1.0133 delta=0.0
5,0.797101,0.1071,0.8928,-1.9155,154.0587,0.903632,0.5833,0.98215,soft nerf blueberry.tarte_tatin.power + rework raspberry.macaron (offense): blueberry.tarte_tatin.power factor=0.9633 delta=0.0 | raspberry.macaron.cost factor=0.9459 delta=0.0 | raspberry.macaron.hp factor=1.0419 delta=0.0 | raspberry.macaron.speed factor=1.0229 delta=0.0 | raspberry.macaron.cooldown factor=0.9813 delta=0.0 | raspberry.macaron.power factor=1.0724 delta=0.0 | raspberry.macaron.range factor=1.024 delta=0.0 | raspberry.macaron.area factor=1.0343 delta=0.0
6,0.804567,0.1071,0.8928,-1.9,153.1667,0.95,0.0,1.0,reduce raspberry swarm_focus via pie.cost + enable ranged_focus via scone (balanced): raspberry.pie.cost factor=1.0381 delta=0.0 | raspberry.scone.cost factor=0.9392 delta=0.0 | raspberry.scone.hp factor=1.0572 delta=0.0 | raspberry.scone.speed factor=1.0267 delta=0.0 | raspberry.scone.cooldown factor=0.9776 delta=0.0 | raspberry.scone.power factor=1.0495 delta=0.0 | raspberry.scone.range factor=1.016 delta=0.0
7,0.836828,0.0714,0.9286,-1.9849,153.7303,0.883283,0.64675,0.9643,reduce raspberry swarm_focus via pie.cost + enable ranged_focus via scone (offense): raspberry.pie.cost factor=1.0381 delta=0.0 | raspberry.scone.cost factor=0.9459 delta=0.0 | raspberry.scone.hp factor=1.0419 delta=0.0 | raspberry.scone.speed factor=1.0229 delta=0.0 | raspberry.scone.cooldown factor=0.9813 delta=0.0 | raspberry.scone.power factor=1.0724 delta=0.0 | raspberry.scone.range factor=1.024 delta=0.0
8,0.850113,0.0714,0.9286,-1.9844,156.1499,0.95,0.0,1.0,soft nerf blueberry.tarte_tatin.cost + rework raspberry.macaron (offense): blueberry.tarte_tatin.cost factor=1.0381 delta=0.0 | raspberry.macaron.cost factor=0.9459 delta=0.0 | raspberry.macaron.hp factor=1.0419 delta=0.0 | raspberry.macaron.speed factor=1.0229 delta=0.0 | raspberry.macaron.cooldown factor=0.9813 delta=0.0 | raspberry.macaron.power factor=1.0724 delta=0.0 | raspberry.macaron.range factor=1.024 delta=0.0 | raspberry.macaron.area factor=1.0343 delta=0.0
9,0.866248,0.0714,0.9285,-2.1227,154.8659,0.95,0.0,1.0,soft nerf blueberry.tarte_tatin.cost + rework raspberry.macaron (tempo): blueberry.tarte_tatin.cost factor=1.0381 delta=0.0 | raspberry.macaron.cost factor=0.9292 delta=0.0 | raspberry.macaron.hp factor=1.0419 delta=0.0 | raspberry.macaron.speed factor=1.0457 delta=0.0 | raspberry.macaron.cooldown factor=0.9668 delta=0.0 | raspberry.macaron.power factor=1.0419 delta=0.0 | raspberry.macaron.range factor=1.0133 delta=0.0 | raspberry.macaron.area factor=1.0191 delta=0.0
10,0.935513,0.0357,0.9643,-2.4104,152.6334,0.95,0.0,1.0,soft nerf blueberry.tarte_tatin.cost + rework raspberry.macaron (balanced): blueberry.tarte_tatin.cost factor=1.0381 delta=0.0 | raspberry.macaron.cost factor=0.9392 delta=0.0 | raspberry.macaron.hp factor=1.0572 delta=0.0 | raspberry.macaron.speed factor=1.0267 delta=0.0 | raspberry.macaron.cooldown factor=0.9776 delta=0.0 | raspberry.macaron.power factor=1.0495 delta=0.0 | raspberry.macaron.range factor=1.016 delta=0.0 | raspberry.macaron.area factor=1.0229 delta=0.0
