team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2069,12.9313,0.1165,91,0.5687,1771,25445.97,159.0373,961246.46,0.0,2049,11975,46460.5,22.4555,239,2578,13
raspberry,macaron,마카롱,2586,16.1625,0.1456,0,0.0,2416,0.0,0.0,171213.03,244472.99,0,2681,26102.5,10.0938,0,1190,12
raspberry,pie,파이,7894,49.3375,0.4444,1386,8.6625,6597,251452.93,1571.5808,1029341.53,0.0,6336,9928,156472.0,19.8216,1255,2096,14
raspberry,scone,스콘,2253,14.0813,0.1268,5166,32.2875,1844,847571.49,5297.3218,798403.86,0.0,8888,6874,61922.5,27.4845,1192,1843,12
raspberry,tart,타르트,2963,18.5188,0.1668,3730,23.3125,2086,848161.3,5301.0081,675887.66,0.0,19754,4333,107186.5,36.175,3875,1685,12
blueberry,baumkuchen,바움쿠헨,3050,19.0625,0.1762,653,4.0812,1983,152009.66,950.0604,717071.11,0.0,5352,14411,86007.0,28.199,828,1952,10
blueberry,pannacotta,판나코타,2621,16.3813,0.1514,3122,19.5125,2128,694612.96,4341.331,88307.2,0.0,823,2130,32968.5,12.5786,155,710,11
blueberry,pie,파이,6805,42.5312,0.3931,2128,13.3,4441,421032.21,2631.4513,533580.31,0.0,6515,10472,165956.0,24.3874,1561,1694,10
blueberry,scone,스콘,1078,6.7375,0.0623,1731,10.8187,608,338074.91,2112.9682,149307.41,0.0,2876,2943,30399.0,28.1994,476,797,9
blueberry,tarte_tatin,타르트·타탱,3759,23.4937,0.2171,7080,44.25,2036,2030362.8,12689.7675,484365.65,0.0,20225,7071,148832.5,39.5936,6372,1408,9
