match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,180.0,-3,1,1,time
1,2,blueberry,180.0,-1,1,1,time
2,1,blueberry,180.0,-3,1,1,time
2,2,blueberry,180.0,-1,1,1,time
3,1,blueberry,180.0,-1,1,1,time
3,2,raspberry,180.0,3,1,1,time
3,3,raspberry,180.0,3,1,1,time
4,1,raspberry,178.0,3,1,1,raspberry_full_control
4,2,raspberry,180.0,3,1,1,time
5,1,raspberry,180.0,1,1,2,time
5,2,blueberry,155.0,-3,1,2,blueberry_full_control
5,3,blueberry,180.0,-3,1,2,time
6,1,raspberry,178.0,3,1,1,raspberry_full_control
6,2,blueberry,122.5,-3,1,1,blueberry_full_control
6,3,raspberry,157.0,3,1,1,raspberry_full_control
7,1,blueberry,180.0,-2,1,1,time
7,2,raspberry,180.0,3,1,1,time
7,3,raspberry,154.5,3,1,1,raspberry_full_control
8,1,blueberry,180.0,-1,1,1,time
8,2,raspberry,180.0,1,1,1,time
8,3,blueberry,180.0,-1,1,1,time
9,1,raspberry,180.0,3,1,1,time
9,2,blueberry,180.0,-2,1,1,time
9,3,blueberry,122.5,-3,1,1,blueberry_full_control
10,1,raspberry,180.0,3,1,1,time
10,2,raspberry,154.5,3,1,1,raspberry_full_control
11,1,raspberry,180.0,1,1,2,time
11,2,raspberry,180.0,2,1,2,time
12,1,blueberry,180.0,-1,1,1,time
12,2,raspberry,164.0,3,1,1,raspberry_full_control
12,3,raspberry,146.5,3,1,1,raspberry_full_control
13,1,blueberry,180.0,-2,1,1,time
13,2,blueberry,180.0,-3,1,2,time
14,1,raspberry,180.0,3,1,1,time
14,2,raspberry,180.0,3,1,1,time
15,1,raspberry,180.0,3,1,1,time
15,2,blueberry,116.5,-3,1,1,blueberry_full_control
15,3,raspberry,180.0,0,1,1,time
16,1,blueberry,169.5,-3,1,1,blueberry_full_control
16,2,raspberry,180.0,3,1,1,time
16,3,blueberry,168.5,-3,1,1,blueberry_full_control
17,1,blueberry,180.0,-2,1,1,time
17,2,blueberry,180.0,-2,1,1,time
18,1,raspberry,158.5,3,1,1,raspberry_full_control
18,2,raspberry,164.5,3,1,1,raspberry_full_control
19,1,raspberry,180.0,3,1,1,time
19,2,blueberry,180.0,-1,1,1,time
19,3,blueberry,180.0,-1,1,1,time
20,1,raspberry,180.0,1,1,1,time
20,2,blueberry,180.0,-1,1,1,time
20,3,raspberry,158.5,3,1,1,raspberry_full_control
21,1,blueberry,180.0,-1,1,1,time
21,2,raspberry,173.0,3,1,1,raspberry_full_control
21,3,blueberry,175.0,-3,1,1,blueberry_full_control
22,1,blueberry,180.0,-3,1,1,time
22,2,raspberry,180.0,2,1,1,time
22,3,raspberry,180.0,1,1,1,time
23,1,raspberry,180.0,3,1,1,time
23,2,raspberry,180.0,2,1,1,time
24,1,raspberry,180.0,3,1,1,time
24,2,raspberry,159.5,3,1,1,raspberry_full_control
25,1,blueberry,180.0,-2,1,1,time
25,2,raspberry,180.0,3,1,1,time
25,3,raspberry,180.0,3,1,1,time
26,1,blueberry,175.0,-3,1,1,blueberry_full_control
26,2,raspberry,180.0,2,1,1,time
26,3,raspberry,180.0,2,1,1,time
27,1,raspberry,180.0,2,1,1,time
27,2,blueberry,180.0,-3,1,2,time
27,3,blueberry,170.5,-3,1,2,blueberry_full_control
28,1,raspberry,180.0,2,1,1,time
28,2,raspberry,180.0,3,1,1,time
29,1,raspberry,180.0,3,1,1,time
29,2,raspberry,163.5,3,1,1,raspberry_full_control
30,1,raspberry,180.0,0,1,1,time
30,2,blueberry,180.0,-1,1,1,time
30,3,blueberry,180.0,-2,1,1,time
31,1,raspberry,180.0,2,1,1,time
31,2,raspberry,180.0,1,1,1,time
32,1,blueberry,180.0,-2,1,1,time
32,2,raspberry,180.0,1,1,1,time
32,3,raspberry,180.0,2,1,2,time
33,1,raspberry,180.0,1,1,1,time
33,2,raspberry,180.0,2,1,3,time
34,1,raspberry,179.0,3,1,1,raspberry_full_control
34,2,raspberry,180.0,3,1,2,time
35,1,blueberry,180.0,-1,1,1,time
35,2,blueberry,150.0,-3,1,1,blueberry_full_control
36,1,raspberry,179.5,3,1,1,raspberry_full_control
36,2,raspberry,180.0,3,1,1,time
37,1,blueberry,180.0,-1,1,1,time
37,2,raspberry,180.0,2,1,1,time
37,3,blueberry,140.5,-3,1,1,blueberry_full_control
38,1,raspberry,180.0,3,1,2,time
38,2,blueberry,180.0,-1,1,2,time
38,3,raspberry,180.0,0,1,2,time
39,1,raspberry,180.0,3,1,2,time
39,2,blueberry,131.5,-3,1,2,blueberry_full_control
39,3,blueberry,180.0,-3,1,2,time
40,1,raspberry,180.0,3,1,1,time
40,2,blueberry,180.0,-3,1,1,time
40,3,raspberry,172.5,3,1,1,raspberry_full_control
41,1,raspberry,180.0,2,1,2,time
41,2,blueberry,180.0,-3,1,2,time
41,3,raspberry,180.0,0,1,2,time
42,1,raspberry,180.0,2,1,1,time
42,2,blueberry,180.0,0,1,1,time
42,3,blueberry,165.5,-3,1,1,blueberry_full_control
43,1,blueberry,180.0,0,1,1,time
43,2,blueberry,134.5,-3,1,1,blueberry_full_control
44,1,raspberry,180.0,0,1,1,time
44,2,blueberry,139.0,-3,1,1,blueberry_full_control
44,3,blueberry,145.0,-3,1,1,blueberry_full_control
45,1,blueberry,180.0,-2,1,1,time
45,2,blueberry,180.0,0,1,1,time
46,1,raspberry,180.0,2,1,1,time
46,2,blueberry,126.5,-3,1,1,blueberry_full_control
46,3,raspberry,151.0,3,1,1,raspberry_full_control
47,1,blueberry,180.0,-2,1,2,time
47,2,blueberry,120.0,-3,1,2,blueberry_full_control
48,1,blueberry,180.0,0,1,1,time
48,2,raspberry,180.0,3,1,1,time
48,3,blueberry,180.0,-1,2,1,time
49,1,raspberry,178.0,3,1,1,raspberry_full_control
49,2,raspberry,153.0,3,1,1,raspberry_full_control
50,1,raspberry,180.0,3,1,1,time
50,2,blueberry,112.0,-3,1,1,blueberry_full_control
50,3,blueberry,180.0,-1,1,1,time
51,1,blueberry,180.0,-1,1,1,time
51,2,raspberry,180.0,1,1,2,time
51,3,blueberry,152.5,-3,1,3,blueberry_full_control
52,1,raspberry,167.5,3,1,1,raspberry_full_control
52,2,raspberry,151.0,3,1,1,raspberry_full_control
53,1,raspberry,180.0,1,2,1,time
53,2,blueberry,180.0,-2,2,1,time
53,3,blueberry,180.0,-3,2,1,time
54,1,blueberry,180.0,-3,1,1,time
54,2,raspberry,180.0,2,2,1,time
54,3,raspberry,180.0,3,2,1,time
55,1,raspberry,180.0,3,1,1,time
55,2,raspberry,180.0,3,1,1,time
56,1,raspberry,180.0,3,1,1,time
56,2,raspberry,180.0,3,1,1,time
57,1,raspberry,180.0,3,1,1,time
57,2,raspberry,167.5,3,1,1,raspberry_full_control
58,1,raspberry,180.0,3,1,1,time
58,2,raspberry,180.0,2,1,1,time
59,1,blueberry,180.0,-2,1,1,time
59,2,blueberry,128.5,-3,1,1,blueberry_full_control
60,1,raspberry,180.0,3,1,1,time
60,2,blueberry,124.0,-3,1,1,blueberry_full_control
60,3,blueberry,180.0,-3,1,1,time
61,1,blueberry,180.0,-1,1,1,time
61,2,blueberry,180.0,0,1,1,time
62,1,blueberry,180.0,-2,1,1,time
62,2,blueberry,152.5,-3,1,2,blueberry_full_control
63,1,blueberry,180.0,-3,1,1,time
63,2,raspberry,180.0,2,1,2,time
