team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2015,12.5938,0.0964,73,0.4562,1398,17345.29,108.408,779421.59,0.0,1436,7756,47710.5,23.6777,195,1393,10
raspberry,macaron,마카롱,2464,15.4,0.1179,0,0.0,2099,0.0,0.0,151835.8,305405.74,0,2185,34956.0,14.1867,0,603,9
raspberry,pie,파이,10156,63.475,0.4861,1411,8.8187,7783,244446.4,1527.79,1240498.3,0.0,6433,10542,253680.5,24.9784,1546,1492,12
raspberry,scone,스콘,2462,15.3875,0.1178,6348,39.675,1795,1000751.33,6254.6958,866534.07,0.0,10485,5491,85913.0,34.8956,1971,1200,11
raspberry,tart,타르트,3797,23.7312,0.1817,5195,32.4688,2348,1160621.85,7253.8866,828680.68,0.0,29187,3580,183738.5,48.3904,8748,1246,11
blueberry,baumkuchen,바움쿠헨,2945,18.4062,0.1623,460,2.875,2287,105359.44,658.4965,812043.33,0.0,3687,16438,54780.5,18.6012,406,3503,12
blueberry,pannacotta,판나코타,3604,22.525,0.1986,5291,33.0688,3236,1112124.59,6950.7787,163584.64,0.0,1119,4171,33048.0,9.1698,185,1776,11
blueberry,pie,파이,6467,40.4188,0.3564,1715,10.7188,4951,353268.07,2207.9254,597223.1,0.0,5345,11798,122606.0,18.9587,1285,2684,13
blueberry,scone,스콘,1157,7.2313,0.0638,1905,11.9062,822,349310.1,2183.1882,202195.07,0.0,3027,4050,27598.5,23.8535,421,1257,13
blueberry,tarte_tatin,타르트·타탱,3973,24.8313,0.2189,6052,37.825,2850,1946908.23,12168.1764,648118.72,0.0,16376,11084,106821.5,26.8869,3637,3240,13
