iteration,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,balance_score,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,confirmation_raspberry_win_rate,confirmation_blueberry_win_rate,confirmation_avg_final_control,confirmation_balance_score,confirmation_strategy_diversity_penalty,confirmation_passed,patch_added,stopped
1,0.0063,0.9938,-2.7615,140.2783,0.981179,0.826518,1.2681,0.9406,,,,,,,reduce raspberry swarm_focus via pie.power + enable ranged_focus via scone (offense): raspberry.pie.power factor=0.9623 delta=0.0 | raspberry.scone.cost factor=0.9445 delta=0.0 | raspberry.scone.hp factor=1.0431 delta=0.0 | raspberry.scone.speed factor=1.0235 delta=0.0 | raspberry.scone.cooldown factor=0.9808 delta=0.0 | raspberry.scone.power factor=1.0744 delta=0.0 | raspberry.scone.range factor=1.0247 delta=0.0,False
2,0.0125,0.9875,-2.6036,148.1787,0.966274,0.875105,1.111,0.9781,,,,,,,soft nerf blueberry.baumkuchen.power + rework raspberry.macaron (balanced): blueberry.baumkuchen.power factor=0.9625 delta=0.0 | raspberry.macaron.cost factor=0.9379 delta=0.0 | raspberry.macaron.hp factor=1.0584 delta=0.0 | raspberry.macaron.speed factor=1.0273 delta=0.0 | raspberry.macaron.cooldown factor=0.9772 delta=0.0 | raspberry.macaron.power factor=1.0506 delta=0.0 | raspberry.macaron.range factor=1.0164 delta=0.0 | raspberry.macaron.area factor=1.0234 delta=0.0,False
3,0.0375,0.9625,-2.5074,148.816,0.929215,0.870927,1.124,0.975,,,,,,,soft nerf blueberry.tarte_tatin.area + rework raspberry.macaron (balanced): blueberry.tarte_tatin.area factor=0.9633 delta=0.0 | raspberry.macaron.cost factor=0.9392 delta=0.0 | raspberry.macaron.hp factor=1.0572 delta=0.0 | raspberry.macaron.speed factor=1.0267 delta=0.0 | raspberry.macaron.cooldown factor=0.9776 delta=0.0 | raspberry.macaron.power factor=1.0495 delta=0.0 | raspberry.macaron.range factor=1.016 delta=0.0 | raspberry.macaron.area factor=1.0229 delta=0.0,False
4,0.1187,0.8812,-2.0058,153.2305,0.792071,0.883803,1.0838,0.9844,,,,,,,soft nerf blueberry.baumkuchen.power + rework raspberry.scone (balanced): blueberry.baumkuchen.power factor=0.9658 delta=0.0 | raspberry.scone.cost factor=0.9433 delta=0.0 | raspberry.scone.hp factor=1.0531 delta=0.0 | raspberry.scone.speed factor=1.0248 delta=0.0 | raspberry.scone.cooldown factor=0.9792 delta=0.0 | raspberry.scone.power factor=1.046 delta=0.0 | raspberry.scone.range factor=1.0149 delta=0.0,False
5,0.2,0.8,-1.5464,159.9057,0.653782,0.866845,1.1367,0.9719,,,,,,,soft nerf blueberry.tarte_tatin.power + rework raspberry.macaron (tempo): blueberry.tarte_tatin.power factor=0.9684 delta=0.0 | raspberry.macaron.cost factor=0.9387 delta=0.0 | raspberry.macaron.hp factor=1.0359 delta=0.0 | raspberry.macaron.speed factor=1.0392 delta=0.0 | raspberry.macaron.cooldown factor=0.9715 delta=0.0 | raspberry.macaron.power factor=1.0359 delta=0.0 | raspberry.macaron.range factor=1.0114 delta=0.0 | raspberry.macaron.area factor=1.0163 delta=0.0,False
6,0.2125,0.7875,-1.1729,163.3617,0.614338,0.95,0.0,1.0,,,,,,,soft nerf blueberry.baumkuchen.power + rework raspberry.baumkuchen (balanced): blueberry.baumkuchen.power factor=0.9688 delta=0.0 | raspberry.baumkuchen.cost factor=0.9481 delta=0.0 | raspberry.baumkuchen.hp factor=1.0483 delta=0.0 | raspberry.baumkuchen.speed factor=1.0225 delta=0.0 | raspberry.baumkuchen.cooldown factor=0.981 delta=0.0 | raspberry.baumkuchen.power factor=1.0419 delta=0.0 | raspberry.baumkuchen.range factor=1.0135 delta=0.0,False
7,0.225,0.775,-1.1936,167.2958,0.604253,0.95,0.0,1.0,,,,,,,soft nerf blueberry.baumkuchen.hp + rework raspberry.baumkuchen (offense): blueberry.baumkuchen.hp factor=0.9752 delta=0.0 | raspberry.baumkuchen.cost factor=0.9545 delta=0.0 | raspberry.baumkuchen.hp factor=1.035 delta=0.0 | raspberry.baumkuchen.speed factor=1.0191 delta=0.0 | raspberry.baumkuchen.cooldown factor=0.9844 delta=0.0 | raspberry.baumkuchen.power factor=1.0604 delta=0.0 | raspberry.baumkuchen.range factor=1.02 delta=0.0,False
8,0.2,0.8,-1.2533,164.7282,0.626926,0.903538,1.0214,0.9969,,,,,,,reduce raspberry swarm_focus via pie.cost + enable ranged_focus via scone (tempo): raspberry.pie.cost factor=1.0326 delta=0.0 | raspberry.scone.cost factor=0.9387 delta=0.0 | raspberry.scone.hp factor=1.0359 delta=0.0 | raspberry.scone.speed factor=1.0392 delta=0.0 | raspberry.scone.cooldown factor=0.9715 delta=0.0 | raspberry.scone.power factor=1.0359 delta=0.0 | raspberry.scone.range factor=1.0114 delta=0.0,False
9,0.2625,0.7375,-1.0185,167.2361,0.537033,0.903538,1.0214,0.9969,,,,,,,soft nerf blueberry.baumkuchen.speed + rework raspberry.tart (tempo): blueberry.baumkuchen.speed factor=0.9791 delta=0.0 | raspberry.tart.cost factor=0.9425 delta=0.0 | raspberry.tart.hp factor=1.0336 delta=0.0 | raspberry.tart.speed factor=1.0366 delta=0.0 | raspberry.tart.cooldown factor=0.9733 delta=0.0 | raspberry.tart.power factor=1.0336 delta=0.0 | raspberry.tart.range factor=1.0107 delta=0.0 | raspberry.tart.area factor=1.0153 delta=0.0,False
10,0.3563,0.6438,-0.3817,172.6654,0.368939,0.903538,1.0214,0.9969,,,,,,,soft nerf blueberry.baumkuchen.speed + rework raspberry.scone (offense): blueberry.baumkuchen.speed factor=0.9812 delta=0.0 | raspberry.scone.cost factor=0.9606 delta=0.0 | raspberry.scone.hp factor=1.0301 delta=0.0 | raspberry.scone.speed factor=1.0164 delta=0.0 | raspberry.scone.cooldown factor=0.9865 delta=0.0 | raspberry.scone.power factor=1.052 delta=0.0 | raspberry.scone.range factor=1.0172 delta=0.0,False
11,0.425,0.575,-0.2636,174.2997,0.286461,0.903538,1.0214,0.9969,,,,,,,soft nerf blueberry.tarte_tatin.cost + rework raspberry.tart (offense): blueberry.tarte_tatin.cost factor=1.025 delta=0.0 | raspberry.tart.cost factor=0.9638 delta=0.0 | raspberry.tart.hp factor=1.0275 delta=0.0 | raspberry.tart.speed factor=1.015 delta=0.0 | raspberry.tart.cooldown factor=0.9876 delta=0.0 | raspberry.tart.power factor=1.0476 delta=0.0 | raspberry.tart.range factor=1.0158 delta=0.0 | raspberry.tart.area factor=1.0225 delta=0.0,False
12,0.6,0.4,0.5358,172.6061,0.35251,0.95,0.0,1.0,,,,,,,soft nerf raspberry.pie.power + rework blueberry.pannacotta (balanced): raspberry.pie.power factor=0.9748 delta=0.0 | blueberry.pannacotta.cost factor=0.9579 delta=0.0 | blueberry.pannacotta.hp factor=1.0388 delta=0.0 | blueberry.pannacotta.speed factor=1.0181 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9847 delta=0.0 | blueberry.pannacotta.power factor=1.0336 delta=0.0 | blueberry.pannacotta.range factor=1.0109 delta=0.0 | blueberry.pannacotta.area factor=1.0155 delta=0.0,False
13,0.7312,0.2687,0.9634,173.2141,0.533597,0.95,0.0,1.0,,,,,,,soft nerf raspberry.pie.speed + rework blueberry.pannacotta (offense): raspberry.pie.speed factor=0.9792 delta=0.0 | blueberry.pannacotta.cost factor=0.9565 delta=0.0 | blueberry.pannacotta.hp factor=1.0333 delta=0.0 | blueberry.pannacotta.speed factor=1.0182 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9851 delta=0.0 | blueberry.pannacotta.power factor=1.0576 delta=0.0 | blueberry.pannacotta.range factor=1.0191 delta=0.0 | blueberry.pannacotta.area factor=1.0273 delta=0.0,False
