rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.230962,0.4642,0.5357,0.1424,175.4455,0.714195,1.4563,0.875,soft nerf raspberry.pie.speed + rework blueberry.pannacotta (balanced): raspberry.pie.speed factor=0.9845 delta=0.0 | blueberry.pannacotta.cost factor=0.9633 delta=0.0 | blueberry.pannacotta.hp factor=1.0337 delta=0.0 | blueberry.pannacotta.speed factor=1.0157 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9867 delta=0.0 | blueberry.pannacotta.power factor=1.0292 delta=0.0 | blueberry.pannacotta.range factor=1.0094 delta=0.0 | blueberry.pannacotta.area factor=1.0135 delta=0.0
2,0.273454,0.5357,0.4643,0.2009,174.4004,0.857264,1.1666,0.9643,soft nerf raspberry.pie.cost + rework blueberry.pannacotta (offense): raspberry.pie.cost factor=1.0224 delta=0.0 | blueberry.pannacotta.cost factor=0.9674 delta=0.0 | blueberry.pannacotta.hp factor=1.0247 delta=0.0 | blueberry.pannacotta.speed factor=1.0135 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9889 delta=0.0 | blueberry.pannacotta.power factor=1.0426 delta=0.0 | blueberry.pannacotta.range factor=1.0141 delta=0.0 | blueberry.pannacotta.area factor=1.0202 delta=0.0
3,0.280767,0.5357,0.4643,0.4668,174.9425,0.762428,1.38265,0.89285,soft nerf raspberry.pie.hp + rework blueberry.pannacotta (balanced): raspberry.pie.hp factor=0.9824 delta=0.0 | blueberry.pannacotta.cost factor=0.9633 delta=0.0 | blueberry.pannacotta.hp factor=1.0337 delta=0.0 | blueberry.pannacotta.speed factor=1.0157 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9867 delta=0.0 | blueberry.pannacotta.power factor=1.0292 delta=0.0 | blueberry.pannacotta.range factor=1.0094 delta=0.0 | blueberry.pannacotta.area factor=1.0135 delta=0.0
4,0.330304,0.5715,0.4285,0.4785,173.6393,0.811915,1.23005,0.94645,soft nerf raspberry.pie.hp + rework blueberry.pannacotta (tempo): raspberry.pie.hp factor=0.9824 delta=0.0 | blueberry.pannacotta.cost factor=0.9571 delta=0.0 | blueberry.pannacotta.hp factor=1.0247 delta=0.0 | blueberry.pannacotta.speed factor=1.0269 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9802 delta=0.0 | blueberry.pannacotta.power factor=1.0247 delta=0.0 | blueberry.pannacotta.range factor=1.0079 delta=0.0 | blueberry.pannacotta.area factor=1.0112 delta=0.0
5,0.397266,0.6072,0.3929,0.6471,175.9746,0.858283,0.64675,0.9643,soft nerf raspberry.pie.cost + rework blueberry.pannacotta (balanced): raspberry.pie.cost factor=1.0224 delta=0.0 | blueberry.pannacotta.cost factor=0.9633 delta=0.0 | blueberry.pannacotta.hp factor=1.0337 delta=0.0 | blueberry.pannacotta.speed factor=1.0157 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9867 delta=0.0 | blueberry.pannacotta.power factor=1.0292 delta=0.0 | blueberry.pannacotta.range factor=1.0094 delta=0.0 | blueberry.pannacotta.area factor=1.0135 delta=0.0
6,0.398666,0.6072,0.3928,0.6591,171.7948,0.858283,0.64675,0.9643,reduce raspberry swarm_focus via pie.cost + enable ranged_focus via scone (balanced): raspberry.pie.cost factor=1.0224 delta=0.0 | raspberry.scone.cost factor=0.9633 delta=0.0 | raspberry.scone.hp factor=1.0337 delta=0.0 | raspberry.scone.speed factor=1.0157 delta=0.0 | raspberry.scone.cooldown factor=0.9867 delta=0.0 | raspberry.scone.power factor=1.0292 delta=0.0 | raspberry.scone.range factor=1.0094 delta=0.0
7,0.411007,0.6429,0.3571,0.5968,172.4751,0.793921,1.2861,0.9286,soft nerf raspberry.pie.hp + rework blueberry.pannacotta (offense): raspberry.pie.hp factor=0.9824 delta=0.0 | blueberry.pannacotta.cost factor=0.9674 delta=0.0 | blueberry.pannacotta.hp factor=1.0247 delta=0.0 | blueberry.pannacotta.speed factor=1.0135 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9889 delta=0.0 | blueberry.pannacotta.power factor=1.0426 delta=0.0 | blueberry.pannacotta.range factor=1.0141 delta=0.0 | blueberry.pannacotta.area factor=1.0202 delta=0.0
8,0.458805,0.6429,0.3571,0.7714,173.25,0.903632,0.5833,0.98215,reduce raspberry swarm_focus via pie.cost + enable ranged_focus via scone (tempo): raspberry.pie.cost factor=1.0224 delta=0.0 | raspberry.scone.cost factor=0.9571 delta=0.0 | raspberry.scone.hp factor=1.0247 delta=0.0 | raspberry.scone.speed factor=1.0269 delta=0.0 | raspberry.scone.cooldown factor=0.9802 delta=0.0 | raspberry.scone.power factor=1.0247 delta=0.0 | raspberry.scone.range factor=1.0079 delta=0.0
9,0.551644,0.7143,0.2857,1.1517,172.2619,0.811915,1.23005,0.94645,reduce raspberry swarm_focus via pie.cost + enable ranged_focus via scone (offense): raspberry.pie.cost factor=1.0224 delta=0.0 | raspberry.scone.cost factor=0.9674 delta=0.0 | raspberry.scone.hp factor=1.0247 delta=0.0 | raspberry.scone.speed factor=1.0135 delta=0.0 | raspberry.scone.cooldown factor=0.9889 delta=0.0 | raspberry.scone.power factor=1.0426 delta=0.0 | raspberry.scone.range factor=1.0141 delta=0.0
10,0.568525,0.7143,0.2857,1.0005,173.267,0.95,0.0,1.0,soft nerf raspberry.pie.cost + rework blueberry.pannacotta (tempo): raspberry.pie.cost factor=1.0224 delta=0.0 | blueberry.pannacotta.cost factor=0.9571 delta=0.0 | blueberry.pannacotta.hp factor=1.0247 delta=0.0 | blueberry.pannacotta.speed factor=1.0269 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9802 delta=0.0 | blueberry.pannacotta.power factor=1.0247 delta=0.0 | blueberry.pannacotta.range factor=1.0079 delta=0.0 | blueberry.pannacotta.area factor=1.0112 delta=0.0
