team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2945,18.4062,0.1458,246,1.5375,2231,50204.07,313.7754,1578787.7,0.0,3917,17566,61923.5,21.0267,393,2706,14
raspberry,macaron,마카롱,3281,20.5063,0.1625,0,0.0,2966,0.0,0.0,309686.06,652954.63,0,4430,48421.0,14.758,0,1085,12
raspberry,pie,파이,7340,45.875,0.3635,1679,10.4938,5731,279385.58,1746.1599,1047041.11,0.0,8348,10289,160205.5,21.8264,1264,1786,12
raspberry,scone,스콘,2456,15.35,0.1216,5378,33.6125,1579,868137.28,5425.858,845322.52,0.0,10768,5962,90623.0,36.8986,2071,1327,12
raspberry,tart,타르트,4171,26.0688,0.2066,5238,32.7375,2573,1189856.07,7436.6004,972482.93,0.0,32073,6100,167434.0,40.1424,8335,1639,12
blueberry,baumkuchen,바움쿠헨,2925,18.2812,0.1583,750,4.6875,2322,241266.55,1507.9159,859269.77,0.0,7527,21274,63725.5,21.7865,904,3233,14
blueberry,pannacotta,판나코타,2830,17.6875,0.1531,4973,31.0813,2536,1421872.07,8886.7004,114433.44,0.0,1317,2993,28489.0,10.0668,171,1292,13
blueberry,pie,파이,8362,52.2625,0.4524,3045,19.0312,6264,842384.7,5264.9044,752434.99,0.0,13533,17962,188982.0,22.6001,2539,4048,14
blueberry,scone,스콘,1278,7.9875,0.0691,2821,17.6313,879,679844.94,4249.0309,232343.34,0.0,5304,5351,35177.0,27.525,729,1711,12
blueberry,tarte_tatin,타르트·타탱,3088,19.3,0.1671,3491,21.8188,1857,1567952.07,9799.7005,429101.45,0.0,16666,7526,116250.0,37.6457,4200,1779,13
