team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,4235,26.4688,0.207,868,5.425,3291,162717.97,1016.9873,3369868.94,0.0,10645,35490,97965.5,23.1323,1538,3532,11
raspberry,macaron,마카롱,4436,27.725,0.2168,0,0.0,4276,0.0,0.0,585454.13,1521180.03,0,7970,57222.0,12.8995,0,1484,13
raspberry,pie,파이,5017,31.3562,0.2452,1458,9.1125,4047,231370.83,1446.0677,834917.52,0.0,6861,7490,96418.0,19.2183,1142,1554,11
raspberry,scone,스콘,2249,14.0563,0.1099,4212,26.325,1357,667007.43,4168.7965,703826.01,0.0,8682,5010,74036.0,32.9195,1212,1491,11
raspberry,tart,타르트,4520,28.25,0.221,5561,34.7563,2338,1268432.67,7927.7042,914557.39,0.0,33241,6782,168252.5,37.224,7688,1980,11
blueberry,baumkuchen,바움쿠헨,3089,19.3062,0.173,710,4.4375,2301,354930.87,2218.3179,778923.48,0.0,10608,22341,96306.0,31.1771,1228,2875,16
blueberry,pannacotta,판나코타,1573,9.8313,0.0881,2858,17.8625,1463,1106809.03,6917.5564,49445.43,0.0,994,1212,16385.5,10.4167,103,561,14
blueberry,pie,파이,8409,52.5562,0.4709,2811,17.5688,6223,1201338.95,7508.3685,707720.31,0.0,20196,17767,218206.5,25.9492,3038,3856,16
blueberry,scone,스콘,1930,12.0625,0.1081,6616,41.35,1255,2232763.5,13954.7718,369099.95,0.0,14802,9455,68036.5,35.2521,2126,1853,17
blueberry,tarte_tatin,타르트·타탱,2857,17.8562,0.16,2314,14.4625,1851,1512781.64,9454.8852,424339.72,0.0,16142,8654,110032.0,38.5131,3546,2435,15
