match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
2,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
3,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
4,raspberry,2,1,3,1,2,mixed_composition,mixed_composition
5,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
6,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
7,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
8,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
9,blueberry,1,2,3,1,1,mixed_composition,swarm_focus
10,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
11,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
12,blueberry,1,2,3,1,1,mixed_composition,swarm_focus
13,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
14,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
15,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
16,blueberry,1,2,3,1,3,mixed_composition,mixed_composition
17,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
18,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
19,raspberry,2,1,3,2,1,mixed_composition,mixed_composition
20,raspberry,2,0,2,1,2,mixed_composition,mixed_composition
21,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
22,raspberry,2,1,3,1,2,mixed_composition,mixed_composition
23,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
24,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
25,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
26,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
27,raspberry,2,0,2,1,2,mixed_composition,mixed_composition
28,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
29,blueberry,1,2,3,1,1,mixed_composition,swarm_focus
30,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
31,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
32,blueberry,1,2,3,1,1,mixed_composition,swarm_focus
33,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
34,raspberry,2,1,3,3,1,mixed_composition,mixed_composition
35,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
36,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
37,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
38,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
39,blueberry,0,2,2,1,2,mixed_composition,swarm_focus
40,raspberry,2,0,2,2,1,mixed_composition,mixed_composition
41,raspberry,2,0,2,1,1,mixed_composition,swarm_focus
42,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
43,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
44,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
45,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
46,raspberry,2,0,2,2,1,mixed_composition,swarm_focus
47,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
48,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
49,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
50,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
51,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
52,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
53,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
54,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
55,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
56,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
57,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
58,blueberry,0,2,2,1,2,mixed_composition,swarm_focus
59,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
60,blueberry,1,2,3,1,2,mixed_composition,swarm_focus
61,blueberry,1,2,3,1,3,mixed_composition,mixed_composition
62,blueberry,0,2,2,2,1,mixed_composition,swarm_focus
63,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
64,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
65,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
66,raspberry,2,1,3,2,1,mixed_composition,mixed_composition
67,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
68,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
69,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
70,raspberry,2,1,3,1,2,mixed_composition,mixed_composition
71,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
72,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
73,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
74,raspberry,2,1,3,1,2,mixed_composition,mixed_composition
75,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
