rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.349981,0.4643,0.5357,-0.3676,166.8166,0.714195,1.4563,0.875,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (tempo): raspberry.macaron.hp factor=0.9851 delta=0.0 | blueberry.pannacotta.cost factor=0.9635 delta=0.0 | blueberry.pannacotta.hp factor=1.0208 delta=0.0 | blueberry.pannacotta.speed factor=1.0227 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9832 delta=0.0 | blueberry.pannacotta.power factor=1.0208 delta=0.0 | blueberry.pannacotta.range factor=1.0066 delta=0.0 | blueberry.pannacotta.area factor=1.0095 delta=0.0
2,0.362833,0.5715,0.4285,-0.2072,161.9572,0.703051,1.4874,0.85715,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via tarte_tatin (tempo): blueberry.pie.cost factor=1.0189 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9635 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0208 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0227 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9832 delta=0.0 | blueberry.tarte_tatin.power factor=1.0208 delta=0.0 | blueberry.tarte_tatin.range factor=1.0066 delta=0.0 | blueberry.tarte_tatin.area factor=1.0095 delta=0.0
3,0.389827,0.4642,0.5357,-0.4486,167.1238,0.793921,1.2861,0.9286,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via tarte_tatin (offense): blueberry.pie.cost factor=1.0189 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9724 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0208 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0114 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9906 delta=0.0 | blueberry.tarte_tatin.power factor=1.036 delta=0.0 | blueberry.tarte_tatin.range factor=1.0119 delta=0.0 | blueberry.tarte_tatin.area factor=1.017 delta=0.0
4,0.395479,0.4286,0.5714,-0.5008,165.4719,0.699086,1.50215,0.85715,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (balanced): raspberry.macaron.cost factor=1.0189 delta=0.0 | blueberry.pannacotta.cost factor=0.9688 delta=0.0 | blueberry.pannacotta.hp factor=1.0284 delta=0.0 | blueberry.pannacotta.speed factor=1.0133 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9888 delta=0.0 | blueberry.pannacotta.power factor=1.0246 delta=0.0 | blueberry.pannacotta.range factor=1.008 delta=0.0 | blueberry.pannacotta.area factor=1.0114 delta=0.0
5,0.407082,0.6072,0.3928,0.0736,160.5143,0.766566,1.2935,0.9286,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (offense): raspberry.macaron.hp factor=0.9851 delta=0.0 | blueberry.pannacotta.cost factor=0.9724 delta=0.0 | blueberry.pannacotta.hp factor=1.0208 delta=0.0 | blueberry.pannacotta.speed factor=1.0114 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9906 delta=0.0 | blueberry.pannacotta.power factor=1.036 delta=0.0 | blueberry.pannacotta.range factor=1.0119 delta=0.0 | blueberry.pannacotta.area factor=1.017 delta=0.0
6,0.422526,0.4643,0.5357,-0.5201,172.2749,0.858283,0.64675,0.9643,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (balanced): raspberry.macaron.hp factor=0.9851 delta=0.0 | blueberry.pannacotta.cost factor=0.9688 delta=0.0 | blueberry.pannacotta.hp factor=1.0284 delta=0.0 | blueberry.pannacotta.speed factor=1.0133 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9888 delta=0.0 | blueberry.pannacotta.power factor=1.0246 delta=0.0 | blueberry.pannacotta.range factor=1.008 delta=0.0 | blueberry.pannacotta.area factor=1.0114 delta=0.0
7,0.43094,0.6072,0.3928,0.189,165.4292,0.793921,1.2861,0.9286,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (offense): raspberry.macaron.cost factor=1.0189 delta=0.0 | blueberry.pannacotta.cost factor=0.9724 delta=0.0 | blueberry.pannacotta.hp factor=1.0208 delta=0.0 | blueberry.pannacotta.speed factor=1.0114 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9906 delta=0.0 | blueberry.pannacotta.power factor=1.036 delta=0.0 | blueberry.pannacotta.range factor=1.0119 delta=0.0 | blueberry.pannacotta.area factor=1.017 delta=0.0
8,0.441934,0.6072,0.3929,-0.0736,170.0,0.858283,0.64675,0.9643,reduce blueberry swarm_focus via pie.speed + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.speed factor=0.9869 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9688 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0284 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0133 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9888 delta=0.0 | blueberry.tarte_tatin.power factor=1.0246 delta=0.0 | blueberry.tarte_tatin.range factor=1.008 delta=0.0 | blueberry.tarte_tatin.area factor=1.0114 delta=0.0
9,0.446122,0.3928,0.6072,-0.5202,161.8171,0.73219,1.40025,0.89285,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.cost factor=1.0189 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9688 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0284 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0133 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9888 delta=0.0 | blueberry.tarte_tatin.power factor=1.0246 delta=0.0 | blueberry.tarte_tatin.range factor=1.008 delta=0.0 | blueberry.tarte_tatin.area factor=1.0114 delta=0.0
10,0.482696,0.6429,0.3571,0.1756,169.0888,0.840289,0.7028,0.94645,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (tempo): raspberry.macaron.speed factor=0.9869 delta=0.0 | blueberry.pannacotta.cost factor=0.9635 delta=0.0 | blueberry.pannacotta.hp factor=1.0208 delta=0.0 | blueberry.pannacotta.speed factor=1.0227 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9832 delta=0.0 | blueberry.pannacotta.power factor=1.0208 delta=0.0 | blueberry.pannacotta.range factor=1.0066 delta=0.0 | blueberry.pannacotta.area factor=1.0095 delta=0.0
11,0.497751,0.6785,0.3215,0.4465,172.373,0.703051,1.4874,0.85715,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (balanced): raspberry.macaron.speed factor=0.9869 delta=0.0 | blueberry.pannacotta.cost factor=0.9688 delta=0.0 | blueberry.pannacotta.hp factor=1.0284 delta=0.0 | blueberry.pannacotta.speed factor=1.0133 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9888 delta=0.0 | blueberry.pannacotta.power factor=1.0246 delta=0.0 | blueberry.pannacotta.range factor=1.008 delta=0.0 | blueberry.pannacotta.area factor=1.0114 delta=0.0
