rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.302042,0.5,0.5,-0.3576,166.2468,0.685057,1.54345,0.8393,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (offense): raspberry.macaron.hp factor=0.9867 delta=0.0 | blueberry.pannacotta.cost factor=0.9754 delta=0.0 | blueberry.pannacotta.hp factor=1.0185 delta=0.0 | blueberry.pannacotta.speed factor=1.0101 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9917 delta=0.0 | blueberry.pannacotta.power factor=1.032 delta=0.0 | blueberry.pannacotta.range factor=1.0106 delta=0.0 | blueberry.pannacotta.area factor=1.0151 delta=0.0
2,0.337541,0.5357,0.4643,-0.1783,164.8516,0.739578,1.3992,0.91075,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (tempo): raspberry.macaron.hp factor=0.9867 delta=0.0 | blueberry.pannacotta.cost factor=0.9674 delta=0.0 | blueberry.pannacotta.hp factor=1.0185 delta=0.0 | blueberry.pannacotta.speed factor=1.0202 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9851 delta=0.0 | blueberry.pannacotta.power factor=1.0185 delta=0.0 | blueberry.pannacotta.range factor=1.0059 delta=0.0 | blueberry.pannacotta.area factor=1.0084 delta=0.0
3,0.345418,0.5357,0.4642,-0.3191,166.964,0.717079,1.4461,0.875,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (tempo): raspberry.macaron.speed factor=0.9884 delta=0.0 | blueberry.pannacotta.cost factor=0.9674 delta=0.0 | blueberry.pannacotta.hp factor=1.0185 delta=0.0 | blueberry.pannacotta.speed factor=1.0202 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9851 delta=0.0 | blueberry.pannacotta.power factor=1.0185 delta=0.0 | blueberry.pannacotta.range factor=1.0059 delta=0.0 | blueberry.pannacotta.area factor=1.0084 delta=0.0
4,0.377622,0.5715,0.4285,-0.1857,173.4246,0.748572,1.34955,0.91075,reduce blueberry swarm_focus via pie.speed + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.speed factor=0.9884 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9722 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0252 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0118 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.99 delta=0.0 | blueberry.tarte_tatin.power factor=1.0219 delta=0.0 | blueberry.tarte_tatin.range factor=1.0071 delta=0.0 | blueberry.tarte_tatin.area factor=1.0101 delta=0.0
5,0.382348,0.5715,0.4285,-0.0785,168.2832,0.793921,1.2861,0.9286,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via tarte_tatin (offense): blueberry.pie.cost factor=1.0168 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9754 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0185 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0101 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9917 delta=0.0 | blueberry.tarte_tatin.power factor=1.032 delta=0.0 | blueberry.tarte_tatin.range factor=1.0106 delta=0.0 | blueberry.tarte_tatin.area factor=1.0151 delta=0.0
6,0.385951,0.6072,0.3928,-0.0097,167.1026,0.730578,1.4056,0.8929,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.cost factor=1.0168 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9722 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0252 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0118 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.99 delta=0.0 | blueberry.tarte_tatin.power factor=1.0219 delta=0.0 | blueberry.tarte_tatin.range factor=1.0071 delta=0.0 | blueberry.tarte_tatin.area factor=1.0101 delta=0.0
7,0.386395,0.5715,0.4285,-0.3195,161.6528,0.730578,1.4056,0.8929,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via tarte_tatin (tempo): blueberry.pie.cost factor=1.0168 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9674 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0185 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0202 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9851 delta=0.0 | blueberry.tarte_tatin.power factor=1.0185 delta=0.0 | blueberry.tarte_tatin.range factor=1.0059 delta=0.0 | blueberry.tarte_tatin.area factor=1.0084 delta=0.0
8,0.398468,0.5357,0.4643,-0.3725,164.6139,0.840289,0.7028,0.94645,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (balanced): raspberry.macaron.cost factor=1.0168 delta=0.0 | blueberry.pannacotta.cost factor=0.9722 delta=0.0 | blueberry.pannacotta.hp factor=1.0252 delta=0.0 | blueberry.pannacotta.speed factor=1.0118 delta=0.0 | blueberry.pannacotta.cooldown factor=0.99 delta=0.0 | blueberry.pannacotta.power factor=1.0219 delta=0.0 | blueberry.pannacotta.range factor=1.0071 delta=0.0 | blueberry.pannacotta.area factor=1.0101 delta=0.0
9,0.448983,0.4286,0.5714,-0.5919,163.7981,0.811915,1.23005,0.94645,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (offense): raspberry.macaron.speed factor=0.9884 delta=0.0 | blueberry.pannacotta.cost factor=0.9754 delta=0.0 | blueberry.pannacotta.hp factor=1.0185 delta=0.0 | blueberry.pannacotta.speed factor=1.0101 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9917 delta=0.0 | blueberry.pannacotta.power factor=1.032 delta=0.0 | blueberry.pannacotta.range factor=1.0106 delta=0.0 | blueberry.pannacotta.area factor=1.0151 delta=0.0
10,0.489371,0.3928,0.6072,-0.7432,166.9069,0.777539,1.3368,0.9107,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (offense): raspberry.macaron.cost factor=1.0168 delta=0.0 | blueberry.pannacotta.cost factor=0.9754 delta=0.0 | blueberry.pannacotta.hp factor=1.0185 delta=0.0 | blueberry.pannacotta.speed factor=1.0101 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9917 delta=0.0 | blueberry.pannacotta.power factor=1.032 delta=0.0 | blueberry.pannacotta.range factor=1.0106 delta=0.0 | blueberry.pannacotta.area factor=1.0151 delta=0.0
11,0.558083,0.3215,0.6785,-1.0756,164.8828,0.668675,1.59415,0.8214,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (balanced): raspberry.macaron.speed factor=0.9884 delta=0.0 | blueberry.pannacotta.cost factor=0.9722 delta=0.0 | blueberry.pannacotta.hp factor=1.0252 delta=0.0 | blueberry.pannacotta.speed factor=1.0118 delta=0.0 | blueberry.pannacotta.cooldown factor=0.99 delta=0.0 | blueberry.pannacotta.power factor=1.0219 delta=0.0 | blueberry.pannacotta.range factor=1.0071 delta=0.0 | blueberry.pannacotta.area factor=1.0101 delta=0.0
