iteration,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,balance_score,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,confirmation_raspberry_win_rate,confirmation_blueberry_win_rate,confirmation_avg_final_control,confirmation_balance_score,confirmation_strategy_diversity_penalty,confirmation_passed,patch_added,stopped
1,0.9625,0.0375,2.397,155.2343,1.079729,0.888366,1.0695,0.9875,,,,,,,reduce blueberry swarm_focus via pie.power + enable ranged_focus via scone (offense): blueberry.pie.power factor=0.9752 delta=0.0 | blueberry.scone.cost factor=0.9633 delta=0.0 | blueberry.scone.hp factor=1.0279 delta=0.0 | blueberry.scone.speed factor=1.0152 delta=0.0 | blueberry.scone.cooldown factor=0.9875 delta=0.0 | blueberry.scone.power factor=1.0483 delta=0.0 | blueberry.scone.range factor=1.016 delta=0.0,False
2,0.9688,0.0312,2.1935,148.1818,1.058877,0.879391,1.0976,0.9812,,,,,,,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via scone (balanced): blueberry.pie.cost factor=1.0255 delta=0.0 | blueberry.scone.cost factor=0.9584 delta=0.0 | blueberry.scone.hp factor=1.0383 delta=0.0 | blueberry.scone.speed factor=1.0179 delta=0.0 | blueberry.scone.cooldown factor=0.9849 delta=0.0 | blueberry.scone.power factor=1.0332 delta=0.0 | blueberry.scone.range factor=1.0107 delta=0.0,False
3,0.9313,0.0688,2.0694,160.3092,1.00527,0.875105,1.111,0.9781,,,,,,,reduce blueberry swarm_focus via pie.hp + enable ranged_focus via scone (offense): blueberry.pie.hp factor=0.9806 delta=0.0 | blueberry.scone.cost factor=0.9643 delta=0.0 | blueberry.scone.hp factor=1.0272 delta=0.0 | blueberry.scone.speed factor=1.0148 delta=0.0 | blueberry.scone.cooldown factor=0.9878 delta=0.0 | blueberry.scone.power factor=1.0469 delta=0.0 | blueberry.scone.range factor=1.0156 delta=0.0,False
4,0.825,0.175,1.2237,164.8248,0.799452,0.87286,1.121,0.9781,,,,,,,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (offense): raspberry.macaron.speed factor=0.9846 delta=0.0 | blueberry.pannacotta.cost factor=0.9676 delta=0.0 | blueberry.pannacotta.hp factor=1.0245 delta=0.0 | blueberry.pannacotta.speed factor=1.0134 delta=0.0 | blueberry.pannacotta.cooldown factor=0.989 delta=0.0 | blueberry.pannacotta.power factor=1.0424 delta=0.0 | blueberry.pannacotta.range factor=1.0141 delta=0.0 | blueberry.pannacotta.area factor=1.0201 delta=0.0,False
5,0.7937,0.2062,0.8862,165.537,0.690753,0.772797,1.274,0.9344,,,,,,,reduce blueberry swarm_focus via pie.speed + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.speed factor=0.9851 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9646 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0324 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0151 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9872 delta=0.0 | blueberry.tarte_tatin.power factor=1.0281 delta=0.0 | blueberry.tarte_tatin.range factor=1.0091 delta=0.0 | blueberry.tarte_tatin.area factor=1.013 delta=0.0,False
6,0.775,0.225,0.7913,169.098,0.654708,0.756288,1.3255,0.9187,,,,,,,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (balanced): raspberry.macaron.cost factor=1.0212 delta=0.0 | blueberry.pannacotta.cost factor=0.9652 delta=0.0 | blueberry.pannacotta.hp factor=1.0318 delta=0.0 | blueberry.pannacotta.speed factor=1.0148 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9874 delta=0.0 | blueberry.pannacotta.power factor=1.0275 delta=0.0 | blueberry.pannacotta.range factor=1.0089 delta=0.0 | blueberry.pannacotta.area factor=1.0127 delta=0.0,False
7,0.6625,0.3375,0.3096,168.3921,0.500292,0.793873,1.2083,0.9531,,,,,,,reduce blueberry swarm_focus via pie.power + enable ranged_focus via scone (tempo): blueberry.pie.power factor=0.9817 delta=0.0 | blueberry.scone.cost factor=0.964 delta=0.0 | blueberry.scone.hp factor=1.0205 delta=0.0 | blueberry.scone.speed factor=1.0224 delta=0.0 | blueberry.scone.cooldown factor=0.9835 delta=0.0 | blueberry.scone.power factor=1.0205 delta=0.0 | blueberry.scone.range factor=1.0065 delta=0.0,False
8,0.5625,0.4375,-0.0543,167.1098,0.369129,0.790248,1.2196,0.95,,,,,,,reduce blueberry swarm_focus via pie.hp + enable ranged_focus via scone (balanced): blueberry.pie.hp factor=0.987 delta=0.0 | blueberry.scone.cost factor=0.9729 delta=0.0 | blueberry.scone.hp factor=1.0246 delta=0.0 | blueberry.scone.speed factor=1.0115 delta=0.0 | blueberry.scone.cooldown factor=0.9903 delta=0.0 | blueberry.scone.power factor=1.0213 delta=0.0 | blueberry.scone.range factor=1.0069 delta=0.0,False
9,0.6188,0.3812,0.1598,164.7526,0.405475,0.705346,1.4838,0.8656,,,,,,,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (balanced): raspberry.macaron.cost factor=1.0177 delta=0.0 | blueberry.pannacotta.cost factor=0.9708 delta=0.0 | blueberry.pannacotta.hp factor=1.0265 delta=0.0 | blueberry.pannacotta.speed factor=1.0124 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9895 delta=0.0 | blueberry.pannacotta.power factor=1.023 delta=0.0 | blueberry.pannacotta.range factor=1.0074 delta=0.0 | blueberry.pannacotta.area factor=1.0106 delta=0.0,False
10,0.675,0.325,0.297,166.7348,0.498269,0.759523,1.3154,0.9219,0.675,0.325,0.297,0.498269,0.759523,False,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (tempo): raspberry.macaron.hp factor=0.9851 delta=0.0 | blueberry.pannacotta.cost factor=0.9635 delta=0.0 | blueberry.pannacotta.hp factor=1.0208 delta=0.0 | blueberry.pannacotta.speed factor=1.0227 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9832 delta=0.0 | blueberry.pannacotta.power factor=1.0208 delta=0.0 | blueberry.pannacotta.range factor=1.0066 delta=0.0 | blueberry.pannacotta.area factor=1.0095 delta=0.0,False
