match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,2,1,mixed_composition,mixed_composition
2,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
3,raspberry,2,0,2,1,3,mixed_composition,mixed_composition
4,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
5,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
6,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
7,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
8,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
9,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
10,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
11,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
12,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
13,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
14,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
15,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
16,raspberry,2,0,2,2,1,mixed_composition,mixed_composition
17,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
18,raspberry,2,0,2,1,2,mixed_composition,mixed_composition
19,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
20,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
21,raspberry,2,0,2,2,1,mixed_composition,mixed_composition
22,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
23,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
24,raspberry,2,1,3,1,2,mixed_composition,mixed_composition
25,raspberry,2,1,3,1,1,mixed_composition,swarm_focus
26,blueberry,0,2,2,2,1,mixed_composition,mixed_composition
27,blueberry,1,2,3,1,1,mixed_composition,swarm_focus
28,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
29,raspberry,2,1,3,2,2,mixed_composition,mixed_composition
30,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
31,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
32,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
33,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
34,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
35,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
36,raspberry,2,0,2,1,2,mixed_composition,mixed_composition
37,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
38,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
39,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
40,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
41,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
42,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
43,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
44,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
45,raspberry,2,0,2,2,1,mixed_composition,mixed_composition
46,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
47,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
48,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
49,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
50,blueberry,1,2,3,1,2,mixed_composition,swarm_focus
