team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,4360,27.25,0.2075,706,4.4125,3529,143391.91,896.1994,3506094.16,0.0,9469,33043,92719.0,21.2658,1300,3490,12
raspberry,macaron,마카롱,4631,28.9438,0.2204,0,0.0,4552,0.0,0.0,609048.36,1464179.4,0,8205,52437.5,11.3231,0,1298,12
raspberry,pie,파이,5131,32.0688,0.2442,1458,9.1125,4497,240305.58,1501.9099,894177.56,0.0,7198,7237,87650.5,17.0825,1128,1372,10
raspberry,scone,스콘,2219,13.8688,0.1056,3715,23.2188,1550,576736.68,3604.6043,783969.46,0.0,7625,4826,64634.5,29.1278,1051,1423,14
raspberry,tart,타르트,4671,29.1938,0.2223,6145,38.4062,2841,1331099.56,8319.3722,1069971.83,0.0,36672,6883,164305.5,35.1757,8708,1961,11
blueberry,baumkuchen,바움쿠헨,2637,16.4812,0.1428,620,3.875,2047,319905.71,1999.4107,713269.89,0.0,9751,21458,69267.0,26.2673,885,3304,16
blueberry,pannacotta,판나코타,2565,16.0312,0.1389,4628,28.925,2179,1730514.58,10815.7161,82010.54,0.0,1504,2291,34693.0,13.5255,220,911,14
blueberry,pie,파이,8744,54.65,0.4736,2730,17.0625,6370,1146782.86,7167.3929,723435.6,0.0,19670,19271,232086.0,26.5423,2948,3916,16
blueberry,scone,스콘,2016,12.6,0.1092,7251,45.3188,1377,2512085.9,15700.5369,422666.8,0.0,16941,10594,81801.0,40.5759,2834,2033,14
blueberry,tarte_tatin,타르트·타탱,2499,15.6188,0.1354,1740,10.875,1555,1153972.32,7212.327,350150.89,0.0,12328,7350,92651.0,37.0752,2657,2023,15
