team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,4191,26.1938,0.2001,651,4.0687,3438,144781.6,904.885,3446168.63,0.0,9491,32703,85078.0,20.3002,1259,3320,13
raspberry,macaron,마카롱,4621,28.8813,0.2206,0,0.0,4524,0.0,0.0,617037.39,1493938.22,0,7979,53933.5,11.6714,0,1267,11
raspberry,pie,파이,4903,30.6438,0.2341,1324,8.275,4242,214062.92,1337.8933,852001.1,0.0,6443,7058,80860.0,16.4919,944,1417,12
raspberry,scone,스콘,2345,14.6562,0.112,4065,25.4062,1664,618484.33,3865.5271,842245.29,0.0,8276,5197,62962.5,26.8497,1071,1391,10
raspberry,tart,타르트,4886,30.5375,0.2333,6195,38.7188,3088,1365889.95,8536.8122,1176743.73,0.0,37982,7575,162963.5,33.3532,8693,2064,15
blueberry,baumkuchen,바움쿠헨,2755,17.2188,0.1487,633,3.9562,2071,330874.77,2067.9673,722599.05,0.0,10174,22015,79028.5,28.6855,905,3004,14
blueberry,pannacotta,판나코타,2639,16.4937,0.1424,4801,30.0063,2324,1811956.01,11324.725,90190.99,0.0,1557,2616,32203.0,12.2027,209,961,15
blueberry,pie,파이,8682,54.2625,0.4686,2717,16.9812,6428,1151655.42,7197.8464,737906.63,0.0,19789,19940,223358.5,25.7266,3024,3967,13
blueberry,scone,스콘,2115,13.2188,0.1142,7210,45.0625,1412,2506551.2,15665.945,432501.15,0.0,16818,10358,85330.5,40.3454,2858,2088,20
blueberry,tarte_tatin,타르트·타탱,2336,14.6,0.1261,1595,9.9688,1557,1133158.75,7082.2422,360020.98,0.0,12174,7263,85235.0,36.4876,2463,1947,16
