rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.371627,0.5,0.5,-0.0537,172.536,0.811915,1.23005,0.94645,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.power factor=0.9837 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9726 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0248 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0116 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9902 delta=0.0 | blueberry.tarte_tatin.power factor=1.0215 delta=0.0 | blueberry.tarte_tatin.range factor=1.0069 delta=0.0 | blueberry.tarte_tatin.area factor=1.0099 delta=0.0
2,0.433565,0.5357,0.4642,-0.2786,171.6466,0.811915,1.23005,0.94645,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (offense): raspberry.macaron.cost factor=1.0165 delta=0.0 | blueberry.pannacotta.cost factor=0.9758 delta=0.0 | blueberry.pannacotta.hp factor=1.0182 delta=0.0 | blueberry.pannacotta.speed factor=1.0099 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9918 delta=0.0 | blueberry.pannacotta.power factor=1.0314 delta=0.0 | blueberry.pannacotta.range factor=1.0104 delta=0.0 | blueberry.pannacotta.area factor=1.0149 delta=0.0
3,0.456125,0.4643,0.5357,-0.2661,168.6703,0.865289,0.7028,0.94645,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (tempo): blueberry.pie.power factor=0.9837 delta=0.0 | blueberry.tarte_tatin.cost factor=0.968 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0182 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0199 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9853 delta=0.0 | blueberry.tarte_tatin.power factor=1.0182 delta=0.0 | blueberry.tarte_tatin.range factor=1.0058 delta=0.0 | blueberry.tarte_tatin.area factor=1.0083 delta=0.0
4,0.48098,0.4286,0.5714,-0.2041,174.2199,0.857264,1.1666,0.9643,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (offense): blueberry.pie.power factor=0.9837 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9758 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0182 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0099 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9918 delta=0.0 | blueberry.tarte_tatin.power factor=1.0314 delta=0.0 | blueberry.tarte_tatin.range factor=1.0104 delta=0.0 | blueberry.tarte_tatin.area factor=1.0149 delta=0.0
5,0.48452,0.6072,0.3928,-0.1025,173.2179,0.811915,1.23005,0.94645,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (tempo): raspberry.macaron.hp factor=0.9869 delta=0.0 | blueberry.pannacotta.cost factor=0.968 delta=0.0 | blueberry.pannacotta.hp factor=1.0182 delta=0.0 | blueberry.pannacotta.speed factor=1.0199 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9853 delta=0.0 | blueberry.pannacotta.power factor=1.0182 delta=0.0 | blueberry.pannacotta.range factor=1.0058 delta=0.0 | blueberry.pannacotta.area factor=1.0083 delta=0.0
6,0.488853,0.5715,0.4285,-0.3362,170.8661,0.840289,0.7028,0.94645,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.cost factor=1.0165 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9726 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0248 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0116 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9902 delta=0.0 | blueberry.tarte_tatin.power factor=1.0215 delta=0.0 | blueberry.tarte_tatin.range factor=1.0069 delta=0.0 | blueberry.tarte_tatin.area factor=1.0099 delta=0.0
7,0.558917,0.6428,0.3571,0.2562,170.6573,0.858283,0.64675,0.9643,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (balanced): raspberry.macaron.speed factor=0.9886 delta=0.0 | blueberry.pannacotta.cost factor=0.9726 delta=0.0 | blueberry.pannacotta.hp factor=1.0248 delta=0.0 | blueberry.pannacotta.speed factor=1.0116 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9902 delta=0.0 | blueberry.pannacotta.power factor=1.0215 delta=0.0 | blueberry.pannacotta.range factor=1.0069 delta=0.0 | blueberry.pannacotta.area factor=1.0099 delta=0.0
8,0.56454,0.3571,0.6429,-0.6573,170.5613,0.766566,1.2935,0.9286,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (balanced): raspberry.macaron.cost factor=1.0165 delta=0.0 | blueberry.pannacotta.cost factor=0.9726 delta=0.0 | blueberry.pannacotta.hp factor=1.0248 delta=0.0 | blueberry.pannacotta.speed factor=1.0116 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9902 delta=0.0 | blueberry.pannacotta.power factor=1.0215 delta=0.0 | blueberry.pannacotta.range factor=1.0069 delta=0.0 | blueberry.pannacotta.area factor=1.0099 delta=0.0
9,0.578285,0.6786,0.3214,0.2942,174.2146,0.811915,1.23005,0.94645,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (offense): raspberry.macaron.speed factor=0.9886 delta=0.0 | blueberry.pannacotta.cost factor=0.9758 delta=0.0 | blueberry.pannacotta.hp factor=1.0182 delta=0.0 | blueberry.pannacotta.speed factor=1.0099 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9918 delta=0.0 | blueberry.pannacotta.power factor=1.0314 delta=0.0 | blueberry.pannacotta.range factor=1.0104 delta=0.0 | blueberry.pannacotta.area factor=1.0149 delta=0.0
10,0.578751,0.3571,0.6429,-0.6736,172.4149,0.793921,1.2861,0.9286,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (balanced): raspberry.macaron.hp factor=0.9869 delta=0.0 | blueberry.pannacotta.cost factor=0.9726 delta=0.0 | blueberry.pannacotta.hp factor=1.0248 delta=0.0 | blueberry.pannacotta.speed factor=1.0116 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9902 delta=0.0 | blueberry.pannacotta.power factor=1.0215 delta=0.0 | blueberry.pannacotta.range factor=1.0069 delta=0.0 | blueberry.pannacotta.area factor=1.0099 delta=0.0
11,0.582194,0.3571,0.6429,-0.7663,170.2493,0.777539,1.3368,0.9107,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (offense): raspberry.macaron.hp factor=0.9869 delta=0.0 | blueberry.pannacotta.cost factor=0.9758 delta=0.0 | blueberry.pannacotta.hp factor=1.0182 delta=0.0 | blueberry.pannacotta.speed factor=1.0099 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9918 delta=0.0 | blueberry.pannacotta.power factor=1.0314 delta=0.0 | blueberry.pannacotta.range factor=1.0104 delta=0.0 | blueberry.pannacotta.area factor=1.0149 delta=0.0
