team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,4053,25.3313,0.1988,570,3.5625,3507,126495.14,790.5946,3335145.45,0.0,8305,30837,73262.0,18.076,903,3456,13
raspberry,macaron,마카롱,4349,27.1812,0.2133,0,0.0,4535,0.0,0.0,607506.51,1383478.7,0,7970,51158.5,11.7633,0,1278,9
raspberry,pie,파이,5035,31.4688,0.247,1373,8.5813,4526,223918.84,1399.4928,908723.4,0.0,6456,7764,79078.5,15.7058,785,1581,12
raspberry,scone,스콘,2224,13.9,0.1091,3861,24.1313,1674,608177.05,3801.1066,848617.54,0.0,7993,5184,58461.5,26.2866,924,1407,9
raspberry,tart,타르트,4726,29.5375,0.2318,5101,31.8813,3267,1168516.62,7303.2289,1209207.72,0.0,32052,7016,135624.5,28.6975,6744,2017,10
blueberry,baumkuchen,바움쿠헨,2567,16.0437,0.1424,760,4.75,1916,320024.59,2000.1537,666679.2,0.0,9724,19778,78977.0,30.7663,1003,2510,15
blueberry,pannacotta,판나코타,3040,19.0,0.1686,5801,36.2563,2619,2121138.4,13257.115,101809.57,0.0,1847,2582,40853.5,13.4387,245,691,22
blueberry,pie,파이,7929,49.5562,0.4399,2656,16.6,5540,1073719.97,6710.7498,639313.31,0.0,18733,16854,226318.5,28.5431,2953,2964,15
blueberry,scone,스콘,1814,11.3375,0.1006,6298,39.3625,1135,2085841.9,13036.5119,354593.52,0.0,14174,8311,74534.0,41.0882,2343,1575,13
blueberry,tarte_tatin,타르트·타탱,2676,16.725,0.1485,1994,12.4625,1542,1308475.77,8177.9736,364712.05,0.0,14293,7281,106883.5,39.9415,3195,1616,11
