team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,4116,25.725,0.195,628,3.925,3309,126332.44,789.5778,3243526.32,0.0,8177,28544,83426.5,20.2688,1072,2880,10
raspberry,macaron,마카롱,4384,27.4,0.2076,0,0.0,4395,0.0,0.0,562454.67,1328601.17,0,7128,50965.5,11.6253,0,1110,10
raspberry,pie,파이,5300,33.125,0.251,1376,8.6,4508,224876.82,1405.4801,897482.5,0.0,6492,7165,96171.0,18.1455,947,1277,9
raspberry,scone,스콘,2375,14.8438,0.1125,3786,23.6625,1636,572775.25,3579.8453,797234.68,0.0,7488,4405,65691.5,27.6596,998,1120,9
raspberry,tart,타르트,4938,30.8625,0.2339,6449,40.3062,3128,1396056.06,8725.3504,1170367.55,0.0,40401,6506,175983.5,35.6386,9798,1774,11
blueberry,baumkuchen,바움쿠헨,2657,16.6062,0.1459,666,4.1625,2125,301606.83,1885.0427,719581.33,0.0,8958,22202,62627.5,23.5708,738,3872,15
blueberry,pannacotta,판나코타,2972,18.575,0.1633,5669,35.4312,2645,2072978.81,12956.1176,107627.3,0.0,1732,2907,31778.5,10.6926,206,1007,15
blueberry,pie,파이,7905,49.4062,0.4342,2372,14.825,6021,968321.19,6052.0074,669384.65,0.0,16364,18244,196074.0,24.8038,2467,3556,15
blueberry,scone,스콘,2013,12.5813,0.1106,6517,40.7313,1379,2144971.82,13406.0739,411639.53,0.0,14259,10185,74938.0,37.227,2269,1933,13
blueberry,tarte_tatin,타르트·타탱,2658,16.6125,0.146,1752,10.95,1801,1183187.07,7394.9192,411807.77,0.0,12435,9020,89936.0,33.836,2481,2447,16
