rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.482403,0.5357,0.4643,-0.1646,175.3379,0.95,0.0,1.0,soft nerf blueberry.baumkuchen.power + rework raspberry.pie (offense): blueberry.baumkuchen.power factor=0.983 delta=0.0 | raspberry.pie.cost factor=0.9748 delta=0.0 | raspberry.pie.hp factor=1.019 delta=0.0 | raspberry.pie.speed factor=1.0104 delta=0.0 | raspberry.pie.cooldown factor=0.9914 delta=0.0 | raspberry.pie.power factor=1.0328 delta=0.0 | raspberry.pie.range factor=1.0109 delta=0.0
2,0.483978,0.5357,0.4642,-0.1781,176.5536,0.95,0.0,1.0,soft nerf blueberry.baumkuchen.hp + rework raspberry.pie (offense): blueberry.baumkuchen.hp factor=0.9864 delta=0.0 | raspberry.pie.cost factor=0.9748 delta=0.0 | raspberry.pie.hp factor=1.019 delta=0.0 | raspberry.pie.speed factor=1.0104 delta=0.0 | raspberry.pie.cooldown factor=0.9914 delta=0.0 | raspberry.pie.power factor=1.0328 delta=0.0 | raspberry.pie.range factor=1.0109 delta=0.0
3,0.485058,0.4643,0.5357,-0.3662,173.7159,0.903632,0.5833,0.98215,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via scone (balanced): blueberry.pie.cost factor=1.0172 delta=0.0 | blueberry.scone.cost factor=0.9715 delta=0.0 | blueberry.scone.hp factor=1.0259 delta=0.0 | blueberry.scone.speed factor=1.0121 delta=0.0 | blueberry.scone.cooldown factor=0.9898 delta=0.0 | blueberry.scone.power factor=1.0224 delta=0.0 | blueberry.scone.range factor=1.0072 delta=0.0
4,0.497588,0.4643,0.5357,-0.4736,172.6664,0.903632,0.5833,0.98215,soft nerf blueberry.baumkuchen.hp + rework raspberry.pie (tempo): blueberry.baumkuchen.hp factor=0.9864 delta=0.0 | raspberry.pie.cost factor=0.9667 delta=0.0 | raspberry.pie.hp factor=1.019 delta=0.0 | raspberry.pie.speed factor=1.0207 delta=0.0 | raspberry.pie.cooldown factor=0.9847 delta=0.0 | raspberry.pie.power factor=1.019 delta=0.0 | raspberry.pie.range factor=1.006 delta=0.0
5,0.505947,0.4643,0.5357,-0.3664,173.269,0.95,0.0,1.0,soft nerf blueberry.baumkuchen.power + rework raspberry.pie (balanced): blueberry.baumkuchen.power factor=0.983 delta=0.0 | raspberry.pie.cost factor=0.9715 delta=0.0 | raspberry.pie.hp factor=1.0259 delta=0.0 | raspberry.pie.speed factor=1.0121 delta=0.0 | raspberry.pie.cooldown factor=0.9898 delta=0.0 | raspberry.pie.power factor=1.0224 delta=0.0 | raspberry.pie.range factor=1.0072 delta=0.0
6,0.507434,0.5714,0.4286,-0.252,173.6198,0.903632,0.5833,0.98215,soft nerf blueberry.baumkuchen.hp + rework raspberry.pie (balanced): blueberry.baumkuchen.hp factor=0.9864 delta=0.0 | raspberry.pie.cost factor=0.9715 delta=0.0 | raspberry.pie.hp factor=1.0259 delta=0.0 | raspberry.pie.speed factor=1.0121 delta=0.0 | raspberry.pie.cooldown factor=0.9898 delta=0.0 | raspberry.pie.power factor=1.0224 delta=0.0 | raspberry.pie.range factor=1.0072 delta=0.0
7,0.520289,0.4286,0.5714,-0.5371,174.1487,0.858283,0.64675,0.9643,reduce blueberry swarm_focus via pie.hp + enable ranged_focus via scone (offense): blueberry.pie.hp factor=0.9864 delta=0.0 | blueberry.scone.cost factor=0.9748 delta=0.0 | blueberry.scone.hp factor=1.019 delta=0.0 | blueberry.scone.speed factor=1.0104 delta=0.0 | blueberry.scone.cooldown factor=0.9914 delta=0.0 | blueberry.scone.power factor=1.0328 delta=0.0 | blueberry.scone.range factor=1.0109 delta=0.0
8,0.523436,0.6072,0.3928,0.0823,172.6309,0.903632,0.5833,0.98215,soft nerf blueberry.baumkuchen.power + rework raspberry.pie (tempo): blueberry.baumkuchen.power factor=0.983 delta=0.0 | raspberry.pie.cost factor=0.9667 delta=0.0 | raspberry.pie.hp factor=1.019 delta=0.0 | raspberry.pie.speed factor=1.0207 delta=0.0 | raspberry.pie.cooldown factor=0.9847 delta=0.0 | raspberry.pie.power factor=1.019 delta=0.0 | raspberry.pie.range factor=1.006 delta=0.0
9,0.587479,0.3929,0.6072,-0.6321,172.8188,0.903632,0.5833,0.98215,reduce blueberry swarm_focus via pie.hp + enable ranged_focus via scone (balanced): blueberry.pie.hp factor=0.9864 delta=0.0 | blueberry.scone.cost factor=0.9715 delta=0.0 | blueberry.scone.hp factor=1.0259 delta=0.0 | blueberry.scone.speed factor=1.0121 delta=0.0 | blueberry.scone.cooldown factor=0.9898 delta=0.0 | blueberry.scone.power factor=1.0224 delta=0.0 | blueberry.scone.range factor=1.0072 delta=0.0
10,0.621973,0.3571,0.6429,-0.6209,173.6139,0.903632,0.5833,0.98215,reduce blueberry swarm_focus via pie.hp + enable ranged_focus via scone (tempo): blueberry.pie.hp factor=0.9864 delta=0.0 | blueberry.scone.cost factor=0.9667 delta=0.0 | blueberry.scone.hp factor=1.019 delta=0.0 | blueberry.scone.speed factor=1.0207 delta=0.0 | blueberry.scone.cooldown factor=0.9847 delta=0.0 | blueberry.scone.power factor=1.019 delta=0.0 | blueberry.scone.range factor=1.006 delta=0.0
11,0.636811,0.3571,0.6429,-0.923,173.9092,0.858283,0.64675,0.9643,soft nerf blueberry.baumkuchen.speed + rework raspberry.pie (balanced): blueberry.baumkuchen.speed factor=0.9881 delta=0.0 | raspberry.pie.cost factor=0.9715 delta=0.0 | raspberry.pie.hp factor=1.0259 delta=0.0 | raspberry.pie.speed factor=1.0121 delta=0.0 | raspberry.pie.cooldown factor=0.9898 delta=0.0 | raspberry.pie.power factor=1.0224 delta=0.0 | raspberry.pie.range factor=1.0072 delta=0.0
