team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,4114,25.7125,0.1972,651,4.0687,3396,138395.52,864.972,3305051.71,0.0,8902,30915,88063.5,21.4058,1139,2823,12
raspberry,macaron,마카롱,4315,26.9688,0.2068,0,0.0,4347,0.0,0.0,555255.19,1436041.39,0,7135,49713.5,11.5211,0,1019,10
raspberry,pie,파이,5427,33.9188,0.2602,1485,9.2812,4680,255628.89,1597.6806,956255.93,0.0,6836,7455,94710.5,17.4517,1062,1361,10
raspberry,scone,스콘,2655,16.5938,0.1273,4759,29.7437,1929,800051.15,5000.3197,999302.21,0.0,9949,5772,75345.0,28.3785,1411,1357,9
raspberry,tart,타르트,4350,27.1875,0.2085,5052,31.575,2728,1225900.75,7661.8797,1022058.13,0.0,32717,5830,145356.5,33.4153,7193,1534,12
blueberry,baumkuchen,바움쿠헨,2797,17.4812,0.1533,575,3.5938,2194,295903.96,1849.3998,777285.17,0.0,9270,21007,73097.5,26.1343,664,2864,14
blueberry,pannacotta,판나코타,2680,16.75,0.1469,5476,34.225,2407,2003711.62,12523.1976,98643.19,0.0,1650,2462,27667.0,10.3235,190,860,12
blueberry,pie,파이,8023,50.1437,0.4397,2314,14.4625,5967,935227.02,5845.1689,698646.85,0.0,16645,17434,193870.5,24.1643,1950,3201,12
blueberry,scone,스콘,2089,13.0563,0.1145,6790,42.4375,1401,2249988.04,14062.4253,443070.22,0.0,15279,9794,75331.5,36.061,2449,2013,14
blueberry,tarte_tatin,타르트·타탱,2656,16.6,0.1456,1925,12.0312,1628,1353092.52,8456.8283,402330.88,0.0,14263,7707,96283.0,36.2511,2841,1867,14
