rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.395657,0.5,0.5,-0.1023,175.4237,0.639537,1.6813,0.7857,soft nerf blueberry.baumkuchen.hp + rework raspberry.scone (tempo): blueberry.baumkuchen.hp factor=0.9876 delta=0.0 | raspberry.scone.cost factor=0.9695 delta=0.0 | raspberry.scone.hp factor=1.0173 delta=0.0 | raspberry.scone.speed factor=1.0188 delta=0.0 | raspberry.scone.cooldown factor=0.9861 delta=0.0 | raspberry.scone.power factor=1.0173 delta=0.0 | raspberry.scone.range factor=1.0055 delta=0.0
2,0.420377,0.5,0.5,-0.3106,173.238,0.640234,1.7252,0.80355,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (tempo): blueberry.pie.power factor=0.9845 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9695 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0173 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0188 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9861 delta=0.0 | blueberry.tarte_tatin.power factor=1.0173 delta=0.0 | blueberry.tarte_tatin.range factor=1.0055 delta=0.0 | blueberry.tarte_tatin.area factor=1.0079 delta=0.0
3,0.439837,0.5357,0.4643,-0.3048,171.7871,0.614295,1.75015,0.75,soft nerf blueberry.baumkuchen.power + rework raspberry.scone (balanced): blueberry.baumkuchen.power factor=0.9845 delta=0.0 | raspberry.scone.cost factor=0.974 delta=0.0 | raspberry.scone.hp factor=1.0236 delta=0.0 | raspberry.scone.speed factor=1.011 delta=0.0 | raspberry.scone.cooldown factor=0.9907 delta=0.0 | raspberry.scone.power factor=1.0204 delta=0.0 | raspberry.scone.range factor=1.0066 delta=0.0
4,0.44082,0.5357,0.4643,-0.0089,175.1477,0.67347,1.63965,0.78575,soft nerf blueberry.baumkuchen.power + rework raspberry.scone (offense): blueberry.baumkuchen.power factor=0.9845 delta=0.0 | raspberry.scone.cost factor=0.977 delta=0.0 | raspberry.scone.hp factor=1.0173 delta=0.0 | raspberry.scone.speed factor=1.0094 delta=0.0 | raspberry.scone.cooldown factor=0.9922 delta=0.0 | raspberry.scone.power factor=1.0298 delta=0.0 | raspberry.scone.range factor=1.0099 delta=0.0
5,0.441116,0.5357,0.4642,-0.394,175.4768,0.599082,1.8495,0.75,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.power factor=0.9845 delta=0.0 | blueberry.tarte_tatin.cost factor=0.974 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0236 delta=0.0 | blueberry.tarte_tatin.speed factor=1.011 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9907 delta=0.0 | blueberry.tarte_tatin.power factor=1.0204 delta=0.0 | blueberry.tarte_tatin.range factor=1.0066 delta=0.0 | blueberry.tarte_tatin.area factor=1.0094 delta=0.0
6,0.449266,0.4285,0.5715,-0.3602,171.8184,0.559571,1.9495,0.75,soft nerf blueberry.baumkuchen.power + rework raspberry.scone (tempo): blueberry.baumkuchen.power factor=0.9845 delta=0.0 | raspberry.scone.cost factor=0.9695 delta=0.0 | raspberry.scone.hp factor=1.0173 delta=0.0 | raspberry.scone.speed factor=1.0188 delta=0.0 | raspberry.scone.cooldown factor=0.9861 delta=0.0 | raspberry.scone.power factor=1.0173 delta=0.0 | raspberry.scone.range factor=1.0055 delta=0.0
7,0.450584,0.5357,0.4643,-0.2671,174.2197,0.639537,1.6813,0.7857,soft nerf blueberry.baumkuchen.speed + rework raspberry.scone (balanced): blueberry.baumkuchen.speed factor=0.9891 delta=0.0 | raspberry.scone.cost factor=0.974 delta=0.0 | raspberry.scone.hp factor=1.0236 delta=0.0 | raspberry.scone.speed factor=1.011 delta=0.0 | raspberry.scone.cooldown factor=0.9907 delta=0.0 | raspberry.scone.power factor=1.0204 delta=0.0 | raspberry.scone.range factor=1.0066 delta=0.0
8,0.453136,0.5,0.5,-0.0351,174.9359,0.748401,1.42395,0.875,soft nerf blueberry.baumkuchen.hp + rework raspberry.scone (offense): blueberry.baumkuchen.hp factor=0.9876 delta=0.0 | raspberry.scone.cost factor=0.977 delta=0.0 | raspberry.scone.hp factor=1.0173 delta=0.0 | raspberry.scone.speed factor=1.0094 delta=0.0 | raspberry.scone.cooldown factor=0.9922 delta=0.0 | raspberry.scone.power factor=1.0298 delta=0.0 | raspberry.scone.range factor=1.0099 delta=0.0
9,0.465409,0.5715,0.4285,0.1545,174.5095,0.626474,1.71805,0.76785,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (offense): blueberry.pie.power factor=0.9845 delta=0.0 | blueberry.tarte_tatin.cost factor=0.977 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0173 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0094 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9922 delta=0.0 | blueberry.tarte_tatin.power factor=1.0298 delta=0.0 | blueberry.tarte_tatin.range factor=1.0099 delta=0.0 | blueberry.tarte_tatin.area factor=1.0141 delta=0.0
10,0.559129,0.6429,0.3571,0.3363,177.9591,0.628324,1.70885,0.76785,soft nerf blueberry.baumkuchen.speed + rework raspberry.scone (offense): blueberry.baumkuchen.speed factor=0.9891 delta=0.0 | raspberry.scone.cost factor=0.977 delta=0.0 | raspberry.scone.hp factor=1.0173 delta=0.0 | raspberry.scone.speed factor=1.0094 delta=0.0 | raspberry.scone.cooldown factor=0.9922 delta=0.0 | raspberry.scone.power factor=1.0298 delta=0.0 | raspberry.scone.range factor=1.0099 delta=0.0
