match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,2,1,1,time
1,2,raspberry,176.5,3,1,1,raspberry_full_control
2,1,blueberry,135.5,-3,1,1,blueberry_full_control
2,2,raspberry,180.0,0,1,1,time
2,3,raspberry,180.0,1,1,2,time
3,1,blueberry,180.0,-2,1,1,time
3,2,raspberry,180.0,2,2,1,time
3,3,raspberry,180.0,2,2,1,time
4,1,raspberry,180.0,2,1,1,time
4,2,raspberry,180.0,1,1,1,time
5,1,blueberry,180.0,-2,1,1,time
5,2,blueberry,114.5,-3,1,1,blueberry_full_control
6,1,raspberry,180.0,1,1,1,time
6,2,blueberry,180.0,-3,1,1,time
6,3,raspberry,180.0,3,1,1,time
7,1,raspberry,180.0,1,1,1,time
7,2,raspberry,180.0,0,1,2,time
8,1,raspberry,180.0,3,1,2,time
8,2,blueberry,142.0,-3,1,2,blueberry_full_control
8,3,raspberry,180.0,3,1,2,time
9,1,blueberry,180.0,-2,1,1,time
9,2,raspberry,180.0,1,1,1,time
9,3,raspberry,180.0,3,1,1,time
10,1,raspberry,180.0,1,1,1,time
10,2,blueberry,133.5,-3,1,2,blueberry_full_control
10,3,raspberry,180.0,3,1,2,time
11,1,raspberry,180.0,1,1,1,time
11,2,raspberry,180.0,1,1,1,time
12,1,raspberry,180.0,3,1,1,time
12,2,blueberry,161.5,-3,1,1,blueberry_full_control
12,3,raspberry,180.0,2,1,1,time
13,1,raspberry,180.0,2,1,1,time
13,2,raspberry,180.0,2,1,1,time
14,1,raspberry,180.0,0,1,1,time
14,2,blueberry,180.0,-2,1,1,time
14,3,raspberry,180.0,3,1,1,time
15,1,raspberry,180.0,1,1,1,time
15,2,raspberry,171.0,3,1,1,raspberry_full_control
16,1,raspberry,180.0,1,1,1,time
16,2,raspberry,180.0,3,1,1,time
17,1,blueberry,180.0,-3,1,2,time
17,2,blueberry,120.5,-3,1,2,blueberry_full_control
18,1,raspberry,180.0,2,1,1,time
18,2,blueberry,173.0,-3,1,1,blueberry_full_control
