rank,score,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,strategy_diversity_penalty,effective_strategies,dominant_strategy_share,patch
1,0.415852,0.5,0.5,-0.0534,167.6641,0.682703,1.55285,0.83925,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.power factor=0.9848 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9744 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0232 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0108 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9908 delta=0.0 | blueberry.tarte_tatin.power factor=1.0201 delta=0.0 | blueberry.tarte_tatin.range factor=1.0065 delta=0.0 | blueberry.tarte_tatin.area factor=1.0093 delta=0.0
2,0.433294,0.5357,0.4643,0.1189,176.1282,0.639537,1.6813,0.7857,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (balanced): raspberry.macaron.speed factor=0.9893 delta=0.0 | blueberry.pannacotta.cost factor=0.9744 delta=0.0 | blueberry.pannacotta.hp factor=1.0232 delta=0.0 | blueberry.pannacotta.speed factor=1.0108 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9908 delta=0.0 | blueberry.pannacotta.power factor=1.0201 delta=0.0 | blueberry.pannacotta.range factor=1.0065 delta=0.0 | blueberry.pannacotta.area factor=1.0093 delta=0.0
3,0.435971,0.5,0.5,-0.1212,171.3706,0.703051,1.4874,0.85715,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (offense): blueberry.pie.power factor=0.9848 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9774 delta=0.0 | blueberry.tarte_tatin.hp factor=1.017 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0093 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9923 delta=0.0 | blueberry.tarte_tatin.power factor=1.0293 delta=0.0 | blueberry.tarte_tatin.range factor=1.0097 delta=0.0 | blueberry.tarte_tatin.area factor=1.0139 delta=0.0
4,0.442976,0.5,0.5,-0.3636,176.752,0.667593,1.5987,0.8214,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (balanced): raspberry.macaron.cost factor=1.0154 delta=0.0 | blueberry.pannacotta.cost factor=0.9744 delta=0.0 | blueberry.pannacotta.hp factor=1.0232 delta=0.0 | blueberry.pannacotta.speed factor=1.0108 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9908 delta=0.0 | blueberry.pannacotta.power factor=1.0201 delta=0.0 | blueberry.pannacotta.range factor=1.0065 delta=0.0 | blueberry.pannacotta.area factor=1.0093 delta=0.0
5,0.451086,0.4643,0.5357,-0.2714,173.6429,0.639537,1.6813,0.7857,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (offense): raspberry.macaron.hp factor=0.9878 delta=0.0 | blueberry.pannacotta.cost factor=0.9774 delta=0.0 | blueberry.pannacotta.hp factor=1.017 delta=0.0 | blueberry.pannacotta.speed factor=1.0093 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9923 delta=0.0 | blueberry.pannacotta.power factor=1.0293 delta=0.0 | blueberry.pannacotta.range factor=1.0097 delta=0.0 | blueberry.pannacotta.area factor=1.0139 delta=0.0
6,0.456797,0.4643,0.5357,-0.1705,171.3917,0.668675,1.59415,0.8214,reduce blueberry swarm_focus via pie.cost + enable ranged_focus via tarte_tatin (balanced): blueberry.pie.cost factor=1.0154 delta=0.0 | blueberry.tarte_tatin.cost factor=0.9744 delta=0.0 | blueberry.tarte_tatin.hp factor=1.0232 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0108 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9908 delta=0.0 | blueberry.tarte_tatin.power factor=1.0201 delta=0.0 | blueberry.tarte_tatin.range factor=1.0065 delta=0.0 | blueberry.tarte_tatin.area factor=1.0093 delta=0.0
7,0.477732,0.4643,0.5357,-0.2778,174.4445,0.682703,1.55285,0.83925,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (balanced): raspberry.macaron.hp factor=0.9878 delta=0.0 | blueberry.pannacotta.cost factor=0.9744 delta=0.0 | blueberry.pannacotta.hp factor=1.0232 delta=0.0 | blueberry.pannacotta.speed factor=1.0108 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9908 delta=0.0 | blueberry.pannacotta.power factor=1.0201 delta=0.0 | blueberry.pannacotta.range factor=1.0065 delta=0.0 | blueberry.pannacotta.area factor=1.0093 delta=0.0
8,0.484207,0.4643,0.5357,-0.3333,172.894,0.682703,1.55285,0.83925,soft nerf raspberry.macaron.speed + rework blueberry.pannacotta (offense): raspberry.macaron.speed factor=0.9893 delta=0.0 | blueberry.pannacotta.cost factor=0.9774 delta=0.0 | blueberry.pannacotta.hp factor=1.017 delta=0.0 | blueberry.pannacotta.speed factor=1.0093 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9923 delta=0.0 | blueberry.pannacotta.power factor=1.0293 delta=0.0 | blueberry.pannacotta.range factor=1.0097 delta=0.0 | blueberry.pannacotta.area factor=1.0139 delta=0.0
9,0.494294,0.5715,0.4285,0.0352,175.1074,0.697813,1.507,0.8571,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (offense): raspberry.macaron.cost factor=1.0154 delta=0.0 | blueberry.pannacotta.cost factor=0.9774 delta=0.0 | blueberry.pannacotta.hp factor=1.017 delta=0.0 | blueberry.pannacotta.speed factor=1.0093 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9923 delta=0.0 | blueberry.pannacotta.power factor=1.0293 delta=0.0 | blueberry.pannacotta.range factor=1.0097 delta=0.0 | blueberry.pannacotta.area factor=1.0139 delta=0.0
10,0.503362,0.4643,0.5357,-0.3833,175.0589,0.704906,1.52085,0.875,soft nerf raspberry.macaron.cost + rework blueberry.pannacotta (tempo): raspberry.macaron.cost factor=1.0154 delta=0.0 | blueberry.pannacotta.cost factor=0.97 delta=0.0 | blueberry.pannacotta.hp factor=1.017 delta=0.0 | blueberry.pannacotta.speed factor=1.0185 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9863 delta=0.0 | blueberry.pannacotta.power factor=1.017 delta=0.0 | blueberry.pannacotta.range factor=1.0054 delta=0.0 | blueberry.pannacotta.area factor=1.0077 delta=0.0
11,0.507683,0.5715,0.4285,-0.0991,174.3384,0.707703,1.55285,0.83925,reduce blueberry swarm_focus via pie.power + enable ranged_focus via tarte_tatin (tempo): blueberry.pie.power factor=0.9848 delta=0.0 | blueberry.tarte_tatin.cost factor=0.97 delta=0.0 | blueberry.tarte_tatin.hp factor=1.017 delta=0.0 | blueberry.tarte_tatin.speed factor=1.0185 delta=0.0 | blueberry.tarte_tatin.cooldown factor=0.9863 delta=0.0 | blueberry.tarte_tatin.power factor=1.017 delta=0.0 | blueberry.tarte_tatin.range factor=1.0054 delta=0.0 | blueberry.tarte_tatin.area factor=1.0077 delta=0.0
12,0.539415,0.6072,0.3928,0.1094,173.3265,0.699086,1.50215,0.85715,soft nerf raspberry.macaron.hp + rework blueberry.pannacotta (tempo): raspberry.macaron.hp factor=0.9878 delta=0.0 | blueberry.pannacotta.cost factor=0.97 delta=0.0 | blueberry.pannacotta.hp factor=1.017 delta=0.0 | blueberry.pannacotta.speed factor=1.0185 delta=0.0 | blueberry.pannacotta.cooldown factor=0.9863 delta=0.0 | blueberry.pannacotta.power factor=1.017 delta=0.0 | blueberry.pannacotta.range factor=1.0054 delta=0.0 | blueberry.pannacotta.area factor=1.0077 delta=0.0
