team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,3867,24.1687,0.1795,603,3.7687,3325,131918.15,824.4884,3204065.81,0.0,8482,29209,77375.0,20.0091,935,2409,12
raspberry,macaron,마카롱,4565,28.5312,0.2119,0,0.0,4364,0.0,0.0,544969.85,1429789.84,0,7125,55829.5,12.2299,0,1047,11
raspberry,pie,파이,5546,34.6625,0.2574,1497,9.3562,4715,257350.71,1608.4419,968852.79,0.0,6780,7669,102656.0,18.5099,1016,1266,10
raspberry,scone,스콘,3140,19.625,0.1457,5944,37.15,2338,971346.63,6070.9165,1201407.24,0.0,11903,6745,90378.5,28.783,1752,1430,9
raspberry,tart,타르트,4428,27.675,0.2055,4585,28.6562,2848,1160803.86,7255.0241,1048433.71,0.0,31437,5393,144248.5,32.5764,6673,1384,10
blueberry,baumkuchen,바움쿠헨,3075,19.2188,0.1619,755,4.7188,2394,320864.95,2005.406,815303.46,0.0,9940,20732,74927.5,24.3667,811,2719,14
blueberry,pannacotta,판나코타,3244,20.275,0.1708,6795,42.4688,2977,2473324.72,15458.2795,121563.28,0.0,1990,2816,28630.5,8.8257,187,847,15
blueberry,pie,파이,7761,48.5063,0.4086,2357,14.7312,5917,907377.3,5671.1081,680867.37,0.0,16324,16704,175818.0,22.654,2004,2981,13
blueberry,scone,스콘,1912,11.95,0.1007,5298,33.1125,1314,1732910.91,10830.6932,401927.69,0.0,11653,8754,61869.0,32.3583,1566,1763,13
blueberry,tarte_tatin,타르트·타탱,3004,18.775,0.1581,2385,14.9062,2017,1533251.51,9582.822,501757.54,0.0,16234,9596,101588.5,33.8177,2968,2066,12
