team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1280,8.0,0.0452,0,0.0,640,16640.0,104.0,268800.0,0.0,1280,2560,17920.0,14.0,0,640,2
raspberry,macaron,마카롱,320,2.0,0.0113,0,0.0,320,0.0,0.0,16000.0,64000.0,0,320,6880.0,21.5,0,0,0
raspberry,pie,파이,16480,103.0,0.5819,3360,21.0,14240,349440.0,2184.0,1905600.0,0.0,8160,16160,372560.0,22.6068,4480,4640,6
raspberry,scone,스콘,1120,7.0,0.0395,1600,10.0,800,262080.0,1638.0,249600.0,0.0,2560,2720,25360.0,22.6429,320,800,3
raspberry,tart,타르트,9120,57.0,0.322,10880,68.0,4640,2462720.0,15392.0,1416000.0,0.0,49920,8960,359840.0,39.4561,8000,7360,11
blueberry,baumkuchen,바움쿠헨,2560,16.0,0.1168,0,0.0,1440,14400.0,90.0,561600.0,0.0,480,12800,58800.0,22.9688,160,3200,6
blueberry,pannacotta,판나코타,2400,15.0,0.1095,4480,28.0,2400,560000.0,3500.0,133120.0,0.0,480,3680,9760.0,4.0667,0,3200,12
blueberry,pie,파이,7840,49.0,0.3577,800,5.0,6080,112000.0,700.0,790400.0,0.0,1920,17600,159520.0,20.3469,320,4480,5
blueberry,scone,스콘,480,3.0,0.0219,1120,7.0,480,408000.0,2550.0,124800.0,0.0,3040,2880,12640.0,26.3333,800,0,0
blueberry,tarte_tatin,타르트·타탱,8640,54.0,0.3942,14240,89.0,5920,2761600.0,17260.0,1480960.0,0.0,24800,24960,320080.0,37.0463,12160,1920,4
