match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades
1,blueberry,1,2,3,2,1
2,blueberry,0,2,2,2,1
3,blueberry,1,2,3,2,1
4,raspberry,2,1,3,2,1
5,raspberry,2,1,3,2,1
6,blueberry,1,2,3,2,1
7,raspberry,2,1,3,2,1
8,blueberry,0,2,2,2,1
9,blueberry,0,2,2,2,1
10,blueberry,0,2,2,2,1
11,blueberry,1,2,3,2,1
12,blueberry,0,2,2,2,1
13,blueberry,0,2,2,2,1
14,blueberry,0,2,2,2,1
15,raspberry,2,1,3,2,1
16,blueberry,0,2,2,2,1
17,raspberry,2,1,3,2,1
18,blueberry,0,2,2,2,1
19,blueberry,0,2,2,2,1
20,raspberry,2,1,3,2,1
21,blueberry,0,2,2,2,1
22,raspberry,2,1,3,2,1
23,blueberry,0,2,2,2,1
24,blueberry,0,2,2,2,1
25,raspberry,2,1,3,2,1
26,blueberry,0,2,2,2,1
27,blueberry,0,2,2,2,1
28,blueberry,1,2,3,2,1
29,blueberry,0,2,2,2,1
30,blueberry,0,2,2,2,1
31,blueberry,0,2,2,2,1
32,blueberry,1,2,3,2,1
33,raspberry,2,1,3,2,1
34,blueberry,1,2,3,2,1
35,blueberry,0,2,2,2,1
36,blueberry,0,2,2,2,1
37,blueberry,0,2,2,2,1
38,blueberry,0,2,2,2,1
39,blueberry,0,2,2,2,1
40,blueberry,1,2,3,2,1
41,blueberry,0,2,2,2,1
42,blueberry,0,2,2,2,1
43,blueberry,0,2,2,2,1
44,blueberry,0,2,2,2,1
45,blueberry,1,2,3,2,1
46,blueberry,0,2,2,2,1
47,blueberry,1,2,3,2,1
48,raspberry,2,1,3,2,1
49,blueberry,1,2,3,2,1
50,blueberry,0,2,2,2,1
51,raspberry,2,1,3,2,1
52,raspberry,2,1,3,2,1
53,blueberry,1,2,3,2,1
54,blueberry,0,2,2,2,1
55,blueberry,0,2,2,2,1
56,blueberry,0,2,2,2,1
57,blueberry,0,2,2,2,1
58,raspberry,2,1,3,2,1
59,blueberry,0,2,2,2,1
60,blueberry,0,2,2,2,1
61,blueberry,0,2,2,2,1
62,blueberry,1,2,3,2,1
63,blueberry,1,2,3,2,1
64,blueberry,1,2,3,2,1
65,blueberry,0,2,2,2,1
66,raspberry,2,1,3,2,1
67,blueberry,1,2,3,2,1
68,blueberry,0,2,2,2,1
69,blueberry,0,2,2,2,1
70,blueberry,0,2,2,2,1
71,blueberry,0,2,2,2,1
72,blueberry,0,2,2,2,1
73,blueberry,0,2,2,2,1
74,blueberry,1,2,3,2,1
75,blueberry,0,2,2,2,1
76,blueberry,0,2,2,2,1
77,blueberry,0,2,2,2,1
78,blueberry,1,2,3,2,1
79,raspberry,2,1,3,2,1
80,raspberry,2,1,3,2,1
