team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1363,17.0375,0.1156,78,0.975,1166,9344.0,116.8,503260.0,0.0,648,6010,25718.0,18.8687,210,1215,13
raspberry,macaron,마카롱,572,7.15,0.0485,0,0.0,531,0.0,0.0,26550.0,62890.0,0,311,7692.5,13.4484,0,135,10
raspberry,pie,파이,7611,95.1375,0.6458,1333,16.6625,5926,186444.0,2330.55,791090.0,0.0,3848,7834,142666.5,18.7448,968,1847,12
raspberry,scone,스콘,585,7.3125,0.0496,1954,24.425,509,307101.0,3838.7625,174720.0,0.0,2861,1385,22899.0,39.1436,529,286,11
raspberry,tart,타르트,1655,20.6875,0.1404,2984,37.3,1246,666876.0,8335.95,328630.0,0.0,12357,2112,50801.0,30.6955,1727,1039,9
blueberry,baumkuchen,바움쿠헨,752,9.4,0.0687,149,1.8625,634,27150.0,339.375,250268.0,0.0,937,4356,13532.5,17.9953,146,596,8
blueberry,pannacotta,판나코타,630,7.875,0.0576,923,11.5375,604,178890.0,2236.125,33211.0,0.0,161,822,8874.0,14.0857,14,216,8
blueberry,pie,파이,7199,89.9875,0.6579,1170,14.625,3830,217560.0,2719.5,504748.0,0.0,3625,10244,175119.0,24.3255,666,1755,15
blueberry,scone,스콘,842,10.525,0.0769,3940,49.25,552,577260.0,7215.75,156910.0,0.0,5201,2249,45121.5,53.5885,1067,298,8
blueberry,tarte_tatin,타르트·타탱,1520,19.0,0.1389,3196,39.95,890,823390.0,10292.375,224628.0,0.0,7728,2043,64508.5,42.4398,2629,569,10
