match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades
1,blueberry,0,2,2,1,2
2,blueberry,0,2,2,1,2
3,blueberry,0,2,2,1,2
4,blueberry,0,2,2,1,2
5,blueberry,0,2,2,1,2
6,blueberry,0,2,2,1,2
7,blueberry,0,2,2,1,2
8,blueberry,0,2,2,1,2
9,blueberry,0,2,2,1,2
10,blueberry,0,2,2,1,2
11,blueberry,0,2,2,1,2
12,blueberry,0,2,2,1,2
13,blueberry,0,2,2,1,2
14,blueberry,0,2,2,1,2
15,blueberry,0,2,2,1,2
16,blueberry,0,2,2,1,2
17,blueberry,0,2,2,1,2
18,blueberry,0,2,2,1,2
19,blueberry,0,2,2,1,2
20,blueberry,0,2,2,1,2
21,blueberry,0,2,2,1,2
22,blueberry,0,2,2,1,2
23,blueberry,0,2,2,1,2
24,blueberry,0,2,2,1,2
25,blueberry,0,2,2,1,2
26,blueberry,0,2,2,1,2
27,blueberry,0,2,2,1,2
28,blueberry,0,2,2,1,2
29,blueberry,0,2,2,1,2
30,blueberry,0,2,2,1,2
31,blueberry,0,2,2,1,2
32,blueberry,0,2,2,1,2
33,blueberry,0,2,2,1,2
34,blueberry,0,2,2,1,2
35,blueberry,0,2,2,1,2
36,blueberry,0,2,2,1,2
37,blueberry,0,2,2,1,2
38,blueberry,0,2,2,1,2
39,blueberry,0,2,2,1,2
40,blueberry,0,2,2,1,2
41,blueberry,0,2,2,1,2
42,blueberry,0,2,2,1,2
43,blueberry,0,2,2,1,2
44,blueberry,0,2,2,1,2
45,blueberry,0,2,2,1,2
46,blueberry,0,2,2,1,2
47,blueberry,0,2,2,1,2
48,blueberry,0,2,2,1,2
49,blueberry,0,2,2,1,2
50,blueberry,0,2,2,1,2
51,blueberry,0,2,2,1,2
52,blueberry,0,2,2,1,2
53,blueberry,0,2,2,1,2
54,blueberry,0,2,2,1,2
55,blueberry,0,2,2,1,2
56,blueberry,0,2,2,1,2
57,blueberry,0,2,2,1,2
58,blueberry,0,2,2,1,2
59,blueberry,0,2,2,1,2
60,blueberry,0,2,2,1,2
61,blueberry,0,2,2,1,2
62,blueberry,0,2,2,1,2
63,blueberry,0,2,2,1,2
64,blueberry,0,2,2,1,2
65,blueberry,0,2,2,1,2
66,blueberry,0,2,2,1,2
67,blueberry,0,2,2,1,2
68,blueberry,0,2,2,1,2
69,blueberry,0,2,2,1,2
70,blueberry,0,2,2,1,2
71,blueberry,0,2,2,1,2
72,blueberry,0,2,2,1,2
73,blueberry,0,2,2,1,2
74,blueberry,0,2,2,1,2
75,blueberry,0,2,2,1,2
76,blueberry,0,2,2,1,2
77,blueberry,0,2,2,1,2
78,blueberry,0,2,2,1,2
79,blueberry,0,2,2,1,2
80,blueberry,0,2,2,1,2
