team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1120,14.0,0.1102,0,0.0,1120,14560.0,182.0,470400.0,0.0,1120,5280,17240.0,15.3929,0,960,5
raspberry,macaron,마카롱,240,3.0,0.0236,0,0.0,240,0.0,0.0,12000.0,4800.0,0,320,1520.0,6.3333,0,80,2
raspberry,pie,파이,6240,78.0,0.6142,1520,19.0,5840,280934.95,3511.6869,761600.0,0.0,6160,9440,54000.0,8.6538,560,1600,3
raspberry,scone,스콘,480,6.0,0.0472,1040,13.0,400,172612.71,2157.6589,120000.0,0.0,1760,1200,7640.0,15.9167,80,240,2
raspberry,tart,타르트,2080,26.0,0.2047,4000,50.0,1600,890091.99,11126.1498,402400.0,0.0,21200,1920,77520.0,37.2692,4480,480,3
blueberry,baumkuchen,바움쿠헨,1680,21.0,0.1981,400,5.0,1200,80391.32,1004.8915,493183.81,0.0,2800,11520,32320.0,19.2381,240,2400,7
blueberry,pannacotta,판나코타,480,6.0,0.0566,1360,17.0,400,326709.58,4083.8698,18447.94,0.0,240,240,6400.0,13.3333,80,0,0
blueberry,pie,파이,4240,53.0,0.5,2240,28.0,3440,231737.43,2896.7179,449143.97,0.0,4240,10880,88040.0,20.7642,640,1200,4
blueberry,scone,스콘,640,8.0,0.0755,2000,25.0,560,356064.38,4450.8047,145600.0,0.0,3200,4640,17760.0,27.75,480,800,4
blueberry,tarte_tatin,타르트·타탱,1440,18.0,0.1698,3200,40.0,1200,771497.29,9643.7161,251823.94,0.0,7680,2960,62640.0,43.5,1920,720,5
