team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,3000,5.0,0.061,1200,2.0,3000,51600.0,86.0,1260000.0,0.0,4800,27600,16650.0,5.55,0,9000,5
raspberry,macaron,마카롱,3000,5.0,0.061,0,0.0,3000,0.0,0.0,150000.0,261150.0,0,3600,8700.0,2.9,0,1200,3
raspberry,pie,파이,27000,45.0,0.5488,6000,10.0,25200,748800.0,1248.0,3408300.0,0.0,19200,42000,145200.0,5.3778,0,10800,5
raspberry,scone,스콘,4800,8.0,0.0976,7200,12.0,3600,1066800.0,1778.0,1487250.0,0.0,13200,13800,57750.0,12.0312,0,7800,10
raspberry,tart,타르트,11400,19.0,0.2317,1200,2.0,9600,1482000.0,2470.0,2454300.0,0.0,31800,30600,75300.0,6.6053,0,12600,5
blueberry,baumkuchen,바움쿠헨,1800,3.0,0.0326,2400,4.0,600,254250.0,423.75,384000.0,0.0,9600,12600,72300.0,40.1667,600,0,0
blueberry,pannacotta,판나코타,3600,6.0,0.0652,1800,3.0,3000,80250.0,133.75,127200.0,0.0,1800,1800,135900.0,37.75,1200,0,0
blueberry,pie,파이,39600,66.0,0.7174,13200,22.0,10800,1856850.0,3094.75,1725600.0,0.0,32400,39600,1482750.0,37.4432,9000,0,0
blueberry,scone,스콘,1800,3.0,0.0326,10200,17.0,1800,2078250.0,3463.75,486000.0,0.0,16800,6600,90150.0,50.0833,3000,0,0
blueberry,tarte_tatin,타르트·타탱,8400,14.0,0.1522,16800,28.0,1200,4490250.0,7483.75,626400.0,0.0,57000,8400,747150.0,88.9464,27600,0,0
