match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades
1,blueberry,0,2,2,1,1
2,blueberry,1,2,3,1,2
3,blueberry,0,2,2,1,1
4,blueberry,0,2,2,1,1
5,blueberry,0,2,2,1,1
6,blueberry,0,2,2,1,1
7,blueberry,0,2,2,1,2
8,blueberry,1,2,3,1,1
9,blueberry,0,2,2,1,1
10,raspberry,2,0,2,1,1
11,raspberry,2,1,3,1,2
12,raspberry,2,1,3,1,2
13,blueberry,0,2,2,1,1
14,blueberry,0,2,2,1,1
15,blueberry,1,2,3,1,1
16,blueberry,1,2,3,1,1
17,blueberry,0,2,2,1,1
18,blueberry,0,2,2,1,1
19,raspberry,2,0,2,1,1
20,blueberry,1,2,3,1,1
21,raspberry,2,0,2,1,1
22,blueberry,0,2,2,1,1
23,raspberry,2,1,3,1,1
24,blueberry,0,2,2,1,1
25,blueberry,1,2,3,1,1
26,blueberry,0,2,2,1,1
27,blueberry,0,2,2,1,1
28,blueberry,0,2,2,1,1
29,raspberry,2,1,3,1,1
30,raspberry,2,1,3,1,1
31,blueberry,1,2,3,1,1
32,blueberry,0,2,2,1,2
33,raspberry,2,1,3,1,1
34,raspberry,2,0,2,1,2
35,raspberry,2,1,3,1,1
36,raspberry,2,0,2,1,1
37,blueberry,1,2,3,1,2
38,raspberry,2,1,3,1,1
39,blueberry,0,2,2,1,2
40,raspberry,2,1,3,1,1
41,blueberry,1,2,3,1,2
42,blueberry,0,2,2,1,1
43,blueberry,1,2,3,1,1
44,raspberry,2,0,2,1,1
45,blueberry,0,2,2,1,2
46,blueberry,1,2,3,1,1
47,blueberry,0,2,2,1,1
48,blueberry,0,2,2,1,1
49,blueberry,0,2,2,1,1
50,blueberry,1,2,3,1,2
51,blueberry,1,2,3,1,3
52,blueberry,0,2,2,1,1
53,blueberry,0,2,2,1,1
54,blueberry,0,2,2,1,1
55,raspberry,2,0,2,1,1
56,blueberry,0,2,2,1,1
57,blueberry,0,2,2,1,1
58,blueberry,0,2,2,1,2
59,raspberry,2,0,2,1,1
60,raspberry,2,1,3,1,1
61,raspberry,2,0,2,1,1
62,raspberry,2,0,2,1,1
63,blueberry,1,2,3,1,2
64,blueberry,1,2,3,1,2
65,blueberry,0,2,2,1,1
66,blueberry,1,2,3,1,1
67,blueberry,0,2,2,1,1
68,blueberry,0,2,2,1,1
69,blueberry,0,2,2,1,1
70,blueberry,0,2,2,1,1
71,blueberry,1,2,3,1,2
72,blueberry,1,2,3,1,3
73,blueberry,1,2,3,1,1
74,raspberry,2,0,2,1,1
75,blueberry,0,2,2,1,1
76,blueberry,0,2,2,1,1
77,blueberry,0,2,2,1,1
78,blueberry,0,2,2,1,1
79,blueberry,1,2,3,1,2
80,raspberry,2,1,3,1,1
81,blueberry,0,2,2,1,1
82,blueberry,0,2,2,1,1
83,raspberry,2,0,2,1,1
84,blueberry,0,2,2,1,1
85,blueberry,0,2,2,1,1
86,raspberry,2,1,3,1,1
87,blueberry,0,2,2,1,1
88,raspberry,2,1,3,1,1
89,blueberry,0,2,2,1,1
90,blueberry,0,2,2,1,1
91,blueberry,1,2,3,1,2
92,blueberry,0,2,2,1,1
93,blueberry,0,2,2,1,2
94,blueberry,0,2,2,1,1
95,blueberry,1,2,3,1,1
96,blueberry,0,2,2,1,1
97,raspberry,2,0,2,1,1
98,blueberry,0,2,2,1,2
99,blueberry,0,2,2,1,1
100,blueberry,0,2,2,1,1
101,blueberry,0,2,2,1,2
102,blueberry,1,2,3,1,1
103,raspberry,2,1,3,1,1
104,blueberry,0,2,2,1,1
105,blueberry,0,2,2,1,1
106,raspberry,2,0,2,1,1
107,blueberry,0,2,2,1,2
108,blueberry,0,2,2,1,1
109,blueberry,1,2,3,1,1
110,blueberry,0,2,2,1,1
111,blueberry,0,2,2,1,1
112,blueberry,0,2,2,1,1
113,blueberry,1,2,3,1,2
114,raspberry,2,1,3,1,1
115,blueberry,0,2,2,1,1
116,blueberry,1,2,3,1,3
117,blueberry,0,2,2,1,3
118,blueberry,0,2,2,1,1
119,blueberry,0,2,2,1,1
120,blueberry,0,2,2,1,2
121,blueberry,0,2,2,1,1
122,blueberry,1,2,3,1,1
123,blueberry,1,2,3,2,2
124,raspberry,2,0,2,1,1
125,blueberry,0,2,2,1,1
126,blueberry,0,2,2,1,1
127,raspberry,2,0,2,1,1
128,blueberry,0,2,2,1,1
129,blueberry,0,2,2,1,1
130,blueberry,1,2,3,1,2
131,blueberry,0,2,2,1,1
132,blueberry,0,2,2,1,1
133,blueberry,0,2,2,1,1
134,blueberry,1,2,3,1,1
135,blueberry,0,2,2,1,2
136,blueberry,0,2,2,1,1
137,blueberry,1,2,3,1,2
138,blueberry,1,2,3,1,2
139,blueberry,0,2,2,1,1
140,blueberry,0,2,2,1,1
141,blueberry,0,2,2,1,1
142,blueberry,0,2,2,1,1
143,blueberry,0,2,2,1,1
144,blueberry,0,2,2,1,2
145,blueberry,0,2,2,1,1
146,blueberry,0,2,2,1,1
147,blueberry,0,2,2,1,1
148,blueberry,0,2,2,1,1
149,blueberry,0,2,2,1,1
150,blueberry,0,2,2,1,1
151,blueberry,1,2,3,1,2
152,blueberry,0,2,2,1,2
153,blueberry,0,2,2,1,1
154,blueberry,0,2,2,1,2
155,blueberry,0,2,2,1,1
156,blueberry,0,2,2,1,1
157,blueberry,1,2,3,1,1
158,blueberry,0,2,2,1,1
159,blueberry,0,2,2,1,1
160,blueberry,0,2,2,1,1
