match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,180.0,-2,1,1,time
1,2,blueberry,129.0,-3,1,1,blueberry_full_control
2,1,raspberry,180.0,3,1,1,time
2,2,blueberry,124.0,-3,1,2,blueberry_full_control
2,3,blueberry,124.0,-3,1,2,blueberry_full_control
3,1,blueberry,137.5,-3,1,1,blueberry_full_control
3,2,blueberry,126.0,-3,1,1,blueberry_full_control
4,1,blueberry,180.0,-2,1,1,time
4,2,blueberry,154.0,-3,1,1,blueberry_full_control
5,1,blueberry,164.0,-3,1,1,blueberry_full_control
5,2,blueberry,146.0,-3,1,1,blueberry_full_control
6,1,blueberry,180.0,-3,1,1,time
6,2,blueberry,119.5,-3,1,1,blueberry_full_control
7,1,blueberry,180.0,-2,1,1,time
7,2,blueberry,180.0,-3,1,2,time
8,1,blueberry,180.0,-2,1,1,time
8,2,raspberry,180.0,3,1,1,time
8,3,blueberry,145.0,-3,1,1,blueberry_full_control
9,1,blueberry,180.0,-1,1,1,time
9,2,blueberry,180.0,-3,1,1,time
10,1,raspberry,180.0,1,1,1,time
10,2,raspberry,180.0,2,1,1,time
11,1,raspberry,180.0,2,1,1,time
11,2,blueberry,180.0,-3,1,1,time
11,3,raspberry,180.0,2,1,2,time
12,1,blueberry,180.0,-2,1,2,time
12,2,raspberry,172.5,3,1,2,raspberry_full_control
12,3,raspberry,179.5,3,1,2,raspberry_full_control
13,1,blueberry,81.0,-1,1,1,raspberry_full_control
13,2,blueberry,121.0,-3,1,1,blueberry_full_control
14,1,blueberry,180.0,-3,1,1,time
14,2,blueberry,180.0,-2,1,1,time
15,1,raspberry,180.0,2,1,1,time
15,2,blueberry,126.5,-3,1,1,blueberry_full_control
15,3,blueberry,124.5,-3,1,1,blueberry_full_control
16,1,blueberry,180.0,-3,1,1,time
16,2,raspberry,180.0,2,1,1,time
16,3,blueberry,180.0,0,1,1,time
17,1,blueberry,180.0,-2,1,1,time
17,2,blueberry,129.0,-3,1,1,blueberry_full_control
