team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2018,12.6125,0.0945,104,0.65,1551,23520.83,147.0052,941030.81,0.0,1821,10344,53940.5,26.7297,249,1683,11
raspberry,macaron,마카롱,2839,17.7437,0.1329,0,0.0,2511,0.0,0.0,182498.13,356995.37,0,2601,40075.5,14.1161,0,791,13
raspberry,pie,파이,10204,63.775,0.4778,1807,11.2937,7760,276244.14,1726.5259,1273115.64,0.0,7015,11206,244114.0,23.9234,1705,2005,11
raspberry,scone,스콘,2457,15.3562,0.115,5553,34.7062,1713,865642.5,5410.2656,792567.7,0.0,9504,5676,86682.5,35.2798,1715,1380,10
raspberry,tart,타르트,3840,24.0,0.1798,5761,36.0063,2290,1174964.1,7343.5256,829327.94,0.0,28134,4709,172101.0,44.818,7027,1752,12
blueberry,baumkuchen,바움쿠헨,2965,18.5312,0.1613,465,2.9062,2319,121200.46,757.5028,754372.97,0.0,4236,16177,61583.0,20.77,633,2992,12
blueberry,pannacotta,판나코타,2837,17.7312,0.1543,3548,22.175,2488,840953.57,5255.9598,110394.05,0.0,790,2838,30947.5,10.9085,134,1210,11
blueberry,pie,파이,7448,46.55,0.4052,2141,13.3812,5653,427467.49,2671.6718,663972.54,0.0,6439,13942,144388.5,19.3862,1313,2971,12
blueberry,scone,스콘,1162,7.2625,0.0632,1966,12.2875,844,396358.55,2477.2409,202013.95,0.0,3274,4188,28998.0,24.9552,385,1485,11
blueberry,tarte_tatin,타르트·타탱,3970,24.8125,0.216,7705,48.1562,2711,2232560.16,13953.501,609618.07,0.0,19797,9329,130717.5,32.9263,5146,2038,13
