team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2179,13.6188,0.1043,98,0.6125,1742,22121.81,138.2613,1018066.83,0.0,1742,9930,43327.0,19.8839,183,1802,13
raspberry,macaron,마카롱,2639,16.4937,0.1263,0,0.0,2483,0.0,0.0,170167.85,264829.13,0,2389,24739.0,9.3744,0,832,11
raspberry,pie,파이,9727,60.7938,0.4656,1504,9.4,8044,261723.47,1635.7717,1236899.22,0.0,6496,10825,193815.0,19.9255,1501,1750,10
raspberry,scone,스콘,3032,18.95,0.1451,6763,42.2687,2306,1039916.33,6499.477,1065452.37,0.0,11042,6503,87409.0,28.8288,1880,1606,12
raspberry,tart,타르트,3314,20.7125,0.1586,4340,27.125,2261,965942.12,6037.1382,815278.59,0.0,24092,3812,136076.0,41.061,6315,1347,11
blueberry,baumkuchen,바움쿠헨,3303,20.6438,0.172,469,2.9312,2368,116313.37,726.9586,776041.59,0.0,4161,15287,73757.5,22.3305,597,2840,13
blueberry,pannacotta,판나코타,3630,22.6875,0.1891,5977,37.3563,3200,1342138.93,8388.3683,144301.85,0.0,1364,3525,36403.5,10.0285,206,1355,12
blueberry,pie,파이,7103,44.3937,0.3699,1940,12.125,5159,408521.04,2553.2565,608907.41,0.0,6166,11658,147191.0,20.7224,1515,2340,12
blueberry,scone,스콘,1187,7.4188,0.0618,1917,11.9812,780,378902.5,2368.1406,185152.8,0.0,3170,3538,31780.5,26.7738,466,1093,11
blueberry,tarte_tatin,타르트·타탱,3978,24.8625,0.2072,6533,40.8312,2562,2059989.02,12874.9314,575300.07,0.0,18598,9364,126567.5,31.8169,4553,2251,12
