match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,117.0,-3,1,1,blueberry_full_control
1,2,blueberry,94.5,-3,1,1,blueberry_full_control
2,1,blueberry,155.5,-3,1,1,blueberry_full_control
2,2,blueberry,113.5,-3,1,1,blueberry_full_control
3,1,blueberry,140.5,-3,1,1,blueberry_full_control
3,2,blueberry,124.5,-3,1,1,blueberry_full_control
4,1,blueberry,126.0,-3,1,2,blueberry_full_control
4,2,blueberry,180.0,-3,1,2,time
5,1,blueberry,180.0,-3,1,2,time
5,2,blueberry,106.5,-3,1,2,blueberry_full_control
6,1,blueberry,144.0,-3,1,1,blueberry_full_control
6,2,blueberry,113.5,-3,1,1,blueberry_full_control
7,1,blueberry,124.5,-3,1,1,blueberry_full_control
7,2,blueberry,116.0,-3,1,1,blueberry_full_control
8,1,raspberry,180.0,2,1,1,time
8,2,blueberry,180.0,-3,1,1,time
8,3,blueberry,180.0,-3,1,1,time
9,1,blueberry,145.0,-3,1,1,blueberry_full_control
9,2,raspberry,180.0,2,1,1,time
9,3,blueberry,156.5,-3,1,1,blueberry_full_control
10,1,blueberry,124.5,-3,1,1,blueberry_full_control
10,2,blueberry,94.0,-3,1,1,blueberry_full_control
11,1,blueberry,152.5,-3,1,1,blueberry_full_control
11,2,blueberry,119.5,-3,1,1,blueberry_full_control
12,1,blueberry,144.5,-3,1,1,blueberry_full_control
12,2,blueberry,115.0,-3,1,1,blueberry_full_control
13,1,blueberry,150.5,-3,1,1,blueberry_full_control
13,2,blueberry,157.0,-3,1,1,blueberry_full_control
14,1,raspberry,180.0,1,1,1,time
14,2,blueberry,175.0,-3,1,1,blueberry_full_control
14,3,blueberry,172.0,-3,1,1,blueberry_full_control
15,1,blueberry,124.5,-3,1,1,blueberry_full_control
15,2,blueberry,95.5,-3,1,1,blueberry_full_control
16,1,blueberry,170.5,-3,1,1,blueberry_full_control
16,2,blueberry,125.5,-3,1,1,blueberry_full_control
17,1,raspberry,180.0,1,1,2,time
17,2,blueberry,147.5,-3,1,2,blueberry_full_control
17,3,blueberry,180.0,-3,1,2,time
18,1,blueberry,116.5,-3,1,1,blueberry_full_control
18,2,blueberry,115.5,-3,1,1,blueberry_full_control
19,1,blueberry,140.5,-3,1,1,blueberry_full_control
19,2,blueberry,127.5,-3,1,1,blueberry_full_control
20,1,blueberry,142.0,-3,1,1,blueberry_full_control
20,2,blueberry,139.0,-3,1,1,blueberry_full_control
21,1,blueberry,180.0,-3,1,1,time
21,2,blueberry,120.0,-3,1,2,blueberry_full_control
22,1,blueberry,135.5,-3,1,1,blueberry_full_control
22,2,blueberry,104.5,-3,1,1,blueberry_full_control
23,1,blueberry,132.5,-3,1,2,blueberry_full_control
23,2,blueberry,146.5,-3,1,2,blueberry_full_control
24,1,blueberry,180.0,-2,1,1,time
24,2,blueberry,180.0,-3,1,1,time
25,1,blueberry,137.0,-3,1,1,blueberry_full_control
25,2,blueberry,119.5,-3,1,1,blueberry_full_control
