team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1728,10.8,0.0995,51,0.3187,1421,15261.77,95.386,708945.5,0.0,1349,8526,33064.0,19.1343,113,2174,11
raspberry,macaron,마카롱,2224,13.9,0.128,0,0.0,2031,0.0,0.0,133570.1,199037.81,0,2250,21609.0,9.7163,0,1015,12
raspberry,pie,파이,8813,55.0812,0.5073,1456,9.1,7540,247331.99,1545.825,1166818.59,0.0,5975,11217,167656.0,19.0237,1146,2861,12
raspberry,scone,스콘,2089,13.0563,0.1202,4595,28.7188,1652,715740.23,4473.3764,706474.01,0.0,7681,6556,68221.5,32.6575,1196,1920,11
raspberry,tart,타르트,2519,15.7438,0.145,3211,20.0688,1832,723175.76,4519.8485,597377.46,0.0,17135,3831,85887.5,34.0959,3542,1716,14
blueberry,baumkuchen,바움쿠헨,2615,16.3438,0.1562,518,3.2375,1650,110919.92,693.2495,596280.85,0.0,3740,12218,70002.5,26.7696,753,1790,11
blueberry,pannacotta,판나코타,2530,15.8125,0.1511,2337,14.6062,1922,460351.25,2877.1953,79753.0,0.0,720,2031,38775.5,15.3263,195,750,10
blueberry,pie,파이,7030,43.9375,0.42,2204,13.775,4229,403314.3,2520.7144,493868.27,0.0,6052,9637,186670.0,26.5533,1654,1694,10
blueberry,scone,스콘,1047,6.5438,0.0625,1897,11.8562,548,346142.74,2163.3922,132401.29,0.0,2848,2350,33960.5,32.436,524,619,11
blueberry,tarte_tatin,타르트·타탱,3517,21.9812,0.2101,7520,47.0,1684,1992457.44,12452.859,399206.35,0.0,19020,5904,152716.0,43.4222,6560,1144,9
