match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades
1,raspberry,2,1,3,1,1
2,raspberry,2,0,2,1,1
3,raspberry,2,0,2,1,1
4,blueberry,1,2,3,1,1
5,blueberry,1,2,3,1,1
6,blueberry,0,2,2,1,2
7,blueberry,0,2,2,1,1
8,raspberry,2,0,2,1,1
9,blueberry,1,2,3,1,2
10,raspberry,2,0,2,1,1
11,blueberry,0,2,2,1,1
12,raspberry,2,0,2,1,1
13,blueberry,1,2,3,1,2
14,blueberry,1,2,3,1,1
15,raspberry,2,0,2,1,2
16,blueberry,1,2,3,2,1
17,blueberry,0,2,2,1,1
18,raspberry,2,0,2,1,1
19,raspberry,2,0,2,1,1
20,blueberry,1,2,3,1,2
21,raspberry,2,0,2,1,1
22,blueberry,1,2,3,1,1
23,blueberry,0,2,2,1,1
24,raspberry,2,1,3,1,2
25,blueberry,1,2,3,1,1
26,blueberry,1,2,3,1,1
27,raspberry,2,1,3,1,1
28,raspberry,2,0,2,1,1
29,raspberry,2,0,2,2,1
30,raspberry,2,0,2,1,1
31,blueberry,1,2,3,1,1
32,blueberry,1,2,3,1,2
33,blueberry,0,2,2,1,2
34,raspberry,2,0,2,1,1
35,blueberry,0,2,2,1,1
36,blueberry,1,2,3,1,1
37,blueberry,0,2,2,1,2
38,raspberry,2,1,3,1,1
39,raspberry,2,1,3,1,1
40,raspberry,2,0,2,2,1
41,blueberry,1,2,3,1,2
42,blueberry,0,2,2,1,2
43,blueberry,0,2,2,1,1
44,raspberry,2,0,2,1,1
45,raspberry,2,0,2,2,1
46,blueberry,0,2,2,1,2
47,raspberry,2,0,2,1,1
48,raspberry,2,1,3,1,1
49,blueberry,1,2,3,1,2
50,raspberry,2,1,3,2,1
51,blueberry,1,2,3,1,1
52,blueberry,0,2,2,1,2
53,raspberry,2,1,3,1,2
54,raspberry,2,0,2,1,1
55,blueberry,0,2,2,1,1
56,blueberry,0,2,2,1,1
57,raspberry,2,0,2,1,1
58,blueberry,0,2,2,1,1
59,raspberry,2,0,2,1,1
60,raspberry,2,0,2,1,1
61,blueberry,1,2,3,1,3
62,blueberry,0,2,2,1,2
63,raspberry,2,1,3,2,1
64,raspberry,2,0,2,1,1
65,raspberry,2,0,2,1,1
66,raspberry,2,0,2,1,1
67,blueberry,0,2,2,1,1
68,raspberry,2,0,2,1,1
69,raspberry,2,1,3,1,1
70,raspberry,2,1,3,2,2
71,raspberry,2,0,2,1,1
72,blueberry,0,2,2,1,3
73,raspberry,2,1,3,1,1
74,raspberry,2,0,2,1,1
75,raspberry,2,0,2,1,1
76,raspberry,2,0,2,1,1
77,blueberry,0,2,2,1,2
78,blueberry,1,2,3,2,1
79,raspberry,2,0,2,1,1
80,blueberry,0,2,2,1,1
81,raspberry,2,0,2,1,1
82,blueberry,0,2,2,1,1
83,raspberry,2,1,3,1,1
84,raspberry,2,0,2,1,2
85,raspberry,2,1,3,1,1
86,blueberry,1,2,3,1,1
87,blueberry,0,2,2,1,1
88,blueberry,0,2,2,1,1
89,blueberry,1,2,3,1,2
90,blueberry,0,2,2,1,1
91,raspberry,2,1,3,1,2
92,raspberry,2,1,3,1,1
93,blueberry,1,2,3,1,1
94,blueberry,1,2,3,1,2
95,blueberry,1,2,3,1,2
96,blueberry,0,2,2,1,1
97,raspberry,2,0,2,1,1
98,raspberry,2,0,2,1,1
99,blueberry,1,2,3,1,1
100,blueberry,0,2,2,1,2
101,raspberry,2,1,3,1,1
102,blueberry,1,2,3,1,1
103,blueberry,1,2,3,1,2
104,blueberry,1,2,3,1,2
105,blueberry,1,2,3,1,2
106,blueberry,1,2,3,1,1
107,raspberry,2,0,2,1,1
108,raspberry,2,1,3,1,1
109,blueberry,1,2,3,1,1
110,blueberry,0,2,2,1,2
111,blueberry,1,2,3,1,1
112,raspberry,2,0,2,1,1
113,raspberry,2,0,2,1,1
114,blueberry,1,2,3,1,3
115,raspberry,2,0,2,1,1
116,raspberry,2,0,2,1,1
117,raspberry,2,0,2,1,1
118,raspberry,2,0,2,1,1
119,raspberry,2,1,3,1,1
120,blueberry,1,2,3,1,2
121,blueberry,1,2,3,1,1
122,blueberry,0,2,2,1,2
123,blueberry,0,2,2,1,2
124,raspberry,2,0,2,1,1
125,raspberry,2,1,3,1,1
126,raspberry,2,1,3,1,2
127,raspberry,2,1,3,1,1
128,blueberry,0,2,2,1,2
129,raspberry,2,0,2,1,1
130,raspberry,2,0,2,1,1
131,blueberry,0,2,2,1,3
132,raspberry,2,0,2,1,1
133,blueberry,1,2,3,1,2
134,raspberry,2,1,3,1,2
135,blueberry,0,2,2,1,1
136,raspberry,2,1,3,1,2
137,raspberry,2,0,2,1,1
138,raspberry,2,1,3,1,1
139,raspberry,2,0,2,1,1
140,raspberry,2,0,2,1,1
141,blueberry,1,2,3,1,1
142,raspberry,2,0,2,1,2
143,blueberry,1,2,3,1,1
144,raspberry,2,0,2,1,1
145,raspberry,2,0,2,1,1
146,raspberry,2,1,3,1,1
147,raspberry,2,1,3,1,2
148,raspberry,2,0,2,1,2
149,raspberry,2,0,2,1,1
150,blueberry,0,2,2,1,1
151,raspberry,2,1,3,1,1
152,raspberry,2,1,3,1,2
153,blueberry,0,2,2,1,1
154,raspberry,2,1,3,1,1
155,blueberry,0,2,2,1,2
156,raspberry,2,0,2,1,1
157,blueberry,0,2,2,1,1
158,blueberry,1,2,3,1,1
159,blueberry,1,2,3,1,1
160,blueberry,0,2,2,1,1
