team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2027,12.6687,0.0977,52,0.325,1472,16662.76,104.1423,758237.18,0.0,1485,8842,53439.0,26.3636,233,2055,14
raspberry,macaron,마카롱,2156,13.475,0.104,0,0.0,1874,0.0,0.0,123030.55,244228.32,0,1820,26857.0,12.4569,0,532,11
raspberry,pie,파이,10460,65.375,0.5044,1811,11.3187,7703,301402.53,1883.7658,1211411.0,0.0,7424,10237,268817.0,25.6995,1851,1645,9
raspberry,scone,스콘,2150,13.4375,0.1037,4294,26.8375,1330,667428.85,4171.4303,581103.69,0.0,7374,4759,84167.0,39.1474,1292,840,10
raspberry,tart,타르트,3946,24.6625,0.1903,7073,44.2062,2106,1398905.85,8743.1616,800807.86,0.0,33617,3990,199555.0,50.5715,9816,1282,11
blueberry,baumkuchen,바움쿠헨,2999,18.7437,0.1678,474,2.9625,2306,107807.6,673.7975,796942.52,0.0,3617,18003,62492.0,20.8376,481,3730,13
blueberry,pannacotta,판나코타,2705,16.9062,0.1514,2762,17.2625,2390,606542.82,3790.8926,111553.06,0.0,623,2825,27823.0,10.2858,109,1256,15
blueberry,pie,파이,7041,44.0063,0.394,1987,12.4187,5455,379785.86,2373.6616,640341.19,0.0,5767,13767,140596.0,19.9682,1252,3804,19
blueberry,scone,스콘,1184,7.4,0.0663,2014,12.5875,891,371562.2,2322.2638,211460.59,0.0,3147,4826,28838.0,24.3564,447,1724,13
blueberry,tarte_tatin,타르트·타탱,3941,24.6313,0.2205,7248,45.3,2811,2008891.8,12555.5738,624102.63,0.0,16494,10479,117427.0,29.7962,4065,2678,13
