team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2575,8.5833,0.0812,10,0.0333,2203,62889.32,209.6311,925260.0,0.0,4845,14749,31072.25,12.0669,47,82,2
raspberry,macaron,마카롱,758,2.5267,0.0239,0,0.0,631,0.0,0.0,31550.0,40560.12,0,631,6128.75,8.0854,0,0,0
raspberry,pie,파이,16002,53.34,0.5047,8251,27.5033,15027,1558680.51,5195.6017,1979617.34,0.0,34705,28751,229042.75,14.3134,7104,1683,6
raspberry,scone,스콘,2718,9.06,0.0857,3920,13.0667,2586,890641.32,2968.8044,779020.17,0.0,10519,5371,63567.0,23.3874,2101,628,2
raspberry,tart,타르트,9655,32.1833,0.3045,5321,17.7367,8516,1476172.67,4920.5756,2276562.81,0.0,54405,25697,182838.0,18.9371,4723,2952,4
blueberry,baumkuchen,바움쿠헨,6091,20.3033,0.2308,3194,10.6467,4077,588553.8,1961.846,1726671.09,0.0,21241,40413,81104.0,13.3154,816,4068,3
blueberry,pannacotta,판나코타,3262,10.8733,0.1236,11316,37.72,3262,2049424.26,6831.4142,61749.01,0.0,2863,2455,10685.0,3.2756,1,890,3
blueberry,pie,파이,8532,28.44,0.3232,3351,11.17,8160,638370.54,2127.9018,885421.74,0.0,13553,26254,48471.25,5.6811,942,5043,4
blueberry,scone,스콘,2628,8.76,0.0996,7284,24.28,2026,1309883.17,4366.2772,651769.22,0.0,15046,18605,60531.25,23.0332,984,2404,6
blueberry,tarte_tatin,타르트·타탱,5882,19.6067,0.2228,3818,12.7267,2840,1405778.54,4685.9285,662772.77,0.0,22496,16747,105316.25,17.9048,2602,1570,3
