team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,76,15.2,0.17,0,0.0,75,767.0,153.4,31910.0,0.0,74,468,489.0,6.4342,6,119,7
raspberry,macaron,마카롱,32,6.4,0.0716,0,0.0,32,0.0,0.0,1600.0,600.0,0,30,72.75,2.2734,0,17,9
raspberry,pie,파이,259,51.8,0.5794,49,9.8,257,8188.0,1637.6,33680.0,0.0,220,438,1295.0,5.0,8,145,10
raspberry,scone,스콘,23,4.6,0.0515,35,7.0,23,5070.0,1014.0,7150.0,0.0,59,100,199.75,8.6848,0,50,7
raspberry,tart,타르트,57,11.4,0.1275,48,9.6,57,13267.0,2653.4,14500.0,0.0,258,144,549.25,9.636,1,73,9
blueberry,baumkuchen,바움쿠헨,74,14.8,0.1486,26,5.2,23,5060.0,1012.0,10297.0,0.0,176,288,3655.0,49.3919,46,6,2
blueberry,pannacotta,판나코타,41,8.2,0.0823,27,5.4,21,5350.0,1070.0,483.0,0.0,15,10,963.25,23.4939,5,0,0
blueberry,pie,파이,274,54.8,0.5502,132,26.4,95,23620.0,4724.0,12360.0,0.0,398,258,12049.25,43.9754,118,7,2
blueberry,scone,스콘,30,6.0,0.0602,80,16.0,4,12110.0,2422.0,1420.0,0.0,118,30,1700.75,56.6917,33,0,0
blueberry,tarte_tatin,타르트·타탱,79,15.8,0.1586,179,35.8,4,42700.0,8540.0,2732.0,0.0,473,25,4973.5,62.9557,202,2,2
