team,unit,stat,before,after,change,change_percent,effect
raspberry,pie,cost,80,80,0.0,0.0,unchanged
raspberry,pie,hp,130,130,0.0,0.0,unchanged
raspberry,pie,speed,0.8,0.8,0.0,0.0,unchanged
raspberry,pie,power,40,40,0.0,0.0,unchanged
raspberry,pie,cooldown,1.0,1.0,0.0,0.0,unchanged
raspberry,pie,range,1.0,1.0,0.0,0.0,unchanged
raspberry,pie,area,0.0,0.0,0.0,,unchanged
raspberry,tart,cost,280,252,-28.0,-10.0,buff
raspberry,tart,hp,250,267.1855,17.1855,6.87,buff
raspberry,tart,speed,0.6,0.6334,0.0334,5.57,buff
raspberry,tart,power,20,21.8935,1.8935,9.47,buff
raspberry,tart,cooldown,2.0,1.9172,-0.0828,-4.14,buff
raspberry,tart,range,6.0,6.183,0.183,3.05,buff
raspberry,tart,area,1.2,1.2523,0.0523,4.36,buff
raspberry,baumkuchen,cost,250,250,0.0,0.0,unchanged
raspberry,baumkuchen,hp,420,420,0.0,0.0,unchanged
raspberry,baumkuchen,speed,0.8,0.8,0.0,0.0,unchanged
raspberry,baumkuchen,power,10,10,0.0,0.0,unchanged
raspberry,baumkuchen,cooldown,1.8,1.8,0.0,0.0,unchanged
raspberry,baumkuchen,range,0.5,0.5,0.0,0.0,unchanged
raspberry,baumkuchen,area,0.0,0.0,0.0,,unchanged
raspberry,scone,cost,500,441,-59.0,-11.8,buff
raspberry,scone,hp,300,335.5869,35.5869,11.86,buff
raspberry,scone,speed,0.5,0.5273,0.0273,5.46,buff
raspberry,scone,power,100,110.2395,10.2395,10.24,buff
raspberry,scone,cooldown,1.8,1.72,-0.08,-4.44,buff
raspberry,scone,range,3.0,3.0977,0.0977,3.26,buff
raspberry,scone,area,0.0,0.0,0.0,,unchanged
raspberry,macaron,cost,300,263,-37.0,-12.33,buff
raspberry,macaron,hp,50,54.3664,4.3664,8.73,buff
raspberry,macaron,speed,1.2,1.2857,0.0857,7.14,buff
raspberry,macaron,power,50,55.9626,5.9626,11.93,buff
raspberry,macaron,cooldown,1.5,1.4215,-0.0785,-5.23,buff
raspberry,macaron,range,2.5,2.5956,0.0956,3.82,buff
raspberry,macaron,area,1.0,1.0549,0.0549,5.49,buff
blueberry,pie,cost,100,100,0.0,0.0,unchanged
blueberry,pie,hp,100,100,0.0,0.0,unchanged
blueberry,pie,speed,1.0,1.0,0.0,0.0,unchanged
blueberry,pie,power,70,70,0.0,0.0,unchanged
blueberry,pie,cooldown,1.0,1.0,0.0,0.0,unchanged
blueberry,pie,range,1.0,1.0,0.0,0.0,unchanged
blueberry,pie,area,0.0,0.0,0.0,,unchanged
blueberry,tarte_tatin,cost,180,187,7.0,3.89,debuff
blueberry,tarte_tatin,hp,180,180,0.0,0.0,unchanged
blueberry,tarte_tatin,speed,1.0,1.0,0.0,0.0,unchanged
blueberry,tarte_tatin,power,50,50,0.0,0.0,unchanged
blueberry,tarte_tatin,cooldown,3.0,3.0,0.0,0.0,unchanged
blueberry,tarte_tatin,range,4.0,4.0,0.0,0.0,unchanged
blueberry,tarte_tatin,area,2.5,2.5,0.0,0.0,unchanged
blueberry,baumkuchen,cost,250,250,0.0,0.0,unchanged
blueberry,baumkuchen,hp,300,292.65,-7.35,-2.45,debuff
blueberry,baumkuchen,speed,1.0,0.9534,-0.0466,-4.66,debuff
blueberry,baumkuchen,power,30,27.798,-2.202,-7.34,debuff
blueberry,baumkuchen,cooldown,1.0,1.0,0.0,0.0,unchanged
blueberry,baumkuchen,range,0.5,0.5,0.0,0.0,unchanged
blueberry,baumkuchen,area,0.0,0.0,0.0,,unchanged
blueberry,scone,cost,500,500,0.0,0.0,unchanged
blueberry,scone,hp,200,200,0.0,0.0,unchanged
blueberry,scone,speed,0.8,0.8,0.0,0.0,unchanged
blueberry,scone,power,150,150,0.0,0.0,unchanged
blueberry,scone,cooldown,2.0,2.0,0.0,0.0,unchanged
blueberry,scone,range,3.0,3.0,0.0,0.0,unchanged
blueberry,scone,area,0.0,0.0,0.0,,unchanged
blueberry,pannacotta,cost,400,400,0.0,0.0,unchanged
blueberry,pannacotta,hp,50,50,0.0,0.0,unchanged
blueberry,pannacotta,speed,1.5,1.5,0.0,0.0,unchanged
blueberry,pannacotta,power,400,400,0.0,0.0,unchanged
blueberry,pannacotta,cooldown,0.5,0.5,0.0,0.0,unchanged
blueberry,pannacotta,range,1.0,1.0,0.0,0.0,unchanged
blueberry,pannacotta,area,6.5,6.5,0.0,0.0,unchanged
