team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,200,20.0,0.1163,40,4.0,140,5259.89,525.9894,156534.98,0.0,400,1480,5010.0,25.05,60,80,2
raspberry,macaron,마카롱,540,54.0,0.314,0,0.0,740,0.0,0.0,109766.21,151147.9,0,1980,8910.0,16.5,0,40,2
raspberry,pie,파이,660,66.0,0.3837,580,58.0,620,41788.17,4178.8166,116835.02,0.0,1460,580,13620.0,20.6364,460,140,2
raspberry,scone,스콘,180,18.0,0.1047,520,52.0,160,34298.69,3429.8688,61495.44,0.0,680,280,5150.0,28.6111,120,40,2
raspberry,tart,타르트,140,14.0,0.0814,640,64.0,140,115345.88,11534.5884,46559.1,0.0,2920,200,10010.0,71.5,680,80,4
blueberry,baumkuchen,바움쿠헨,100,10.0,0.0515,20,2.0,100,8397.49,839.749,28650.24,0.0,300,880,1110.0,11.1,0,100,2
blueberry,pannacotta,판나코타,140,14.0,0.0722,780,78.0,140,210436.49,21043.6486,5039.43,0.0,80,160,490.0,3.5,20,20,2
blueberry,pie,파이,1620,162.0,0.8351,540,54.0,1580,168926.07,16892.6066,153202.22,0.0,3440,4340,24090.0,14.8704,320,1200,15
blueberry,scone,스콘,40,4.0,0.0206,400,40.0,40,59268.76,5926.8762,9800.75,0.0,500,80,1320.0,33.0,40,0,0
blueberry,tarte_tatin,타르트·타탱,40,4.0,0.0206,60,6.0,0,44161.95,4416.1952,0.0,0.0,200,0,1110.0,27.75,0,0,0
