match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,1,0,swarm_focus,tank_aoe_focus
2,blueberry,1,2,3,1,0,mixed_composition,mixed_composition
3,raspberry,2,0,2,1,0,swarm_focus,tank_aoe_focus
4,blueberry,1,2,3,1,0,mixed_composition,mixed_composition
5,raspberry,2,0,2,0,0,swarm_focus,mixed_composition
6,raspberry,2,0,2,1,1,mixed_composition,tank_aoe_focus
7,raspberry,2,0,2,1,1,mixed_composition,tank_aoe_focus
8,raspberry,2,0,2,1,0,swarm_focus,tank_aoe_focus
9,raspberry,2,0,2,1,1,mixed_composition,tank_aoe_focus
10,raspberry,2,0,2,1,1,swarm_focus,tank_aoe_focus
