match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,174.5,3,1,0,raspberry_full_control
1,2,raspberry,142.5,3,1,0,raspberry_full_control
2,1,raspberry,152.0,3,1,0,raspberry_full_control
2,2,blueberry,180.0,-3,1,0,time
2,3,blueberry,180.0,-3,1,0,time
3,1,raspberry,180.0,3,0,0,time
3,2,raspberry,174.5,3,1,0,raspberry_full_control
4,1,raspberry,153.5,3,1,0,raspberry_full_control
4,2,blueberry,180.0,-3,1,0,time
4,3,blueberry,180.0,-3,1,0,time
5,1,raspberry,175.0,3,0,0,raspberry_full_control
5,2,raspberry,180.0,3,0,0,time
6,1,raspberry,163.5,3,1,0,raspberry_full_control
6,2,raspberry,171.5,3,1,1,raspberry_full_control
7,1,raspberry,163.5,3,1,0,raspberry_full_control
7,2,raspberry,180.0,3,1,1,time
8,1,raspberry,180.0,3,0,0,time
8,2,raspberry,163.5,3,1,0,raspberry_full_control
9,1,raspberry,169.5,3,1,0,raspberry_full_control
9,2,raspberry,180.0,3,1,1,time
10,1,raspberry,168.5,3,1,0,raspberry_full_control
10,2,raspberry,147.5,3,1,1,raspberry_full_control
