match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,1,0,2,time
1,2,blueberry,142.5,-3,0,3,blueberry_full_control
1,3,blueberry,180.0,-1,0,3,time
2,1,raspberry,180.0,2,1,1,time
2,2,raspberry,180.0,0,1,1,time
3,1,blueberry,180.0,-2,0,1,time
3,2,blueberry,110.5,-3,0,1,blueberry_full_control
4,1,blueberry,180.0,-2,1,1,time
4,2,blueberry,148.0,-3,1,1,blueberry_full_control
5,1,raspberry,180.0,2,1,1,time
5,2,blueberry,164.0,-3,1,2,blueberry_full_control
5,3,raspberry,180.0,2,1,2,time
6,1,blueberry,180.0,-3,1,1,time
6,2,blueberry,180.0,-1,1,1,time
7,1,blueberry,180.0,-2,0,2,time
7,2,blueberry,126.5,-3,0,2,blueberry_full_control
8,1,raspberry,180.0,2,0,1,time
8,2,blueberry,180.0,-1,0,1,time
8,3,blueberry,180.0,-2,0,1,time
9,1,blueberry,180.0,-2,0,1,time
9,2,blueberry,110.5,-3,0,1,blueberry_full_control
10,1,blueberry,180.0,0,0,1,time
10,2,blueberry,180.0,-3,0,1,time
