team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,179,17.9,0.1119,12,1.2,163,4218.38,421.8384,137045.76,0.0,287,1304,3126.5,17.4665,44,158,9
raspberry,macaron,마카롱,374,37.4,0.2339,0,0.0,410,0.0,0.0,56481.05,103381.37,0,682,4122.5,11.0227,0,134,10
raspberry,pie,파이,702,70.2,0.439,212,21.2,650,26514.56,2651.4562,123082.04,0.0,776,1006,7838.0,11.1652,128,278,9
raspberry,scone,스콘,127,12.7,0.0794,222,22.2,109,34281.11,3428.1113,46036.41,0.0,448,294,2647.5,20.8465,45,111,9
raspberry,tart,타르트,217,21.7,0.1357,401,40.1,177,82307.14,8230.7139,60916.7,0.0,1831,361,5321.5,24.523,252,106,6
blueberry,baumkuchen,바움쿠헨,136,13.6,0.0962,47,4.7,94,12843.38,1284.3377,32915.08,0.0,377,867,4052.5,29.7978,52,61,5
blueberry,pannacotta,판나코타,154,15.4,0.1089,544,54.4,132,133353.23,13335.3234,3064.05,0.0,112,78,1475.0,9.5779,6,25,4
blueberry,pie,파이,850,85.0,0.6011,345,34.5,578,86016.55,8601.6549,66664.46,0.0,1518,1484,25905.0,30.4765,411,191,8
blueberry,scone,스콘,89,8.9,0.0629,328,32.8,46,64169.39,6416.939,14912.99,0.0,488,391,3309.5,37.1854,92,103,11
blueberry,tarte_tatin,타르트·타탱,185,18.5,0.1308,245,24.5,109,127179.4,12717.9404,29764.61,0.0,1152,522,7410.0,40.0541,226,89,7
