team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,100,10.0,0.0962,60,6.0,100,1732.84,173.2842,81300.33,0.0,180,680,1790.0,17.9,40,40,2
raspberry,macaron,마카롱,80,8.0,0.0769,0,0.0,80,0.0,0.0,7050.33,26084.22,0,20,670.0,8.375,0,0,0
raspberry,pie,파이,320,32.0,0.3077,120,12.0,340,12891.04,1289.1036,54705.23,0.0,440,420,4470.0,13.9688,100,40,2
raspberry,scone,스콘,160,16.0,0.1538,240,24.0,160,47669.9,4766.99,65545.28,0.0,620,380,1720.0,10.75,60,80,3
raspberry,tart,타르트,380,38.0,0.3654,220,22.0,380,47694.83,4769.4826,109318.55,0.0,2200,0,7990.0,21.0263,160,0,0
blueberry,baumkuchen,바움쿠헨,260,26.0,0.2453,20,2.0,200,5174.64,517.4636,57300.48,0.0,180,2120,4330.0,16.6538,20,220,5
blueberry,pannacotta,판나코타,260,26.0,0.2453,800,80.0,220,215290.32,21529.032,8220.6,0.0,160,180,1300.0,5.0,0,60,5
blueberry,pie,파이,420,42.0,0.3962,20,2.0,340,27540.96,2754.096,33650.48,0.0,540,1000,5560.0,13.2381,60,80,2
blueberry,scone,스콘,60,6.0,0.0566,220,22.0,20,56008.95,5600.8948,6821.66,0.0,420,80,1930.0,32.1667,60,0,0
blueberry,tarte_tatin,타르트·타탱,60,6.0,0.0566,0,0.0,20,13904.86,1390.4856,3995.39,0.0,200,60,1920.0,32.0,20,0,0
