match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,105.0,-3,0,1,blueberry_full_control
1,2,blueberry,113.0,-3,0,3,blueberry_full_control
2,1,blueberry,112.0,-3,0,2,blueberry_full_control
2,2,blueberry,107.0,-3,0,3,blueberry_full_control
3,1,blueberry,111.5,-3,0,2,blueberry_full_control
3,2,blueberry,101.5,-3,0,2,blueberry_full_control
4,1,blueberry,110.0,-3,0,2,blueberry_full_control
4,2,blueberry,101.5,-3,0,2,blueberry_full_control
5,1,blueberry,111.0,-3,0,2,blueberry_full_control
5,2,blueberry,110.5,-3,0,2,blueberry_full_control
6,1,blueberry,110.0,-3,0,1,blueberry_full_control
6,2,blueberry,117.0,-3,0,3,blueberry_full_control
7,1,blueberry,110.5,-3,0,2,blueberry_full_control
7,2,blueberry,105.0,-3,0,4,blueberry_full_control
8,1,blueberry,105.0,-3,0,1,blueberry_full_control
8,2,blueberry,118.0,-3,0,2,blueberry_full_control
9,1,blueberry,109.0,-3,0,1,blueberry_full_control
9,2,blueberry,112.5,-3,0,2,blueberry_full_control
10,1,blueberry,105.0,-3,0,1,blueberry_full_control
10,2,blueberry,113.5,-3,0,3,blueberry_full_control
