raspberry_strategy,blueberry_strategy,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,raspberry_detected_dominant,blueberry_detected_dominant,strategy_diversity_penalty
tank_focus,tank_focus,0.0,1.0,-3.0,137.0,tank_focus,mixed_composition,0.525904
tank_focus,tank_aoe_focus,0.0,1.0,-3.0,147.0,tank_focus,mixed_composition,0.525904
tank_focus,ranged_focus,0.0,1.0,-3.0,130.5,tank_focus,swarm_focus,0.525904
tank_focus,swarm_focus,0.0,1.0,-3.0,128.5,tank_focus,swarm_focus,0.525904
tank_focus,special_focus,0.0,1.0,-3.0,131.0,tank_focus,swarm_focus,0.525904
tank_focus,upgrade_focus,0.0,1.0,-2.4091,153.8409,tank_focus,swarm_focus,0.247609
tank_focus,mixed,0.0,1.0,-3.0,132.0,tank_focus,swarm_focus,0.525904
tank_aoe_focus,tank_focus,1.0,0.0,2.0,180.0,tank_aoe_focus,mixed_composition,0.525904
tank_aoe_focus,tank_aoe_focus,1.0,0.0,3.0,164.0,tank_aoe_focus,tank_aoe_focus,0.95
tank_aoe_focus,ranged_focus,1.0,0.0,3.0,176.0,tank_aoe_focus,ranged_focus,0.525904
tank_aoe_focus,swarm_focus,1.0,0.0,1.0,180.0,tank_focus,swarm_focus,0.525904
tank_aoe_focus,special_focus,0.0,1.0,-3.0,180.0,mixed_composition,swarm_focus,0.525904
tank_aoe_focus,upgrade_focus,0.2,0.8,-0.6538,174.5385,mixed_composition,upgrade_focus,0.412215
tank_aoe_focus,mixed,0.0,1.0,-3.0,180.0,tank_aoe_focus,swarm_focus,0.525904
ranged_focus,tank_focus,1.0,0.0,3.0,156.5,ranged_focus,tank_focus,0.525904
ranged_focus,tank_aoe_focus,1.0,0.0,3.0,166.0,ranged_focus,tank_aoe_focus,0.525904
ranged_focus,ranged_focus,1.0,0.0,3.0,156.5,ranged_focus,ranged_focus,0.95
ranged_focus,swarm_focus,1.0,0.0,2.0,180.0,mixed_composition,swarm_focus,0.525904
ranged_focus,special_focus,0.0,1.0,-1.0,180.0,mixed_composition,swarm_focus,0.525904
ranged_focus,upgrade_focus,0.1,0.9,-1.25,154.7679,mixed_composition,swarm_focus,0.384543
ranged_focus,mixed,0.0,1.0,-1.0,180.0,mixed_composition,mixed_composition,0.95
swarm_focus,tank_focus,0.0,1.0,-3.0,112.575,swarm_focus,mixed_composition,0.599356
swarm_focus,tank_aoe_focus,0.0,1.0,-3.0,122.0,swarm_focus,mixed_composition,0.525904
swarm_focus,ranged_focus,0.0,1.0,-3.0,112.0,swarm_focus,swarm_focus,0.95
swarm_focus,swarm_focus,0.7,0.3,0.3448,145.8793,upgrade_focus,swarm_focus,0.547495
swarm_focus,special_focus,0.0,1.0,-3.0,117.5,swarm_focus,mixed_composition,0.525904
swarm_focus,upgrade_focus,0.0,1.0,-3.0,150.325,swarm_focus,swarm_focus,0.66341
swarm_focus,mixed,0.0,1.0,-3.0,115.5,swarm_focus,swarm_focus,0.95
special_focus,tank_focus,0.0,1.0,-3.0,112.0,special_focus,tank_focus,0.525904
special_focus,tank_aoe_focus,0.0,1.0,-3.0,101.5,special_focus,mixed_composition,0.525904
special_focus,ranged_focus,0.0,1.0,-3.0,102.5,special_focus,mixed_composition,0.525904
special_focus,swarm_focus,0.0,1.0,-3.0,109.425,special_focus,upgrade_focus,0.525904
special_focus,special_focus,0.0,1.0,-3.0,110.0,special_focus,swarm_focus,0.525904
special_focus,upgrade_focus,0.0,1.0,-2.7,140.725,special_focus,upgrade_focus,0.384543
special_focus,mixed,0.0,1.0,-3.0,103.0,special_focus,swarm_focus,0.525904
upgrade_focus,tank_focus,0.9,0.1,2.3333,172.619,swarm_focus,tank_focus,0.162363
upgrade_focus,tank_aoe_focus,0.2,0.8,-0.96,165.0,mixed_composition,mixed_composition,0.541334
upgrade_focus,ranged_focus,1.0,0.0,1.9583,165.2083,mixed_composition,ranged_focus,0.360657
upgrade_focus,swarm_focus,1.0,0.0,2.65,168.075,upgrade_focus,swarm_focus,0.360657
upgrade_focus,special_focus,0.0,1.0,-1.4348,179.5652,mixed_composition,mixed_composition,0.579782
upgrade_focus,upgrade_focus,0.3,0.7,-1.4762,169.6429,mixed_composition,swarm_focus,0.276346
upgrade_focus,mixed,0.8,0.2,1.0,177.0682,upgrade_focus,swarm_focus,0.318103
mixed,tank_focus,0.9,0.1,2.0,176.1667,mixed_composition,mixed_composition,0.737488
mixed,tank_aoe_focus,0.8,0.2,1.9091,169.9773,mixed_composition,tank_aoe_focus,0.318103
mixed,ranged_focus,0.6,0.4,-0.2917,180.0,mixed_composition,mixed_composition,0.619545
mixed,swarm_focus,1.0,0.0,0.0,180.0,mixed_composition,swarm_focus,0.525904
mixed,special_focus,0.0,1.0,-2.0476,174.4048,mixed_composition,mixed_composition,0.35173
mixed,upgrade_focus,0.2,0.8,-1.2174,167.913,mixed_composition,swarm_focus,0.384543
mixed,mixed,0.0,1.0,-1.9545,172.6136,mixed_composition,swarm_focus,0.558053
