match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,159.0,-3,0,1,blueberry_full_control
1,2,blueberry,124.5,-3,0,1,blueberry_full_control
2,1,blueberry,180.0,-3,0,1,time
2,2,blueberry,129.0,-3,0,1,blueberry_full_control
3,1,blueberry,180.0,-3,0,1,time
3,2,blueberry,142.0,-3,0,2,blueberry_full_control
4,1,blueberry,154.5,-3,0,2,blueberry_full_control
4,2,blueberry,114.0,-3,0,2,blueberry_full_control
5,1,blueberry,156.0,-3,0,2,blueberry_full_control
5,2,blueberry,114.0,-3,0,2,blueberry_full_control
6,1,blueberry,180.0,-3,0,1,time
6,2,blueberry,142.0,-3,0,2,blueberry_full_control
7,1,blueberry,180.0,-3,0,1,time
7,2,blueberry,128.5,-3,1,1,blueberry_full_control
8,1,blueberry,180.0,-3,0,1,time
8,2,blueberry,124.5,-3,0,1,blueberry_full_control
9,1,blueberry,156.5,-3,0,1,blueberry_full_control
9,2,blueberry,146.5,-3,1,1,blueberry_full_control
10,1,blueberry,172.5,-3,1,1,blueberry_full_control
10,2,blueberry,143.0,-3,1,2,blueberry_full_control
