match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,1,2,3,0,2,mixed_composition,upgrade_focus
2,blueberry,1,2,3,0,1,mixed_composition,mixed_composition
3,blueberry,1,2,3,0,1,mixed_composition,mixed_composition
4,blueberry,1,2,3,0,2,tank_aoe_focus,upgrade_focus
5,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
6,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
7,blueberry,1,2,3,0,2,mixed_composition,upgrade_focus
8,blueberry,0,2,2,0,2,tank_aoe_focus,upgrade_focus
9,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
10,blueberry,0,2,2,0,2,tank_aoe_focus,upgrade_focus
