team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,816,81.6,0.5969,54,5.4,794,12917.78,1291.7775,579963.73,0.0,947,6934,8413.0,10.31,48,2572,18
raspberry,macaron,마카롱,162,16.2,0.1185,0,0.0,177,0.0,0.0,18684.01,44836.76,0,244,1562.5,9.6451,0,113,13
raspberry,pie,파이,306,30.6,0.2238,78,7.8,297,12626.19,1262.6194,49353.43,0.0,376,506,3395.0,11.0948,21,295,19
raspberry,scone,스콘,34,3.4,0.0249,102,10.2,33,16439.31,1643.9314,14102.9,0.0,232,104,908.0,26.7059,9,65,13
raspberry,tart,타르트,49,4.9,0.0358,99,9.9,38,21870.71,2187.0707,12389.33,0.0,361,98,1162.0,23.7143,28,64,9
blueberry,baumkuchen,바움쿠헨,130,13.0,0.1015,47,4.7,54,31293.85,3129.3852,19803.82,0.0,902,797,5947.0,45.7462,338,5,2
blueberry,pannacotta,판나코타,125,12.5,0.0976,214,21.4,92,132258.74,13225.8745,590.76,0.0,88,9,1619.5,12.956,19,3,5
blueberry,pie,파이,798,79.8,0.623,636,63.6,240,288111.11,28811.1108,33022.52,0.0,5140,893,35763.0,44.8158,2171,81,4
blueberry,scone,스콘,70,7.0,0.0546,330,33.0,10,134032.41,13403.2413,3990.65,0.0,846,98,4781.0,68.3,224,8,3
blueberry,tarte_tatin,타르트·타탱,158,15.8,0.1233,112,11.2,25,88797.27,8879.7269,6446.24,0.0,910,119,8141.0,51.5253,357,9,3
