team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,298,29.8,0.1763,76,7.6,299,8208.66,820.866,243061.07,0.0,512,2019,4141.0,13.896,36,280,11
raspberry,macaron,마카롱,359,35.9,0.2124,0,0.0,363,0.0,0.0,47776.65,76701.86,0,556,2712.0,7.5543,0,125,14
raspberry,pie,파이,724,72.4,0.4284,199,19.9,707,25207.51,2520.7511,135200.11,0.0,705,868,5313.5,7.3391,69,215,13
raspberry,scone,스콘,72,7.2,0.0426,181,18.1,60,22687.81,2268.7813,33239.05,0.0,293,154,1369.5,19.0208,16,51,12
raspberry,tart,타르트,237,23.7,0.1402,239,23.9,217,39753.92,3975.3917,76520.26,0.0,1066,235,2904.0,12.2532,56,44,9
blueberry,baumkuchen,바움쿠헨,77,7.7,0.0573,19,1.9,53,6833.57,683.3569,16447.47,0.0,243,441,2240.5,29.0974,25,32,4
blueberry,pannacotta,판나코타,446,44.6,0.3321,1061,106.1,407,316840.81,31684.0809,10598.02,0.0,326,271,6059.5,13.5863,37,33,7
blueberry,pie,파이,660,66.0,0.4914,344,34.4,477,107456.74,10745.6737,49109.86,0.0,2196,1453,21557.0,32.6621,456,81,5
blueberry,scone,스콘,27,2.7,0.0201,119,11.9,17,30503.51,3050.351,4679.89,0.0,229,111,1092.0,40.4444,24,8,5
blueberry,tarte_tatin,타르트·타탱,133,13.3,0.099,103,10.3,67,74162.51,7416.251,15022.65,0.0,838,300,5022.5,37.7632,173,23,5
