team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,155,15.5,0.0847,49,4.9,88,12835.46,1283.5464,115591.52,0.0,857,1293,7521.5,48.5258,249,198,9
raspberry,macaron,마카롱,423,42.3,0.231,0,0.0,325,0.0,0.0,57663.06,105585.07,0,882,5583.0,13.1986,0,273,10
raspberry,pie,파이,893,89.3,0.4877,294,29.4,752,41103.33,4110.3328,175072.9,0.0,1199,2200,13426.5,15.0353,258,594,10
raspberry,scone,스콘,38,3.8,0.0208,53,5.3,14,6515.18,651.5183,7386.93,0.0,92,95,1759.5,46.3026,17,46,9
raspberry,tart,타르트,322,32.2,0.1759,365,36.5,235,76506.17,7650.6172,94684.58,0.0,2080,746,9109.5,28.2904,352,273,12
blueberry,baumkuchen,바움쿠헨,324,32.4,0.2182,38,3.8,154,16851.53,1685.1535,44973.96,0.0,599,1592,9351.5,28.8627,27,330,12
blueberry,pannacotta,판나코타,108,10.8,0.0727,221,22.1,90,44767.95,4476.7953,1931.62,0.0,81,63,2645.0,24.4907,20,18,10
blueberry,pie,파이,696,69.6,0.4687,380,38.0,368,76552.78,7655.2781,37946.07,0.0,1650,1161,28008.5,40.2421,519,137,12
blueberry,scone,스콘,65,6.5,0.0438,193,19.3,50,51501.4,5150.1397,12250.94,0.0,415,462,1917.0,29.4923,93,61,10
blueberry,tarte_tatin,타르트·타탱,292,29.2,0.1966,582,58.2,180,260725.33,26072.5328,39857.56,0.0,2471,950,14431.5,49.4229,725,330,12
