match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,1,0,swarm_focus,mixed_composition
2,blueberry,1,2,3,1,1,swarm_focus,mixed_composition
3,raspberry,2,0,2,2,0,upgrade_focus,tank_focus
4,raspberry,2,0,2,1,0,swarm_focus,tank_focus
5,raspberry,2,0,2,2,0,upgrade_focus,mixed_composition
6,raspberry,2,0,2,1,0,swarm_focus,tank_focus
7,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
8,raspberry,2,0,2,1,0,mixed_composition,tank_focus
9,raspberry,2,0,2,2,0,upgrade_focus,tank_focus
10,raspberry,2,0,2,3,0,upgrade_focus,tank_focus
