team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,241,24.1,0.1433,132,13.2,78,31669.78,3166.9779,107505.43,0.0,2097,1488,16692.0,69.2614,884,44,5
raspberry,macaron,마카롱,261,26.1,0.1552,0,0.0,152,0.0,0.0,43211.24,98893.47,0,929,8688.5,33.2893,0,20,6
raspberry,pie,파이,939,93.9,0.5583,585,58.5,315,111172.59,11117.2591,80567.92,0.0,2926,420,50801.5,54.1017,1612,60,5
raspberry,scone,스콘,92,9.2,0.0547,61,6.1,10,12064.93,1206.4927,4567.93,0.0,139,12,4979.0,54.1196,30,8,6
raspberry,tart,타르트,149,14.9,0.0886,168,16.8,40,45874.08,4587.4081,13508.49,0.0,1196,70,9542.0,64.0403,366,8,3
blueberry,baumkuchen,바움쿠헨,537,53.7,0.5144,40,4.0,499,39077.15,3907.7154,143171.47,0.0,1348,4400,6145.5,11.4441,25,1904,25
blueberry,pannacotta,판나코타,31,3.1,0.0297,190,19.0,30,52892.42,5289.2422,746.71,0.0,27,27,74.0,2.3871,4,9,6
blueberry,pie,파이,357,35.7,0.342,116,11.6,337,46048.15,4604.8155,32616.61,0.0,923,1123,4730.5,13.2507,29,583,21
blueberry,scone,스콘,59,5.9,0.0565,190,19.0,52,46451.34,4645.1338,13070.8,0.0,353,457,1469.5,24.9068,47,209,22
blueberry,tarte_tatin,타르트·타탱,60,6.0,0.0575,59,5.9,55,64891.95,6489.1948,11175.78,0.0,268,351,1149.0,19.15,35,187,16
