match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,0,2,2,1,1,swarm_focus,mixed_composition
2,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
3,blueberry,0,2,2,2,1,upgrade_focus,swarm_focus
4,raspberry,2,0,2,2,1,upgrade_focus,mixed_composition
5,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
6,blueberry,0,2,2,1,1,swarm_focus,mixed_composition
7,blueberry,0,2,2,2,1,upgrade_focus,swarm_focus
8,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
9,raspberry,2,1,3,2,1,upgrade_focus,swarm_focus
10,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
